run,model,count,activated_trades,managed_expectancy,gross_managed_expectancy,profit_factor,avg_execution_cost_r,avg_total_cost_r,avg_mfe_r,avg_rr,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,walk_forward_passed,walk_forward_failed_gates,top_no_trade_reasons,barriers,source_dir
entry_models_2025_05_06_15m_30m,Entry Model 1,1607,,,,,,,4.21383,,,0.536293,0.306554,0.578718,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_2025_05_06_15m_30m
entry_models_2025_05_06_1h_4h,Entry Model 1,334,,,,,,,2.164518,,,0.488372,0.282392,0.622754,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_2025_05_06_1h_4h
entry_models_2025_05_06_5m,Entry Model 1,3589,,,,,,,2.891685,,,0.539411,0.305476,0.606018,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_2025_05_06_5m
entry_models_2025_05_06_combined,Entry Model 1,5530,,,,,,,3.231354,,,0.535356,0.304366,0.599096,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_2025_05_06_combined
entry_models_accumulated,Entry Model 1,517,,,,,,,2.516768,,,0.523282,0.297118,0.564797,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_accumulated
entry_models_htf_strict_2025_05_06_15m_30m,Entry Model 1,646,,,,,,,6.20602,,,0.458554,0.252205,0.636223,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_htf_strict_2025_05_06_15m_30m
entry_models_htf_strict_2025_05_06_5m,Entry Model 1,1578,,,,,,,3.145958,,,0.507807,0.282528,0.657795,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_htf_strict_2025_05_06_5m
entry_models_htf_strict_2025_05_06_combined,Entry Model 1,2224,,,,,,,4.053414,,,0.493201,0.273536,0.651529,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_htf_strict_2025_05_06_combined
htf_soft_after_ict_refactor,Entry Model 1,667,,,,,,,2.151696,,,0.475728,0.268608,0.517241,,,,mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\htf_soft_after_ict_refactor
htf_strict_after_ict_refactor,Entry Model 1,324,,,,,,,2.246167,,,0.49026,0.327922,0.481481,,,,mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\htf_strict_after_ict_refactor
htf_strict_after_ict_refactor_2025_05_06_1h_4h_model12,Entry Model 1,21,,,,,,,2.745599,,,0.473684,0.263158,0.571429,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\htf_strict_after_ict_refactor_2025_05_06_1h_4h_model12
legacy_after_ict_refactor,Entry Model 1,1955,,,,,,,2.40496,,,0.482561,0.272727,0.573402,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\legacy_after_ict_refactor
legacy_after_ict_refactor_2025_05_06_1h_4h_model12,Entry Model 1,453,,,,,,,2.266332,,,0.492424,0.272727,0.629139,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\legacy_after_ict_refactor_2025_05_06_1h_4h_model12
probe_5m_3d,Entry Model 1,95,,,,,,,3.025005,,,0.554217,0.349398,0.663158,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\probe_5m_3d
smoke_ict_refactor,Entry Model 1,49,,,,,,,1.53751,,,0.367347,0.244898,0.673469,,,,high_invalidation;missing_expectancy;missing_profit_factor;weak_1r_followthrough;zero_activated_trades,backtest_results\smoke_ict_refactor
smoke_risk_quality_refactor,Entry Model 1,9,,,,,,,1.029969,,,0.333333,0.111111,0.444444,,,,missing_expectancy;missing_profit_factor;weak_1r_followthrough;zero_activated_trades,backtest_results\smoke_risk_quality_refactor
strict_model1_model2_structural,Entry Model 1,49,,,,,,,1.870148,,,0.591837,0.306122,0.265306,,,,missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\strict_model1_model2_structural
entry_models_2025_05_06_15m_30m,Entry Model 2,2827,,,,,,,3.446172,,,0.535027,0.332241,0.655819,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_2025_05_06_15m_30m
entry_models_2025_05_06_1h_4h,Entry Model 2,570,,,,,,,3.396077,,,0.541082,0.344689,0.659649,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_2025_05_06_1h_4h
entry_models_2025_05_06_5m,Entry Model 2,5968,,,,,,,3.444528,,,0.525619,0.329242,0.691354,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_2025_05_06_5m
entry_models_2025_05_06_combined,Entry Model 2,9365,,,,,,,3.44203,,,0.529419,0.331104,0.678697,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_2025_05_06_combined
entry_models_accumulated,Entry Model 2,787,,,,,,,3.049493,,,0.54185,0.337739,0.66582,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_accumulated
entry_models_htf_strict_2025_05_06_15m_30m,Entry Model 2,1225,,,,,,,3.161238,,,0.467181,0.290541,0.71102,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_htf_strict_2025_05_06_15m_30m
entry_models_htf_strict_2025_05_06_5m,Entry Model 2,2711,,,,,,,3.563776,,,0.466228,0.294737,0.729251,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_htf_strict_2025_05_06_5m
entry_models_htf_strict_2025_05_06_combined,Entry Model 2,3936,,,,,,,3.438013,,,0.466526,0.293426,0.723577,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_htf_strict_2025_05_06_combined
htf_soft_after_ict_refactor,Entry Model 2,685,,,,,,,2.673317,,,0.478477,0.266556,0.582482,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\htf_soft_after_ict_refactor
htf_strict_after_ict_refactor,Entry Model 2,342,,,,,,,2.644277,,,0.51634,0.30719,0.54386,,,,mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\htf_strict_after_ict_refactor
htf_strict_after_ict_refactor_2025_05_06_1h_4h_model12,Entry Model 2,33,,,,,,,1.92171,,,0.344828,0.310345,0.606061,,,,high_invalidation;missing_expectancy;missing_profit_factor;weak_1r_followthrough;zero_activated_trades,backtest_results\htf_strict_after_ict_refactor_2025_05_06_1h_4h_model12
legacy_after_ict_refactor,Entry Model 2,1260,,,,,,,2.467595,,,0.488021,0.254658,0.577778,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\legacy_after_ict_refactor
legacy_after_ict_refactor_2025_05_06_1h_4h_model12,Entry Model 2,319,,,,,,,2.116596,,,0.422383,0.249097,0.570533,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;weak_1r_followthrough;zero_activated_trades,backtest_results\legacy_after_ict_refactor_2025_05_06_1h_4h_model12
probe_5m_3d,Entry Model 2,158,,,,,,,2.454065,,,0.515152,0.295455,0.683544,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\probe_5m_3d
smoke_ict_refactor,Entry Model 2,61,,,,,,,1.660089,,,0.438596,0.280702,0.606557,,,,high_invalidation;missing_expectancy;missing_profit_factor;weak_1r_followthrough;zero_activated_trades,backtest_results\smoke_ict_refactor
smoke_risk_quality_refactor,Entry Model 2,40,,,,,,,7.529311,,,0.675,0.575,0.775,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\smoke_risk_quality_refactor
strict_model1_model2_structural,Entry Model 2,215,,,,,,,14.454856,,,0.706977,0.562791,0.809302,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\strict_model1_model2_structural
entry_models_2025_05_06_15m_30m,Entry Model 3,1130,,,,,,,22.17468,,,0.544362,0.360444,0.752212,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_2025_05_06_15m_30m
entry_models_2025_05_06_1h_4h,Entry Model 3,230,,,,,,,20.663959,,,0.568182,0.431818,0.813043,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_2025_05_06_1h_4h
entry_models_2025_05_06_combined,Entry Model 3,1360,,,,,,,21.919413,,,0.548387,0.372504,0.7625,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_2025_05_06_combined
entry_models_accumulated,Entry Model 3,135,,,,,,,10.058389,,,0.551181,0.370079,0.748148,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_accumulated
entry_models_htf_strict_2025_05_06_15m_30m,Entry Model 3,180,,,,,,,6.927113,,,0.52514,0.379888,0.922222,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_htf_strict_2025_05_06_15m_30m
entry_models_htf_strict_2025_05_06_combined,Entry Model 3,180,,,,,,,6.927113,,,0.52514,0.379888,0.922222,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\entry_models_htf_strict_2025_05_06_combined
htf_soft_after_ict_refactor,Entry Model 3,88,,,,,,,9.254832,,,0.5125,0.425,0.886364,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\htf_soft_after_ict_refactor
htf_strict_after_ict_refactor,Entry Model 3,38,,,,,,,8.8909,,,0.529412,0.470588,0.842105,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\htf_strict_after_ict_refactor
htf_strict_after_ict_refactor_2025_05_06_1h_4h_model3,Entry Model 3,12,,,,,,,18.429536,,,0.454545,0.454545,0.833333,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\htf_strict_after_ict_refactor_2025_05_06_1h_4h_model3
legacy_after_ict_refactor,Entry Model 3,21,,,,,,,15.052291,,,0.352941,0.294118,1.0,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;weak_1r_followthrough;zero_activated_trades,backtest_results\legacy_after_ict_refactor
legacy_after_ict_refactor_2025_05_06_1h_4h_model3,Entry Model 3,20,,,,,,,9.894489,,,0.631579,0.631579,0.7,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\legacy_after_ict_refactor_2025_05_06_1h_4h_model3
model3_fill_100,Entry Model 3,14,,,,,,,4.918568,,,0.461538,0.461538,0.928571,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\model3_fill_100
model3_fill_25,Entry Model 3,23,,,,,,,9.083174,,,0.555556,0.5,0.826087,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\model3_fill_25
model3_fill_50,Entry Model 3,21,,,,,,,9.083174,,,0.555556,0.5,0.809524,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\model3_fill_50
model3_refined_htf_ob,Entry Model 3,4,,,,,,,0.077751,,,0.0,0.0,0.0,,,,missing_expectancy;missing_profit_factor;weak_1r_followthrough;zero_activated_trades,backtest_results\model3_refined_htf_ob
model3_refined_ltf_mss,Entry Model 3,1,,,,,,,1.77798,,,0.0,0.0,1.0,,,,high_invalidation;missing_expectancy;missing_profit_factor;weak_1r_followthrough;zero_activated_trades,backtest_results\model3_refined_ltf_mss
model3_refined_source_zone,Entry Model 3,3,,,,,,,3.857193,,,0.0,0.0,1.0,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;weak_1r_followthrough;zero_activated_trades,backtest_results\model3_refined_source_zone
smoke_ict_refactor,Entry Model 3,7,,,,,,,2.410294,,,0.5,0.333333,0.857143,,,,high_invalidation;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\smoke_ict_refactor
research_2025_1h_btc_breaker_off_raw,breaker_block,36,15,0.420947,,,,,11.7464,4.206959,0.25,0.277778,0.25,0.166667,,,target_rr_below_2:19:0.577992;none:13:-0.25;target_rr_below_3:4:1.534278,missing_profit_factor;poor_fill_or_activation;target_rr_pressure;thin_sample;weak_1r_followthrough,backtest_results\research_2025_1h_btc_breaker_off_raw
