model,runs,passed_runs,best_run,best_expectancy,best_profit_factor,median_expectancy,total_activated_trades,top_barriers
turtle_soup,105,1,asian_turtle_smt_on_sweep_probe_extended_btc_1h,1.02387,inf,0.247065,39808,target_rr_pressure;net_cost_gap;wf_min_managed_expectancy_r;wf_min_phase_trades;wf_min_total_trades;thin_sample;high_invalidation;missing_profit_factor
ifvg_retest,37,0,full_2025_updated_4h_strict_tp1_1r_p30,2.273349,,-0.146507,4923,missing_profit_factor;missing_expectancy;weak_1r_followthrough;target_rr_pressure;thin_sample;low_target_hit_rate;mfe_not_monetized;high_invalidation
reclaimed_ob,38,0,spec_annual_4h_baseline,2.051041,,0.273823,341,missing_profit_factor;thin_sample;target_rr_pressure;missing_expectancy;weak_1r_followthrough;low_target_hit_rate;mfe_not_monetized;poor_fill_or_activation
silver_bullet,54,0,notebooklm_smoke_2025_btc_1h,1.5,,0.004877,2956,missing_profit_factor;high_invalidation;thin_sample;low_target_hit_rate;weak_1r_followthrough;negative_expectancy;missing_expectancy;net_cost_gap
breaker_block,22,0,research_2025_1h_btc_breaker_off_raw,0.420947,,-0.19711,1207,missing_profit_factor;missing_expectancy;target_rr_pressure;weak_1r_followthrough;thin_sample;poor_fill_or_activation;low_target_hit_rate;mfe_not_monetized
rejection_block,35,0,rejection_block_wick_filter_smoke_may_jun_2025_btc_30m,0.315095,,-0.087356,2692,target_rr_pressure;missing_profit_factor;weak_1r_followthrough;missing_expectancy;thin_sample;low_target_hit_rate;poor_fill_or_activation;negative_expectancy
mitigation_block,13,0,notebooklm_smoke_2025_btc_1h,-0.009577,,-0.009577,2671,missing_profit_factor;target_rr_pressure;weak_1r_followthrough;missing_expectancy;high_invalidation;thin_sample;negative_expectancy
Entry Model 1,17,0,entry_models_2025_05_06_15m_30m,,,,0,missing_expectancy;missing_profit_factor;zero_activated_trades;mfe_not_monetized;high_invalidation;weak_1r_followthrough
Entry Model 2,17,0,entry_models_2025_05_06_15m_30m,,,,0,missing_expectancy;missing_profit_factor;zero_activated_trades;high_invalidation;mfe_not_monetized;weak_1r_followthrough
Entry Model 3,18,0,entry_models_2025_05_06_15m_30m,,,,0,missing_expectancy;missing_profit_factor;zero_activated_trades;high_invalidation;mfe_not_monetized;weak_1r_followthrough
ict2022_mss_fvg,8,0,batch_score_may_jun_2025_1h_aligned,,,,87,missing_expectancy;missing_profit_factor;low_target_hit_rate;thin_sample;mfe_not_monetized;zero_activated_trades;weak_1r_followthrough
