model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2025-01-03,08:30-12:00,1,1,1,0,0.165868,0.165868,0.0,2.0,60.0,-1.0,-1.0,-1.125,-1.125,0.125,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2025-01-10,08:30-12:00,1,1,1,0,2.455122,2.455122,0.0,2.0,60.0,-1.0,1.0,0.91358,0.91358,0.08642,0.0,1.0,0.0,1.0,1.0,3.0,1.0,,0,1
turtle_soup,2025-01-18,08:30-12:00,1,1,1,0,1.682859,1.682859,0.0,2.0,60.0,-1.0,1.0,0.875,0.875,0.125,0.0,1.0,0.0,1.0,1.0,15.0,2.0,,0,1
turtle_soup,2025-01-19,08:30-12:00,1,1,1,0,7.050354,7.050354,0.0,2.0,60.0,-1.0,1.0,0.875,0.875,0.125,0.0,1.0,0.0,1.0,1.0,11.0,2.0,,0,1
turtle_soup,2025-01-30,08:30-12:00,1,1,1,0,1.549807,1.549807,0.0,2.0,60.0,1.549807,1.0,0.896225,0.896225,0.103775,0.0,1.0,0.0,0.0,1.0,,18.0,,0,1
turtle_soup,2025-02-02,08:30-12:00,1,1,1,0,0.020379,0.020379,0.0,2.0,60.0,-1.0,-1.0,-1.125,-1.125,0.125,0.0,0.0,0.0,1.0,1.0,5.0,,,0,1
turtle_soup,2025-02-05,08:30-12:00,1,1,1,0,2.401545,2.401545,0.0,2.0,60.0,-1.0,1.0,0.889983,0.889983,0.110017,0.0,1.0,0.0,1.0,1.0,4.0,3.0,,0,1
turtle_soup,2025-02-08,08:30-12:00,1,1,1,0,1.939106,1.939106,0.0,2.0,60.0,1.939106,1.0,0.875,0.875,0.125,0.0,1.0,0.0,0.0,1.0,,7.0,,0,1
turtle_soup,2025-02-09,08:30-12:00,1,1,1,0,0.983952,0.983952,0.0,2.0,60.0,-1.0,-1.0,-1.125,-1.125,0.125,0.0,0.0,0.0,1.0,1.0,6.0,,,0,1
turtle_soup,2025-02-12,08:30-12:00,1,1,1,0,2.126295,2.126295,1.0,2.0,60.0,2.0,1.0,0.918964,0.918964,0.081036,1.0,1.0,1.0,0.0,1.0,,4.0,16.0,0,1
turtle_soup,2025-02-14,08:30-12:00,1,1,1,0,0.065382,0.065382,0.0,2.0,60.0,-1.0,-1.0,-1.094898,-1.094898,0.094898,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2025-02-17,08:30-12:00,1,1,1,0,1.8189,1.8189,0.0,2.0,60.0,1.8189,1.0,0.875,0.875,0.125,0.0,1.0,0.0,0.0,1.0,,3.0,,0,1
turtle_soup,2025-02-21,08:30-12:00,1,1,1,0,0.704157,0.704157,0.0,2.0,60.0,-1.0,-1.0,-1.125,-1.125,0.125,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2025-03-02,08:30-12:00,2,2,2,0,6.827563,6.827563,0.0,2.0,60.0,-1.0,-1.0,-1.109015,-1.109015,0.109016,0.0,0.0,0.0,1.0,1.0,1.0,,,0,2
turtle_soup,2025-03-04,08:30-12:00,1,1,1,0,9.28428,9.28428,0.0,2.0,60.0,-1.0,-1.0,-1.125,-1.125,0.125,0.0,0.0,0.0,1.0,1.0,2.0,,,1,1
turtle_soup,2025-03-10,08:30-12:00,1,1,1,0,1.192626,1.192626,0.0,2.0,60.0,-1.0,1.0,0.888289,0.888289,0.111711,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,0,1
turtle_soup,2025-03-11,08:30-12:00,1,1,1,0,1.971842,1.971842,0.0,2.0,60.0,-1.0,1.0,0.913243,0.913243,0.086757,0.0,1.0,0.0,1.0,1.0,3.0,1.0,,1,1
turtle_soup,2025-03-12,08:30-12:00,1,1,1,0,3.069609,3.069609,1.0,2.0,80.0,2.0,1.0,0.906195,0.906195,0.093805,1.0,1.0,1.0,0.0,1.0,,1.0,3.0,0,1
turtle_soup,2025-03-17,08:30-12:00,1,1,1,0,3.020901,3.020901,1.0,2.0,60.0,2.0,1.0,0.875,0.875,0.125,1.0,1.0,1.0,0.0,1.0,,2.0,7.0,0,1
turtle_soup,2025-04-03,08:30-12:00,1,1,1,0,1.58028,1.58028,0.0,2.0,60.0,-1.0,-1.0,-1.125,-1.125,0.125,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2025-04-07,08:30-12:00,1,1,1,0,0.275941,0.275941,0.0,2.0,60.0,0.275941,-0.743192,-0.768406,-0.768406,0.025214,0.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2025-04-09,08:30-12:00,1,1,1,0,1.118307,1.118307,0.0,2.0,60.0,-1.0,1.0,0.894379,0.894379,0.105621,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,1,1
