model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2025-01-03,08:30-12:00,1,1,1,0,0.544434,0.544434,0.0,2.0,60.0,-1.0,-1.0,-1.410292,-1.410292,0.410292,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2025-01-04,08:30-12:00,1,1,1,0,0.204114,0.204114,0.0,2.0,60.0,-1.0,-1.0,-1.11989,-1.11989,0.11989,0.0,0.0,0.0,1.0,1.0,5.0,,,0,1
turtle_soup,2025-01-09,08:30-12:00,1,1,1,0,1.02436,1.02436,0.0,2.0,60.0,-1.0,1.0,0.930458,0.930458,0.069542,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,0,1
turtle_soup,2025-01-10,08:30-12:00,3,3,3,0,2.16957,2.455122,0.333333,2.0,60.0,0.0,0.333333,0.255644,0.255644,0.07769,0.333333,0.666667,0.333333,0.666667,1.0,3.0,1.0,5.0,0,3
turtle_soup,2025-01-12,08:30-12:00,1,1,1,0,5.007308,5.007308,0.0,2.0,60.0,-1.0,1.0,0.682572,0.682572,0.317428,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,0,1
turtle_soup,2025-01-18,08:30-12:00,1,1,1,0,3.020154,3.020154,1.0,2.0,60.0,2.0,1.0,0.775668,0.775668,0.224332,1.0,1.0,1.0,0.0,1.0,,1.0,2.0,0,1
turtle_soup,2025-01-19,08:30-12:00,2,2,2,0,10.445928,10.445928,1.0,2.0,60.0,2.0,1.0,0.813615,0.813615,0.186385,1.0,1.0,1.0,0.0,1.0,,1.0,5.0,0,2
turtle_soup,2025-01-21,08:30-12:00,1,1,1,0,0.109636,0.109636,0.0,2.0,60.0,-1.0,-1.0,-1.083502,-1.083502,0.083502,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2025-01-22,08:30-12:00,1,1,1,0,1.461041,1.461041,0.0,2.0,60.0,-1.0,-1.0,-1.038832,-1.038832,0.038832,0.0,0.0,0.0,1.0,1.0,10.0,,,0,1
turtle_soup,2025-01-23,08:30-12:00,2,2,2,0,2.331943,2.331943,0.5,2.0,60.0,0.5,0.0,-0.074151,-0.074151,0.074151,0.5,0.5,0.5,0.5,1.0,2.0,2.0,2.0,0,2
turtle_soup,2025-01-25,08:30-12:00,1,1,1,0,0.114611,0.114611,0.0,2.0,60.0,-1.0,-1.0,-1.160875,-1.160875,0.160875,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2025-01-26,08:30-12:00,1,1,1,0,4.368546,4.368546,0.0,2.0,60.0,-1.0,-1.0,-1.469814,-1.469814,0.469814,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2025-01-28,08:30-12:00,1,1,1,0,1.133966,1.133966,0.0,2.0,60.0,-1.0,1.0,0.905812,0.905812,0.094188,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,0,1
turtle_soup,2025-01-29,08:30-12:00,2,2,2,0,8.40451,8.40451,0.5,2.0,60.0,0.5,1.0,0.819188,0.819188,0.180812,0.5,1.0,0.5,0.5,1.0,2.0,1.5,3.0,1,2
turtle_soup,2025-01-30,08:30-12:00,2,2,2,0,1.60771,1.60771,0.0,2.0,60.0,1.60771,1.0,0.913845,0.913845,0.086155,0.0,1.0,0.0,0.0,1.0,,18.0,,0,2
turtle_soup,2025-01-31,08:30-12:00,1,1,1,0,2.113714,2.113714,0.0,2.0,60.0,-1.0,-1.0,-1.060343,-1.060343,0.060343,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2025-02-02,08:30-12:00,1,1,1,0,0.022247,0.022247,0.0,2.0,60.0,-1.0,-1.0,-1.136462,-1.136462,0.136462,0.0,0.0,0.0,1.0,1.0,5.0,,,0,1
turtle_soup,2025-02-05,08:30-12:00,1,1,1,0,2.401545,2.401545,0.0,2.0,60.0,-1.0,1.0,0.889983,0.889983,0.110017,0.0,1.0,0.0,1.0,1.0,4.0,3.0,,0,1
turtle_soup,2025-02-06,08:30-12:00,1,1,1,0,0.462077,0.462077,0.0,2.0,60.0,-1.0,-1.0,-1.112566,-1.112566,0.112566,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2025-02-08,08:30-12:00,2,2,2,0,6.10096,6.10096,1.0,2.0,60.0,2.0,1.0,0.705159,0.705159,0.294841,1.0,1.0,1.0,0.0,1.0,,2.5,4.5,0,2
turtle_soup,2025-02-09,08:30-12:00,2,2,2,0,2.791945,2.791945,0.0,2.0,60.0,-1.0,1.0,0.785345,0.785345,0.214655,0.0,1.0,0.0,1.0,1.0,6.5,1.5,,0,2
turtle_soup,2025-02-11,08:30-12:00,1,1,1,0,1.077192,1.077192,0.0,2.0,60.0,-1.0,-1.0,-1.19996,-1.19996,0.19996,0.0,0.0,0.0,1.0,1.0,1.0,,,1,1
turtle_soup,2025-02-12,08:30-12:00,3,3,3,0,2.70388,2.126295,0.333333,2.0,60.0,0.656313,0.32298,0.261702,0.261702,0.061278,0.333333,0.333333,0.333333,0.333333,1.0,2.0,4.0,16.0,0,3
turtle_soup,2025-02-14,08:30-12:00,1,1,1,0,0.065382,0.065382,0.0,2.0,60.0,-1.0,-1.0,-1.094898,-1.094898,0.094898,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2025-02-15,08:30-12:00,1,1,1,0,0.943906,0.943906,0.0,2.0,60.0,-1.0,-1.0,-1.210264,-1.210264,0.210264,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2025-02-16,08:30-12:00,1,1,1,0,1.015123,1.015123,0.0,2.0,60.0,-1.0,1.0,0.776316,0.776316,0.223684,0.0,1.0,0.0,1.0,1.0,6.0,5.0,,0,1
turtle_soup,2025-02-17,08:30-12:00,1,1,1,0,3.029904,3.029904,1.0,2.0,60.0,2.0,1.0,0.791776,0.791776,0.208224,1.0,1.0,1.0,0.0,1.0,,3.0,3.0,0,1
turtle_soup,2025-02-20,08:30-12:00,1,1,1,0,0.539956,0.539956,0.0,2.0,60.0,0.539956,0.539956,0.473786,0.473786,0.06617,0.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2025-02-21,08:30-12:00,3,3,3,0,0.945625,0.905024,0.0,2.0,60.0,-0.122753,-0.333333,-0.418556,-0.418556,0.085222,0.0,0.333333,0.0,0.666667,1.0,2.0,4.0,,0,3
turtle_soup,2025-02-22,08:30-12:00,1,1,1,0,1.407076,1.407076,0.0,2.0,60.0,-1.0,-1.0,-1.126534,-1.126534,0.126534,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2025-02-25,08:30-12:00,1,1,1,0,1.358412,1.358412,0.0,2.0,60.0,-1.0,1.0,0.93089,0.93089,0.06911,0.0,1.0,0.0,1.0,1.0,6.0,3.0,,0,1
turtle_soup,2025-02-26,08:30-12:00,1,1,1,0,0.668515,0.668515,0.0,2.0,60.0,-1.0,-1.0,-1.178982,-1.178982,0.178982,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2025-02-27,08:30-12:00,1,1,1,0,0.287368,0.287368,0.0,2.0,60.0,-1.0,-1.0,-1.062712,-1.062712,0.062712,0.0,0.0,0.0,1.0,1.0,9.0,,,0,1
turtle_soup,2025-02-27,14:00-15:45,1,1,1,0,1.518512,1.518512,0.0,2.0,60.0,-1.0,-1.0,-1.157633,-1.157633,0.157633,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2025-03-02,08:30-12:00,2,2,2,0,18.182828,18.182828,0.0,2.0,60.0,-1.0,-1.0,-1.213701,-1.213701,0.213701,0.0,0.0,0.0,1.0,1.0,1.0,,,0,2
turtle_soup,2025-03-04,08:30-12:00,3,3,3,0,4.708091,1.97928,0.0,2.0,60.0,0.947195,0.333333,0.270767,0.270767,0.062566,0.0,0.666667,0.0,0.333333,1.0,2.0,3.5,,1,3
turtle_soup,2025-03-05,08:30-12:00,1,1,1,0,6.978303,6.978303,0.0,2.0,60.0,-1.0,-1.0,-1.109026,-1.109026,0.109026,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2025-03-06,08:30-12:00,1,1,1,0,0.45126,0.45126,0.0,2.0,60.0,-1.0,-1.0,-1.060106,-1.060106,0.060106,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2025-03-10,08:30-12:00,1,1,1,0,1.192626,1.192626,0.0,2.0,60.0,-1.0,1.0,0.888289,0.888289,0.111711,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,0,1
turtle_soup,2025-03-11,08:30-12:00,1,1,1,0,1.971842,1.971842,0.0,2.0,60.0,-1.0,1.0,0.913243,0.913243,0.086757,0.0,1.0,0.0,1.0,1.0,3.0,1.0,,1,1
turtle_soup,2025-03-12,08:30-12:00,2,2,2,0,2.001227,2.001227,0.5,2.0,70.0,1.466423,0.966423,0.898926,0.898926,0.067497,0.5,0.5,0.5,0.0,1.0,,1.0,3.0,0,2
turtle_soup,2025-03-13,08:30-12:00,1,1,1,0,2.916526,2.916526,0.0,2.0,60.0,-1.0,1.0,0.927315,0.927315,0.072685,0.0,1.0,0.0,1.0,1.0,3.0,2.0,,1,1
turtle_soup,2025-03-15,08:30-12:00,2,2,2,0,4.900158,4.900158,0.5,2.0,60.0,0.5,0.0,-0.441981,-0.441981,0.441981,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0,2
turtle_soup,2025-03-17,08:30-12:00,2,2,2,0,3.748114,3.748114,0.0,2.0,60.0,-1.0,1.0,0.848784,0.848784,0.151216,0.0,1.0,0.0,1.0,1.0,10.5,4.0,,1,2
turtle_soup,2025-03-21,14:00-15:45,1,1,1,0,2.939773,2.939773,1.0,2.0,60.0,2.0,1.0,0.835154,0.835154,0.164846,1.0,1.0,1.0,0.0,1.0,,4.0,5.0,0,1
turtle_soup,2025-03-22,08:30-12:00,1,1,1,0,1.589012,1.589012,0.0,2.0,60.0,1.589012,1.0,0.848822,0.848822,0.151178,0.0,1.0,0.0,0.0,1.0,,17.0,,0,1
turtle_soup,2025-03-27,08:30-12:00,1,1,1,0,1.950055,1.950055,0.0,2.0,60.0,-1.0,1.0,0.908528,0.908528,0.091472,0.0,1.0,0.0,1.0,1.0,22.0,2.0,,0,1
turtle_soup,2025-03-30,08:30-12:00,1,1,1,0,2.19314,2.19314,0.0,2.0,60.0,-1.0,1.0,0.820956,0.820956,0.179044,0.0,1.0,0.0,1.0,1.0,3.0,2.0,,0,1
turtle_soup,2025-03-30,14:00-15:45,2,2,2,0,2.615181,2.615181,0.0,2.0,60.0,-1.0,-1.0,-1.198721,-1.198721,0.198721,0.0,0.0,0.0,1.0,1.0,2.5,,,0,2
turtle_soup,2025-03-31,08:30-12:00,1,1,1,0,8.837037,8.837037,1.0,2.0,60.0,2.0,1.0,0.700551,0.700551,0.299449,1.0,1.0,1.0,0.0,1.0,,1.0,2.0,0,1
turtle_soup,2025-04-02,08:30-12:00,2,2,2,0,5.932396,5.932396,0.0,2.0,60.0,-1.0,0.0,-0.085579,-0.085579,0.08558,0.0,0.5,0.0,1.0,1.0,4.0,4.0,,0,2
turtle_soup,2025-04-03,08:30-12:00,1,1,1,0,2.305084,2.305084,0.0,2.0,60.0,-1.0,-1.0,-1.182332,-1.182332,0.182332,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2025-04-07,08:30-12:00,3,3,3,0,0.291834,0.275941,0.0,2.0,60.0,0.291834,0.291834,0.272701,0.272701,0.019133,0.0,0.0,0.0,0.0,1.0,,,,0,3
