model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2024-12-10,08:30-12:00,1,1,1,0,7.109315,7.109315,1.0,1.904203,70.0,1.904203,1.0,0.805286,0.805286,0.194714,0.0,0.194714,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2025-02-08,08:30-12:00,1,1,1,0,4.850707,4.850707,0.0,9.54983,90.0,4.850707,1.0,0.908531,0.908531,0.09277,-0.001301,0.091469,0.0,1.0,1.0,0.0,1.0,,3.0,9.0,0,0
turtle_soup,2025-02-19,08:30-12:00,1,1,1,0,0.311354,0.311354,0.0,0.84012,70.0,-1.0,-1.0,-1.044737,-1.044737,0.047855,-0.003118,0.044737,0.0,0.0,0.0,1.0,1.0,12.0,,,0,1
turtle_soup,2025-02-26,08:30-12:00,1,1,1,0,3.570459,3.570459,1.0,1.616579,70.0,1.616579,1.0,0.935767,0.935767,0.063882,0.000351,0.064233,1.0,1.0,1.0,0.0,1.0,,1.0,2.0,0,1
turtle_soup,2025-03-04,08:30-12:00,1,1,1,0,4.514163,4.514163,1.0,0.86158,70.0,0.86158,1.0,0.9523,0.9523,0.047085,0.000615,0.0477,1.0,1.0,0.0,0.0,1.0,,2.0,,0,1
turtle_soup,2025-03-16,08:30-12:00,1,1,1,0,1.071562,1.071562,1.0,0.019514,70.0,0.019514,0.019514,-0.034147,-0.034147,0.053661,0.0,0.053661,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2025-03-17,08:30-12:00,1,1,1,0,3.666389,3.666389,1.0,1.960022,70.0,1.960022,1.0,0.836114,0.836114,0.163886,0.0,0.163886,1.0,1.0,1.0,0.0,1.0,,1.0,3.0,0,1
turtle_soup,2025-03-24,08:30-12:00,1,1,1,0,1.647022,1.647022,0.0,4.511197,90.0,-1.0,1.0,0.933922,0.933922,0.073425,-0.007347,0.066078,0.0,1.0,0.0,1.0,1.0,3.0,1.0,,0,0
turtle_soup,2025-04-14,08:30-12:00,1,1,1,0,4.364205,4.364205,1.0,2.776694,80.0,2.776694,1.0,0.782236,0.782236,0.217764,0.0,0.217764,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2025-04-24,08:30-12:00,1,1,1,0,0.518189,0.518189,0.0,2.120344,80.0,0.518189,-0.017625,-0.051094,-0.051094,0.038431,-0.004962,0.033469,0.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2025-05-12,08:30-12:00,1,1,1,0,1.121117,1.121117,1.0,0.968504,70.0,0.968504,1.0,0.89134,0.89134,0.098782,0.009878,0.10866,1.0,1.0,0.0,0.0,1.0,,1.0,,0,1
turtle_soup,2025-05-14,08:30-12:00,1,1,1,0,5.822109,5.822109,1.0,0.821624,70.0,0.821624,1.0,0.756118,0.756118,0.243882,0.0,0.243882,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2025-05-17,08:30-12:00,1,1,1,0,7.583255,7.583255,0.0,14.451534,90.0,7.583255,1.0,0.866699,0.866699,0.130278,0.003023,0.133301,0.0,1.0,1.0,0.0,1.0,,1.0,4.0,0,0
turtle_soup,2025-05-25,08:30-12:00,1,1,1,0,3.174917,3.174917,1.0,3.106639,90.0,3.106639,1.0,0.904611,0.904611,0.101811,-0.006422,0.095389,1.0,1.0,1.0,0.0,1.0,,4.0,7.0,0,0
turtle_soup,2025-05-26,08:30-12:00,1,1,1,0,5.504012,5.504012,0.0,6.087572,90.0,-1.0,1.0,0.76032,0.76032,0.23968,0.0,0.23968,0.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,0,0
turtle_soup,2025-06-29,08:30-12:00,1,1,1,0,7.197839,7.197839,0.0,1.873498,70.0,-1.0,1.0,0.831018,0.831018,0.171396,-0.002414,0.168982,0.0,1.0,0.0,1.0,1.0,4.0,1.0,,0,1
turtle_soup,2025-09-23,08:30-12:00,2,2,2,0,3.489622,3.489622,1.0,0.877926,70.0,0.877926,1.0,0.868247,0.868247,0.138182,-0.006429,0.131753,1.0,1.0,0.0,0.0,1.0,,3.0,,0,2
turtle_soup,2025-10-14,08:30-12:00,1,1,1,0,2.699944,2.699944,0.0,4.926356,90.0,2.699944,1.0,0.943723,0.943723,0.056277,0.0,0.056277,0.0,1.0,1.0,0.0,1.0,,2.0,3.0,0,0
turtle_soup,2025-10-20,08:30-12:00,1,1,1,0,2.690852,2.690852,0.0,4.829118,90.0,-1.0,1.0,0.902275,0.902275,0.107542,-0.009817,0.097725,0.0,1.0,0.0,1.0,1.0,3.0,1.0,,0,0
turtle_soup,2025-11-15,08:30-12:00,1,1,1,0,1.515333,1.515333,0.0,4.404818,90.0,-1.0,1.0,0.904909,0.904909,0.105758,-0.010667,0.095091,0.0,1.0,0.0,1.0,1.0,4.0,1.0,,0,0
turtle_soup,2025-11-17,08:30-12:00,2,2,2,0,2.802133,2.802133,1.0,0.228487,70.0,0.228487,0.228487,0.185755,0.185755,0.042732,0.0,0.042732,1.0,0.0,0.0,0.0,1.0,,,,0,2
turtle_soup,2025-11-23,08:30-12:00,1,1,1,0,1.130639,1.130639,0.0,6.237234,90.0,-1.0,-1.0,-1.083048,-1.083048,0.076853,0.006195,0.083048,0.0,0.0,0.0,1.0,1.0,4.0,,,0,0
turtle_soup,2025-11-29,08:30-12:00,1,1,1,0,4.671872,4.671872,1.0,0.688636,70.0,0.688636,1.0,0.524088,0.524088,0.488801,-0.012889,0.475912,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2026-01-09,08:30-12:00,1,1,1,0,4.699848,4.699848,1.0,3.192093,90.0,3.192093,1.0,0.822099,0.822099,0.177901,0.0,0.177901,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2026-01-18,08:30-12:00,1,1,1,0,2.480546,2.480546,0.0,2.324536,80.0,-1.0,1.0,0.705493,0.705493,0.319725,-0.025218,0.294507,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,1,1
turtle_soup,2026-02-09,08:30-12:00,1,1,1,0,4.48062,4.48062,0.0,3.079952,90.0,-1.0,1.0,0.888749,0.888749,0.109984,0.001267,0.111251,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,1,0
turtle_soup,2026-02-21,08:30-12:00,1,1,1,0,2.008744,2.008744,1.0,1.706776,70.0,1.706776,1.0,0.820338,0.820338,0.175076,0.004586,0.179662,1.0,1.0,1.0,0.0,1.0,,1.0,2.0,0,1
turtle_soup,2026-03-30,08:30-12:00,1,1,1,0,2.314313,2.314313,1.0,0.348734,70.0,0.348734,0.348734,0.248151,0.248151,0.100583,0.0,0.100583,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2026-04-11,08:30-12:00,3,3,3,0,6.676021,6.642168,0.666667,1.799129,76.666667,1.16592,0.333333,0.034807,0.034807,0.298526,0.0,0.298526,0.666667,0.666667,0.333333,0.333333,1.0,2.0,2.0,3.0,0,2
