model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2022-01-02,08:30-12:00,1,1,1,0,0.67901,0.67901,0.0,9.161877,90.0,-1.0,-1.0,-1.10926,-1.10926,0.1214,-0.01214,0.10926,0.0,0.0,0.0,1.0,1.0,2.0,,,0,0
turtle_soup,2022-03-04,08:30-12:00,1,1,1,0,0.862378,0.862378,0.0,8.276633,90.0,-1.0,-1.0,-1.103449,-1.103449,0.103449,0.0,0.103449,0.0,0.0,0.0,1.0,1.0,2.0,,,0,0
turtle_soup,2022-03-11,08:30-12:00,1,1,1,0,27.590365,27.590365,1.0,3.61275,90.0,3.61275,1.0,0.818296,0.818296,0.167659,0.014045,0.181704,1.0,1.0,1.0,0.0,1.0,,3.0,4.0,0,0
turtle_soup,2022-04-24,08:30-12:00,1,1,1,0,0.557084,0.557084,1.0,0.531857,70.0,0.531857,0.531857,0.464321,0.464321,0.067536,0.0,0.067536,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2022-05-23,08:30-12:00,1,1,1,0,0.827708,0.827708,1.0,0.79351,70.0,0.79351,0.79351,0.705852,0.705852,0.087658,0.0,0.087658,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2022-05-24,08:30-12:00,2,2,2,0,1.204898,1.204898,1.0,0.57677,70.0,0.57677,0.688091,0.601753,0.601753,0.084141,0.002198,0.086339,1.0,0.5,0.0,0.0,1.0,,1.0,,0,2
turtle_soup,2022-07-18,08:30-12:00,1,1,1,0,8.85325,8.85325,0.0,10.808108,90.0,-1.0,1.0,0.793161,0.793161,0.206839,0.0,0.206839,0.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1,0
turtle_soup,2022-08-11,08:30-12:00,1,1,1,0,2.822024,2.822024,0.0,4.115452,90.0,-1.0,1.0,0.673711,0.673711,0.296626,0.029663,0.326289,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,1,0
turtle_soup,2022-08-18,08:30-12:00,1,1,1,0,1.403782,1.403782,0.0,3.438346,90.0,-1.0,1.0,0.693502,0.693502,0.28599,0.020508,0.306498,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,0,0
turtle_soup,2022-09-08,08:30-12:00,1,1,1,0,9.686115,9.686115,1.0,0.789707,70.0,0.789707,1.0,0.905626,0.905626,0.089313,0.005061,0.094374,1.0,1.0,0.0,0.0,1.0,,7.0,,0,1
turtle_soup,2022-09-11,08:30-12:00,1,1,1,0,1.481125,1.481125,0.0,3.837735,90.0,-1.0,-1.0,-1.152977,-1.152977,0.163984,-0.011007,0.152977,0.0,0.0,0.0,1.0,1.0,2.0,,,0,0
turtle_soup,2022-09-12,08:30-12:00,1,1,1,0,8.484093,8.484093,0.0,5.049721,90.0,-1.0,1.0,0.869458,0.869458,0.130542,0.0,0.130542,0.0,1.0,0.0,1.0,1.0,3.0,1.0,,1,0
turtle_soup,2022-12-01,08:30-12:00,1,1,1,0,3.200983,3.200983,0.0,2.887417,80.0,-1.0,1.0,0.909112,0.909112,0.100537,-0.009649,0.090888,0.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,1,1
turtle_soup,2022-12-04,08:30-12:00,1,1,1,0,0.434638,0.434638,0.0,1.343235,70.0,-1.0,-1.0,-1.172441,-1.172441,0.18072,-0.008279,0.172441,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2023-02-01,08:30-12:00,1,1,1,0,13.080673,13.080673,0.0,1.81869,70.0,-1.0,1.0,0.741565,0.741565,0.234941,0.023494,0.258435,0.0,1.0,0.0,1.0,1.0,3.0,2.0,,1,1
turtle_soup,2023-02-28,08:30-12:00,1,1,1,0,2.909296,2.909296,1.0,0.844784,70.0,0.844784,1.0,0.853661,0.853661,0.155597,-0.009258,0.146339,1.0,1.0,0.0,0.0,1.0,,3.0,,0,1
turtle_soup,2023-03-11,08:30-12:00,3,3,3,0,1.704505,1.929038,0.0,3.625733,83.333333,-0.023654,0.333333,0.220925,0.220925,0.109542,0.002867,0.112409,0.0,0.666667,0.0,0.666667,1.0,8.5,2.5,,1,2
turtle_soup,2023-03-25,08:30-12:00,1,1,1,0,2.42225,2.42225,0.0,1.981204,70.0,-1.0,-1.0,-1.103842,-1.103842,0.099494,0.004348,0.103842,0.0,0.0,0.0,1.0,1.0,4.0,,,0,1
turtle_soup,2023-04-07,08:30-12:00,1,1,1,0,1.048031,1.048031,0.0,1.705618,70.0,-1.0,-1.0,-1.222213,-1.222213,0.222213,0.0,0.222213,0.0,0.0,0.0,1.0,1.0,4.0,,,0,1
turtle_soup,2023-04-12,08:30-12:00,1,1,1,0,2.098568,2.098568,1.0,1.098837,70.0,1.098837,1.0,0.898821,0.898821,0.089667,0.011512,0.101179,1.0,1.0,0.0,0.0,1.0,,18.0,,0,1
turtle_soup,2023-04-17,08:30-12:00,1,1,1,0,11.107324,11.107324,1.0,4.466437,90.0,4.466437,1.0,0.671664,0.671664,0.298487,0.029849,0.328336,1.0,1.0,1.0,0.0,1.0,,2.0,3.0,0,0
turtle_soup,2023-06-24,08:30-12:00,1,1,1,0,2.945913,2.945913,1.0,0.752844,70.0,0.752844,0.752844,0.699006,0.699006,0.049229,0.004609,0.053838,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2023-06-25,08:30-12:00,1,1,1,0,1.500386,1.500386,1.0,0.229226,70.0,0.229226,0.229226,0.167998,0.167998,0.061228,0.0,0.061228,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2023-07-11,08:30-12:00,1,1,1,0,0.893946,0.893946,0.0,1.02786,70.0,-1.0,-1.0,-1.120712,-1.120712,0.135624,-0.014912,0.120712,0.0,0.0,0.0,1.0,1.0,16.0,,,0,1
turtle_soup,2023-07-12,08:30-12:00,1,1,1,0,5.992994,5.992994,1.0,0.211598,70.0,0.211598,0.211598,0.126126,0.126126,0.085472,0.0,0.085472,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2023-08-03,08:30-12:00,1,1,1,0,0.675607,0.675607,0.0,1.089894,70.0,-1.0,-1.0,-1.101519,-1.101519,0.09229,0.009229,0.101519,0.0,0.0,0.0,1.0,1.0,5.0,,,0,1
turtle_soup,2023-08-20,08:30-12:00,1,1,1,0,1.252315,1.252315,1.0,0.539814,70.0,0.539814,1.0,0.828336,0.828336,0.171996,-0.000332,0.171664,1.0,1.0,0.0,0.0,1.0,,5.0,,0,1
