model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2022-03-04,08:30-12:00,1,1,1,0,0.542883,0.542883,0.0,3.806544,90.0,-1.0,-1.0,-1.120355,-1.120355,0.164947,-0.044592,0.120355,0.0,0.0,0.0,1.0,1.0,2.0,,,0,0
turtle_soup,2022-03-27,08:30-12:00,1,1,1,0,0.252126,0.252126,0.0,1.76488,70.0,-1.0,-1.0,-1.133017,-1.133017,0.133017,0.0,0.133017,0.0,0.0,0.0,1.0,1.0,5.0,,,0,1
turtle_soup,2022-05-01,08:30-12:00,2,2,2,0,2.107975,2.107975,0.0,3.648586,90.0,-1.0,0.0,-0.295544,-0.295544,0.295544,0.0,0.295544,0.0,0.5,0.5,1.0,1.0,3.0,1.0,1.0,1,0
turtle_soup,2022-06-05,08:30-12:00,2,2,2,0,5.476031,5.476031,1.0,0.379487,70.0,0.379487,0.379487,0.253584,0.253584,0.125903,0.0,0.125903,1.0,0.0,0.0,0.0,1.0,,,,0,2
turtle_soup,2022-07-07,08:30-12:00,1,1,1,0,13.09295,13.09295,1.0,4.890951,90.0,4.890951,1.0,0.618182,0.618182,0.381818,0.0,0.381818,1.0,1.0,1.0,0.0,1.0,,2.0,2.0,0,0
turtle_soup,2022-07-12,08:30-12:00,2,2,2,0,3.251741,3.251741,0.5,0.507874,70.0,-0.383144,-0.383144,-0.484184,-0.484184,0.10104,0.0,0.10104,0.5,0.0,0.0,0.5,1.0,2.0,,,0,2
turtle_soup,2022-07-21,08:30-12:00,1,1,1,0,2.107297,2.107297,0.0,1.863679,70.0,-1.0,1.0,0.84191,0.84191,0.15809,0.0,0.15809,0.0,1.0,0.0,1.0,1.0,3.0,2.0,,1,1
turtle_soup,2022-09-14,08:30-12:00,1,1,1,0,6.674476,6.674476,1.0,0.356148,70.0,0.356148,1.0,0.814592,0.814592,0.185408,0.0,0.185408,1.0,1.0,0.0,0.0,1.0,,1.0,,0,1
turtle_soup,2022-10-14,08:30-12:00,1,1,1,0,0.117684,0.117684,0.0,0.288607,70.0,-1.0,-1.0,-1.15253,-1.15253,0.15253,0.0,0.15253,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2022-11-07,08:30-12:00,1,1,1,0,7.804427,7.804427,0.0,9.933434,90.0,-1.0,1.0,0.872932,0.872932,0.127068,0.0,0.127068,0.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1,0
turtle_soup,2022-12-27,08:30-12:00,1,1,1,0,0.740226,0.740226,1.0,0.150824,70.0,0.150824,0.150824,0.102201,0.102201,0.048623,0.0,0.048623,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2023-01-09,08:30-12:00,1,1,1,0,3.559332,3.559332,0.0,1.293025,70.0,-1.0,-1.0,-1.098453,-1.098453,0.098453,0.0,0.098453,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2023-02-12,08:30-12:00,1,1,1,0,2.539452,2.539452,0.0,2.241816,80.0,-1.0,-1.0,-1.243441,-1.243441,0.243441,0.0,0.243441,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2023-02-22,08:30-12:00,1,1,1,0,9.581997,9.581997,1.0,8.917324,90.0,8.917324,1.0,0.76168,0.76168,0.271454,-0.033134,0.23832,1.0,1.0,1.0,0.0,1.0,,2.0,3.0,0,0
turtle_soup,2023-03-11,08:30-12:00,1,1,1,0,6.942537,6.942537,1.0,5.545328,90.0,5.545328,1.0,0.827645,0.827645,0.262057,-0.089702,0.172355,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2023-06-06,08:30-12:00,1,1,1,0,0.356375,0.356375,0.0,2.063225,80.0,-1.0,-1.0,-1.10453,-1.10453,0.10453,0.0,0.10453,0.0,0.0,0.0,1.0,1.0,5.0,,,0,1
turtle_soup,2023-07-25,08:30-12:00,1,1,1,0,0.62966,0.62966,0.0,3.20527,90.0,0.62966,0.251864,0.108973,0.108973,0.142621,0.00027,0.142891,0.0,0.0,0.0,0.0,1.0,,,,0,0
turtle_soup,2023-11-02,08:30-12:00,1,1,1,0,2.894731,2.894731,0.0,2.991222,80.0,-1.0,1.0,0.893474,0.893474,0.106526,0.0,0.106526,0.0,1.0,0.0,1.0,1.0,5.0,2.0,,0,1
turtle_soup,2023-11-20,08:30-12:00,1,1,1,0,0.400183,0.400183,0.0,2.0,80.0,0.400183,-0.650701,-0.667077,-0.667077,0.009377,0.006999,0.016376,0.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2023-11-21,08:30-12:00,1,1,1,0,5.252198,5.252198,1.0,0.931259,70.0,0.931259,1.0,0.971637,0.971637,0.034144,-0.005781,0.028363,1.0,1.0,0.0,0.0,1.0,,2.0,,0,1
turtle_soup,2023-11-30,08:30-12:00,1,1,1,0,2.453975,2.453975,1.0,0.500519,70.0,0.500519,0.500519,0.305505,0.305505,0.195014,0.0,0.195014,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2024-01-08,08:30-12:00,1,1,1,0,4.574512,4.574512,0.0,3.081034,90.0,-1.0,1.0,0.64507,0.64507,0.35493,0.0,0.35493,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,1,0
turtle_soup,2024-01-14,08:30-12:00,1,1,1,0,4.593707,4.593707,0.0,2.916749,80.0,-1.0,1.0,0.788003,0.788003,0.211997,0.0,0.211997,0.0,1.0,1.0,1.0,1.0,7.0,4.0,5.0,1,1
turtle_soup,2024-05-26,08:30-12:00,1,1,1,0,3.437893,3.437893,1.0,1.376281,70.0,1.376281,1.0,0.662502,0.662502,0.337498,0.0,0.337498,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2024-07-09,08:30-12:00,1,1,1,0,0.473466,0.473466,0.0,1.54945,70.0,-1.0,-1.0,-1.084502,-1.084502,0.084502,0.0,0.084502,0.0,0.0,0.0,1.0,1.0,4.0,,,0,1
turtle_soup,2024-07-30,08:30-12:00,1,1,1,0,1.67531,1.67531,1.0,0.725392,70.0,0.725392,1.0,0.801405,0.801405,0.198595,0.0,0.198595,1.0,1.0,0.0,0.0,1.0,,1.0,,0,1
turtle_soup,2024-08-13,08:30-12:00,1,1,1,0,2.163767,2.163767,1.0,1.171555,70.0,1.171555,1.0,0.879539,0.879539,0.120461,0.0,0.120461,1.0,1.0,0.0,0.0,1.0,,8.0,,0,1
turtle_soup,2024-08-28,08:30-12:00,1,1,1,0,0.786166,0.786166,0.0,0.874914,70.0,0.786166,0.223204,0.182446,0.182446,0.040758,0.0,0.040758,0.0,0.0,0.0,0.0,1.0,,,,0,1
