model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2022-02-11,13:30-16:00,1,1,1,0,0.370246,0.370246,0.0,1.732591,70.0,-1.0,-1.0,-1.06212,-1.06212,0.06212,0.0,0.06212,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2022-02-12,13:30-16:00,1,1,1,0,2.728408,2.728408,1.0,1.845259,70.0,1.845259,1.0,0.872526,0.872526,0.127474,0.0,0.127474,1.0,1.0,0.0,0.0,1.0,,1.0,,0,1
turtle_soup,2022-07-02,13:30-16:00,1,1,1,0,5.645522,5.645522,1.0,0.28446,70.0,0.28446,0.28446,0.078732,0.078732,0.205728,0.0,0.205728,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2022-08-21,13:30-16:00,1,1,1,0,1.686024,1.686024,1.0,0.607232,70.0,0.607232,1.0,0.939357,0.939357,0.060643,0.0,0.060643,1.0,1.0,0.0,0.0,1.0,,11.0,,0,1
turtle_soup,2022-12-02,13:30-16:00,1,1,1,0,3.612602,3.612602,0.0,4.781958,90.0,-1.0,-1.0,-1.442044,-1.442044,0.442044,0.0,0.442044,0.0,0.0,0.0,1.0,1.0,2.0,,,0,0
turtle_soup,2022-12-14,13:30-16:00,1,1,1,0,1.077623,1.077623,1.0,0.830334,70.0,0.830334,1.0,0.832831,0.832831,0.167169,0.0,0.167169,1.0,1.0,0.0,0.0,1.0,,3.0,,0,1
turtle_soup,2023-01-16,13:30-16:00,1,1,1,0,2.244792,2.244792,0.0,2.506508,80.0,-1.0,1.0,0.897554,0.897554,0.102446,0.0,0.102446,0.0,1.0,0.0,1.0,1.0,7.0,1.0,,1,1
turtle_soup,2023-04-11,13:30-16:00,1,1,1,0,1.120002,1.120002,1.0,0.329522,70.0,0.329522,0.329522,0.262304,0.262304,0.067218,0.0,0.067218,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2023-05-13,13:30-16:00,1,1,1,0,0.760953,0.760953,1.0,0.29848,70.0,0.29848,0.29848,0.204161,0.204161,0.094319,0.0,0.094319,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2023-05-27,13:30-16:00,1,1,1,0,0.000619,0.000619,0.0,0.486573,70.0,-1.0,-1.0,-1.165222,-1.165222,0.165222,0.0,0.165222,0.0,0.0,0.0,1.0,1.0,5.0,,,0,1
turtle_soup,2023-06-10,13:30-16:00,1,1,1,0,0.994821,0.994821,1.0,0.366844,70.0,0.366844,0.366844,0.285061,0.285061,0.081783,0.0,0.081783,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2023-07-09,13:30-16:00,1,1,1,0,0.218023,0.218023,0.0,0.888916,70.0,-1.0,-1.0,-1.457849,-1.457849,0.457849,0.0,0.457849,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2024-02-15,13:30-16:00,1,1,1,0,2.796029,2.796029,1.0,0.549859,70.0,0.549859,0.549859,0.309108,0.309108,0.240751,0.0,0.240751,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2024-02-16,13:30-16:00,1,1,1,0,3.714563,3.714563,0.0,4.993766,90.0,-1.0,1.0,0.586275,0.586275,0.413725,0.0,0.413725,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,1,0
turtle_soup,2024-06-19,13:30-16:00,2,2,2,0,5.43166,5.43166,1.0,0.880814,70.0,0.880814,0.574176,0.317528,0.317528,0.256648,0.0,0.256648,1.0,0.5,0.5,0.0,1.0,,5.0,5.0,0,2
turtle_soup,2024-09-20,13:30-16:00,2,2,2,0,1.659225,1.659225,0.0,2.351473,75.0,1.659225,1.0,0.834818,0.834818,0.165182,0.0,0.165182,0.0,1.0,0.5,0.0,1.0,,12.0,6.0,0,2
turtle_soup,2026-01-11,13:30-16:00,1,1,1,0,10.636918,10.636918,1.0,1.134909,70.0,1.134909,1.0,0.519455,0.519455,0.480545,0.0,0.480545,1.0,1.0,0.0,0.0,1.0,,1.0,,0,1
turtle_soup,2026-02-23,13:30-16:00,1,1,1,0,0.906997,0.906997,0.0,6.193284,90.0,-1.0,-1.0,-1.107627,-1.107627,0.107627,0.0,0.107627,0.0,0.0,0.0,1.0,1.0,5.0,,,0,0
turtle_soup,2026-04-14,13:30-16:00,1,1,1,0,2.50518,2.50518,0.0,3.03515,90.0,-1.0,1.0,0.730835,0.730835,0.269165,0.0,0.269165,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,1,0
