model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2024-12-10,08:30-12:00,2,2,2,0,7.109315,7.109315,1.0,1.352774,70.0,1.352774,1.0,0.805286,0.805286,0.194714,0.0,0.194714,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,2
turtle_soup,2025-02-25,08:30-12:00,1,1,1,0,1.358412,1.358412,0.0,2.383264,80.0,-1.0,1.0,0.93089,0.93089,0.06911,0.0,0.06911,0.0,1.0,0.0,1.0,1.0,6.0,3.0,,0,1
turtle_soup,2025-03-04,08:30-12:00,1,1,1,0,4.514163,4.514163,1.0,0.86158,70.0,0.86158,1.0,0.9523,0.9523,0.047085,0.000615,0.0477,1.0,1.0,0.0,0.0,1.0,,2.0,,0,1
turtle_soup,2025-03-16,08:30-12:00,1,1,1,0,1.071562,1.071562,1.0,0.019514,70.0,0.019514,0.019514,-0.034147,-0.034147,0.053661,0.0,0.053661,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2025-03-17,08:30-12:00,3,3,3,0,2.38074,1.947942,1.0,1.404002,70.0,1.404002,1.0,0.902024,0.902024,0.099784,-0.001808,0.097976,1.0,1.0,0.333333,0.0,1.0,,3.666667,3.0,0,3
turtle_soup,2025-04-14,08:30-12:00,1,1,1,0,4.364205,4.364205,1.0,2.776694,80.0,2.776694,1.0,0.782236,0.782236,0.217764,0.0,0.217764,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2025-04-23,08:30-12:00,1,1,1,0,0.566576,0.566576,0.0,1.080223,70.0,0.566576,-0.235797,-0.283039,-0.283039,0.04816,-0.000918,0.047242,0.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2025-05-07,08:30-12:00,1,1,1,0,13.975767,13.975767,0.0,0.807673,70.0,-1.0,-1.0,-1.128943,-1.128943,0.120886,0.008057,0.128943,0.0,0.0,0.0,1.0,1.0,2.0,,,1,1
turtle_soup,2025-05-14,08:30-12:00,1,1,1,0,5.822109,5.822109,1.0,0.821624,70.0,0.821624,1.0,0.756118,0.756118,0.243882,0.0,0.243882,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2025-05-16,08:30-12:00,1,1,1,0,2.120625,2.120625,1.0,1.03317,70.0,1.03317,1.0,0.842697,0.842697,0.161848,-0.004545,0.157303,1.0,1.0,0.0,0.0,1.0,,16.0,,0,1
turtle_soup,2025-05-25,08:30-12:00,1,1,1,0,7.32805,7.32805,1.0,6.553371,90.0,6.553371,1.0,0.862656,0.862656,0.142549,-0.005205,0.137344,1.0,1.0,1.0,0.0,1.0,,3.0,4.0,0,0
turtle_soup,2025-05-26,08:30-12:00,2,2,2,0,5.504012,5.504012,0.5,3.671259,80.0,0.127473,1.0,0.76032,0.76032,0.23968,0.0,0.23968,0.5,1.0,1.0,0.5,1.0,22.0,1.0,1.0,0,1
turtle_soup,2025-06-10,08:30-12:00,1,1,1,0,3.278381,3.278381,1.0,2.503491,80.0,2.503491,1.0,0.880317,0.880317,0.119683,0.0,0.119683,1.0,1.0,1.0,0.0,1.0,,1.0,2.0,0,1
turtle_soup,2025-06-14,08:30-12:00,1,1,1,0,1.716287,1.716287,0.0,0.830633,70.0,-1.0,-1.0,-1.288383,-1.288383,0.288383,0.0,0.288383,0.0,0.0,0.0,1.0,1.0,6.0,,,0,1
turtle_soup,2025-06-16,08:30-12:00,1,1,1,0,11.954731,11.954731,0.0,3.229221,90.0,-1.0,-1.0,-1.190417,-1.190417,0.189243,0.001174,0.190417,0.0,0.0,0.0,1.0,1.0,6.0,,,0,0
turtle_soup,2025-06-25,08:30-12:00,1,1,1,0,8.947537,8.947537,1.0,3.629802,90.0,3.629802,1.0,0.779986,0.779986,0.220014,0.0,0.220014,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2025-07-05,08:30-12:00,2,2,2,0,5.817666,5.817666,1.0,2.814408,80.0,2.814408,1.0,0.647817,0.647817,0.352183,0.0,0.352183,1.0,1.0,1.0,0.0,1.0,,1.5,2.0,0,1
turtle_soup,2025-07-11,08:30-12:00,1,1,1,0,5.186907,5.186907,1.0,2.122197,80.0,2.122197,1.0,0.897377,0.897377,0.102623,0.0,0.102623,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2025-08-05,08:30-12:00,1,1,1,0,1.23469,1.23469,0.0,1.309639,70.0,-1.0,1.0,0.77784,0.77784,0.22216,0.0,0.22216,0.0,1.0,0.0,1.0,1.0,3.0,2.0,,0,1
