model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2024-12-10,08:30-12:00,2,2,2,0,7.109315,7.109315,1.0,1.352774,70.0,1.352774,1.0,0.805286,0.805286,0.194714,0.0,0.194714,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,2
turtle_soup,2025-03-04,08:30-12:00,1,1,1,0,4.514163,4.514163,1.0,0.86158,70.0,0.86158,1.0,0.9523,0.9523,0.047085,0.000615,0.0477,1.0,1.0,0.0,0.0,1.0,,2.0,,0,1
turtle_soup,2025-03-16,08:30-12:00,1,1,1,0,1.071562,1.071562,1.0,0.019514,70.0,0.019514,0.019514,-0.034147,-0.034147,0.053661,0.0,0.053661,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2025-03-17,08:30-12:00,1,1,1,0,3.666389,3.666389,1.0,1.960022,70.0,1.960022,1.0,0.836114,0.836114,0.163886,0.0,0.163886,1.0,1.0,1.0,0.0,1.0,,1.0,3.0,0,1
turtle_soup,2025-04-14,08:30-12:00,1,1,1,0,4.364205,4.364205,1.0,2.776694,80.0,2.776694,1.0,0.782236,0.782236,0.217764,0.0,0.217764,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2025-04-23,08:30-12:00,1,1,1,0,0.566576,0.566576,0.0,1.080223,70.0,0.566576,-0.235797,-0.283039,-0.283039,0.04816,-0.000918,0.047242,0.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2025-05-14,08:30-12:00,1,1,1,0,5.822109,5.822109,1.0,0.821624,70.0,0.821624,1.0,0.756118,0.756118,0.243882,0.0,0.243882,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2025-05-16,08:30-12:00,1,1,1,0,2.120625,2.120625,1.0,1.03317,70.0,1.03317,1.0,0.842697,0.842697,0.161848,-0.004545,0.157303,1.0,1.0,0.0,0.0,1.0,,16.0,,0,1
turtle_soup,2025-05-26,08:30-12:00,2,2,2,0,5.504012,5.504012,0.5,3.671259,80.0,0.127473,1.0,0.76032,0.76032,0.23968,0.0,0.23968,0.5,1.0,1.0,0.5,1.0,22.0,1.0,1.0,0,1
turtle_soup,2025-06-14,08:30-12:00,1,1,1,0,1.716287,1.716287,0.0,0.830633,70.0,-1.0,-1.0,-1.288383,-1.288383,0.288383,0.0,0.288383,0.0,0.0,0.0,1.0,1.0,6.0,,,0,1
turtle_soup,2025-08-05,08:30-12:00,1,1,1,0,1.23469,1.23469,0.0,1.309639,70.0,-1.0,1.0,0.77784,0.77784,0.22216,0.0,0.22216,0.0,1.0,0.0,1.0,1.0,3.0,2.0,,0,1
turtle_soup,2025-08-25,08:30-12:00,1,1,1,0,1.540499,1.540499,0.0,2.323783,80.0,-1.0,1.0,0.881423,0.881423,0.118577,0.0,0.118577,0.0,1.0,0.0,1.0,1.0,12.0,3.0,,0,1
turtle_soup,2025-09-23,08:30-12:00,1,1,1,0,2.469999,2.469999,1.0,0.903158,70.0,0.903158,1.0,0.845686,0.845686,0.166813,-0.012499,0.154314,1.0,1.0,0.0,0.0,1.0,,3.0,,0,1
turtle_soup,2025-11-29,08:30-12:00,2,2,2,0,3.72291,3.72291,1.0,0.758849,70.0,0.758849,1.0,0.603878,0.603878,0.406855,-0.010733,0.396122,1.0,1.0,0.5,0.0,1.0,,1.5,1.0,0,2
turtle_soup,2026-03-30,08:30-12:00,2,2,2,0,3.685968,3.685968,1.0,1.071647,70.0,1.071647,0.674367,0.519344,0.519344,0.155023,0.0,0.155023,1.0,0.5,0.0,0.0,1.0,,1.0,,0,2
turtle_soup,2026-04-11,08:30-12:00,1,1,1,0,6.642168,6.642168,1.0,3.076073,90.0,3.076073,1.0,0.584652,0.584652,0.415348,0.0,0.415348,1.0,1.0,1.0,0.0,1.0,,2.0,3.0,0,0
