model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2022-01-09,08:30-12:00,1,1,1,0,2.493752,2.493752,0.0,1.432212,70.0,-1.0,-1.0,-1.230717,-1.230717,0.230717,0.0,0.230717,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2022-01-25,08:30-12:00,1,1,1,0,0.055741,0.055741,0.0,1.35171,70.0,-1.0,-1.0,-1.039085,-1.039085,0.039085,0.0,0.039085,0.0,0.0,0.0,1.0,1.0,4.0,,,0,1
turtle_soup,2022-01-28,08:30-12:00,1,1,1,0,1.336474,1.336474,0.0,1.65168,70.0,-1.0,1.0,0.898012,0.898012,0.082786,0.019202,0.101988,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,1,1
turtle_soup,2022-03-03,08:30-12:00,1,1,1,0,0.766492,0.766492,0.0,8.551171,90.0,-1.0,-1.0,-1.129585,-1.129585,0.129585,0.0,0.129585,0.0,0.0,0.0,1.0,1.0,2.0,,,0,0
turtle_soup,2022-03-04,08:30-12:00,2,2,2,0,0.70263,0.70263,0.0,6.041588,90.0,-1.0,-1.0,-1.111902,-1.111902,0.134198,-0.022296,0.111902,0.0,0.0,0.0,1.0,1.0,2.0,,,0,0
turtle_soup,2022-03-08,08:30-12:00,1,1,1,0,27.629591,27.629591,1.0,20.598847,90.0,20.598847,1.0,0.779673,0.779673,0.220327,0.0,0.220327,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-03-11,08:30-12:00,2,2,2,0,34.386333,34.386333,0.5,2.807923,85.0,1.306375,1.0,0.775362,0.775362,0.207275,0.017364,0.224638,0.5,1.0,0.5,0.5,1.0,2.0,2.0,4.0,0,1
turtle_soup,2022-03-23,08:30-12:00,1,1,1,0,6.236244,6.236244,0.0,4.646613,90.0,-1.0,1.0,0.738322,0.738322,0.261678,0.0,0.261678,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,0,0
turtle_soup,2022-03-27,08:30-12:00,1,1,1,0,0.252126,0.252126,0.0,1.76488,70.0,-1.0,-1.0,-1.133017,-1.133017,0.133017,0.0,0.133017,0.0,0.0,0.0,1.0,1.0,5.0,,,0,1
turtle_soup,2022-04-03,08:30-12:00,2,2,2,0,4.347412,4.347412,0.5,1.509544,70.0,0.023966,0.0,-0.242285,-0.242285,0.249347,-0.007062,0.242286,0.5,0.5,0.0,0.5,1.0,2.0,1.0,,0,2
turtle_soup,2022-04-05,08:30-12:00,1,1,1,0,3.867601,3.867601,0.0,2.027604,80.0,-1.0,-1.0,-1.237655,-1.237655,0.237655,0.0,0.237655,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2022-04-08,08:30-12:00,2,2,2,0,8.246329,8.246329,1.0,2.164682,80.0,2.164682,1.0,0.811932,0.811932,0.190007,-0.00194,0.188068,1.0,1.0,0.5,0.0,1.0,,1.5,1.0,0,1
turtle_soup,2022-04-09,08:30-12:00,2,2,2,0,1.562378,1.562378,1.0,1.325003,70.0,1.325003,1.0,0.922599,0.922599,0.076826,0.000575,0.077401,1.0,1.0,0.0,0.0,1.0,,14.0,,0,2
turtle_soup,2022-04-24,08:30-12:00,1,1,1,0,0.557084,0.557084,1.0,0.531857,70.0,0.531857,0.531857,0.464321,0.464321,0.067536,0.0,0.067536,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2022-05-01,08:30-12:00,2,2,2,0,2.107975,2.107975,0.0,3.648586,90.0,-1.0,0.0,-0.295544,-0.295544,0.295544,0.0,0.295544,0.0,0.5,0.5,1.0,1.0,3.0,1.0,1.0,1,0
turtle_soup,2022-05-11,08:30-12:00,1,1,1,0,16.080672,16.080672,1.0,4.685224,90.0,4.685224,1.0,0.877143,0.877143,0.122857,0.0,0.122857,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,2022-05-16,08:30-12:00,1,1,1,0,3.918005,3.918005,1.0,0.173747,70.0,0.173747,0.173747,0.125549,0.125549,0.048198,0.0,0.048198,1.0,0.0,0.0,0.0,1.0,,,,0,1
