scope,group,filter_name,threshold,filtered_out,trade_count,min_trades,sample_valid,win_rate_pct,avg_realized_rr,avg_win_r,avg_loss_r,expectancy_r,profit_factor,max_drawdown_r,total_pnl_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r
all,ALL,none,0,0,267,100,True,67.790262,0.125824,0.699833,1.082265,0.125824,1.360948,11.238015,33.59511,0.154672,0.000393,0.155065
filtered_all,ALL,model_rules,0,168,99,100,False,74.747475,0.220119,0.656812,1.072494,0.220119,1.81275,4.665157,21.791741,0.139978,0.000107,0.140085
by_model,turtle_soup,model_rules,0,0,99,100,False,74.747475,0.220119,0.656812,1.072494,0.220119,1.81275,4.665157,21.791741,0.139978,0.000107,0.140085
by_symbol,ADAUSDT,model_rules,0,0,6,100,False,66.666667,0.1133,0.737079,1.13426,0.1133,1.299666,2.268519,0.679798,0.081687,0.000638,0.082325
by_symbol,AVAXUSDT,model_rules,0,0,8,100,False,75.0,0.435299,0.932434,1.056105,0.435299,2.648697,1.056105,3.482395,0.066046,-0.001345,0.064701
by_symbol,BNBUSDT,model_rules,0,0,16,100,False,81.25,0.183697,0.480245,1.101341,0.183697,1.889569,2.525597,2.939156,0.166742,1.7e-05,0.166759
by_symbol,BTCUSDT,model_rules,0,0,28,100,False,82.142857,0.449152,0.72017,0.797529,0.449152,4.15381,1.469358,12.57627,0.18311,-0.000973,0.182138
by_symbol,DOGEUSDT,model_rules,0,0,8,100,False,50.0,-0.419922,0.416415,1.256259,-0.419922,0.331472,3.985952,-3.359376,0.168757,0.009678,0.178434
by_symbol,LINKUSDT,model_rules,0,0,16,100,False,68.75,0.17839,0.776391,1.137212,0.17839,1.501971,4.05857,2.854237,0.126387,-0.002542,0.123845
by_symbol,SOLUSDT,model_rules,0,0,13,100,False,69.230769,0.064107,0.584694,1.107212,0.064107,1.188175,2.24962,0.833397,0.088653,-0.001174,0.087478
by_symbol,XRPUSDT,model_rules,0,0,4,100,False,100.0,0.446466,0.446466,,0.446466,inf,0.0,1.785864,0.129903,0.005749,0.135652
by_timeframe,1h,model_rules,0,0,65,100,False,73.846154,0.170334,0.621227,1.102775,0.170334,1.590581,6.889483,11.071732,0.121137,0.001818,0.122955
by_timeframe,30m,model_rules,0,0,34,100,False,76.470588,0.315294,0.722507,1.008146,0.315294,2.329174,2.202983,10.720009,0.175996,-0.003165,0.172832
by_direction,long,model_rules,0,0,36,100,False,77.777778,0.228262,0.631183,1.181958,0.228262,1.869051,4.461263,8.21745,0.123361,0.005422,0.128783
by_direction,short,model_rules,0,0,63,100,False,73.015873,0.215465,0.672412,1.020981,0.215465,1.782079,3.102741,13.574291,0.149473,-0.00293,0.146543
by_htf_bias,none,model_rules,0,0,99,100,False,74.747475,0.220119,0.656812,1.072494,0.220119,1.81275,4.665157,21.791741,0.139978,0.000107,0.140085
by_htf_context_alignment,neutral,model_rules,0,0,99,100,False,74.747475,0.220119,0.656812,1.072494,0.220119,1.81275,4.665157,21.791741,0.139978,0.000107,0.140085
by_htf_draw_direction,none,model_rules,0,0,99,100,False,74.747475,0.220119,0.656812,1.072494,0.220119,1.81275,4.665157,21.791741,0.139978,0.000107,0.140085
