model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2022-03-27,08:30-12:00,1,1,1,0,16.364021,16.364021,1.0,2.0,80.0,2.0,1.5,1.268338,1.268338,0.231662,1.0,1.0,1.0,0.0,1.0,,2.0,3.0,0,1
turtle_soup,2022-05-14,08:30-12:00,1,1,1,0,1.650412,1.650412,0.0,2.0,80.0,1.650412,1.086968,1.04727,1.04727,0.039698,0.0,1.0,0.0,0.0,1.0,,6.0,,0,1
turtle_soup,2022-05-23,08:30-12:00,1,1,1,0,0.827708,0.827708,0.0,2.0,80.0,-1.0,-1.0,-1.087658,-1.087658,0.087658,0.0,0.0,0.0,1.0,1.0,4.0,,,0,1
turtle_soup,2022-05-24,08:30-12:00,1,1,1,0,0.966857,0.966857,0.0,2.0,80.0,-1.0,-1.0,-1.096633,-1.096633,0.096633,0.0,0.0,0.0,1.0,1.0,8.0,,,0,1
turtle_soup,2022-08-18,08:30-12:00,1,1,1,0,1.403782,1.403782,0.0,2.0,80.0,-1.0,0.5,0.21401,0.21401,0.28599,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,0,1
turtle_soup,2022-09-08,08:30-12:00,1,1,1,0,9.686115,9.686115,1.0,2.0,80.0,2.0,1.5,1.410687,1.410687,0.089313,1.0,1.0,1.0,0.0,1.0,,7.0,14.0,0,1
turtle_soup,2022-09-11,08:30-12:00,1,1,1,0,1.481125,1.481125,0.0,2.0,80.0,-1.0,-1.0,-1.163984,-1.163984,0.163984,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2022-10-21,08:30-12:00,1,1,1,0,0.352021,0.352021,0.0,2.0,80.0,-1.0,-1.0,-1.182372,-1.182372,0.182372,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2022-12-04,08:30-12:00,1,1,1,0,0.434638,0.434638,0.0,2.0,80.0,-1.0,-1.0,-1.18072,-1.18072,0.18072,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2023-04-12,08:30-12:00,1,1,1,0,2.098568,2.098568,1.0,2.0,80.0,2.0,1.5,1.410333,1.410333,0.089667,1.0,1.0,1.0,0.0,1.0,,18.0,24.0,0,1
turtle_soup,2023-07-11,08:30-12:00,1,1,1,0,0.893946,0.893946,0.0,2.0,80.0,-1.0,-1.0,-1.135624,-1.135624,0.135624,0.0,0.0,0.0,1.0,1.0,16.0,,,0,1
turtle_soup,2023-08-20,08:30-12:00,1,1,1,0,1.252315,1.252315,0.0,2.0,80.0,-1.0,0.5,0.328004,0.328004,0.171996,0.0,1.0,0.0,1.0,1.0,10.0,5.0,,0,1
turtle_soup,2023-08-23,08:30-12:00,1,1,1,0,3.835949,3.835949,1.0,2.0,80.0,2.0,1.5,1.375639,1.375639,0.124361,1.0,1.0,1.0,0.0,1.0,,3.0,3.0,0,1
turtle_soup,2023-10-02,08:30-12:00,1,1,1,0,3.179687,3.179687,1.0,2.0,80.0,2.0,1.5,1.413282,1.413282,0.086718,1.0,1.0,1.0,0.0,1.0,,2.0,4.0,0,1
turtle_soup,2023-10-13,08:30-12:00,1,1,1,0,1.279143,1.279143,0.0,2.0,80.0,-1.0,0.5,0.301411,0.301411,0.198589,0.0,1.0,0.0,1.0,1.0,7.0,2.0,,0,1
turtle_soup,2023-11-08,08:30-12:00,1,1,1,0,19.768212,19.768212,0.0,2.0,80.0,-1.0,0.5,0.286924,0.286924,0.213076,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,1,1
turtle_soup,2023-11-17,08:30-12:00,1,1,1,0,0.626193,0.626193,0.0,2.0,80.0,0.626193,-0.229129,-0.300519,-0.300519,0.07139,0.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2023-11-30,08:30-12:00,1,1,1,0,5.684546,5.684546,1.0,2.0,80.0,2.0,1.5,1.321353,1.321353,0.178647,1.0,1.0,1.0,0.0,1.0,,11.0,12.0,0,1
turtle_soup,2024-02-02,08:30-12:00,1,1,1,0,1.482015,1.482015,0.0,2.0,80.0,-1.0,0.5,0.35365,0.35365,0.14635,0.0,1.0,0.0,1.0,1.0,6.0,1.0,,0,1
turtle_soup,2024-02-23,08:30-12:00,1,1,1,0,0.197007,0.197007,0.0,2.0,80.0,-1.0,-1.0,-1.140955,-1.140955,0.140955,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2024-03-12,08:30-12:00,1,1,1,0,1.892161,1.892161,0.0,2.0,80.0,-1.0,0.5,0.456639,0.456639,0.043361,0.0,1.0,0.0,1.0,1.0,5.0,2.0,,0,1
turtle_soup,2024-05-05,08:30-12:00,1,1,1,0,4.011702,4.011702,0.0,2.0,80.0,-1.0,0.5,0.16361,0.16361,0.33639,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,0,1
