model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2024-11-08,08:30-12:00,1,1,1,0,1.442599,1.442599,0.0,2.0,80.0,-1.0,0.5,0.273546,0.273546,0.226454,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,0,1
turtle_soup,2024-12-10,08:30-12:00,1,1,1,0,7.109315,7.109315,1.0,2.0,80.0,2.0,1.5,1.305286,1.305286,0.194714,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2024-12-29,08:30-12:00,1,1,1,0,2.173997,2.173997,1.0,2.0,80.0,2.0,1.5,0.90335,0.90335,0.59665,1.0,1.0,1.0,0.0,1.0,,2.0,2.0,0,1
turtle_soup,2025-01-01,08:30-12:00,1,1,1,0,6.911924,6.911924,1.0,2.0,80.0,2.0,1.5,0.541348,0.541348,0.958652,1.0,1.0,1.0,0.0,1.0,,1.0,2.0,0,1
turtle_soup,2025-03-16,08:30-12:00,1,1,1,0,1.071562,1.071562,0.0,2.0,80.0,-1.0,0.5,0.446339,0.446339,0.053661,0.0,1.0,0.0,1.0,1.0,11.0,6.0,,0,1
turtle_soup,2025-03-17,08:30-12:00,1,1,1,0,3.666389,3.666389,1.0,2.0,80.0,2.0,1.5,1.336114,1.336114,0.163886,1.0,1.0,1.0,0.0,1.0,,1.0,3.0,0,1
turtle_soup,2025-04-14,08:30-12:00,1,1,1,0,4.364205,4.364205,1.0,2.0,80.0,2.0,1.5,1.282236,1.282236,0.217764,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2025-05-16,08:30-12:00,1,1,1,0,3.058195,3.058195,0.0,2.0,80.0,-1.0,0.5,0.137683,0.137683,0.362317,0.0,1.0,0.0,1.0,1.0,5.0,1.0,,0,1
turtle_soup,2025-05-26,08:30-12:00,1,1,1,0,5.504012,5.504012,1.0,2.0,80.0,2.0,1.5,1.26032,1.26032,0.23968,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2025-05-31,08:30-12:00,1,1,1,0,0.114189,0.114189,0.0,2.0,80.0,-1.0,-1.0,-1.510853,-1.510853,0.510853,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2025-06-13,08:30-12:00,1,1,1,0,5.50642,5.50642,1.0,2.0,80.0,2.0,1.5,0.909831,0.909831,0.590169,1.0,1.0,1.0,0.0,1.0,,2.0,2.0,0,1
turtle_soup,2025-06-14,08:30-12:00,1,1,1,0,2.383474,2.383474,1.0,2.0,80.0,2.0,1.5,0.709018,0.709018,0.790982,1.0,1.0,1.0,0.0,1.0,,1.0,2.0,0,1
turtle_soup,2025-09-03,08:30-12:00,1,1,1,0,0.369763,0.369763,0.0,2.0,80.0,-1.0,-1.0,-1.171763,-1.171763,0.171763,0.0,0.0,0.0,1.0,1.0,5.0,,,0,1
turtle_soup,2025-09-17,08:30-12:00,1,1,1,0,1.046724,1.046724,0.0,2.0,80.0,-1.0,-1.0,-1.778907,-1.778907,0.778907,0.0,0.0,0.0,1.0,1.0,4.0,,,0,1
turtle_soup,2025-11-29,08:30-12:00,1,1,1,0,4.671872,4.671872,1.0,2.0,80.0,2.0,1.5,1.011199,1.011199,0.488801,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2025-12-13,08:30-12:00,1,1,1,0,0.457974,0.457974,0.0,2.0,80.0,0.457974,-0.10831,-0.446119,-0.446119,0.337809,0.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2026-03-02,08:30-12:00,1,1,1,0,1.557509,1.557509,0.0,2.0,80.0,-1.0,0.5,0.464812,0.464812,0.035188,0.0,1.0,0.0,1.0,1.0,18.0,1.0,,0,1
turtle_soup,2026-04-11,08:30-12:00,1,1,1,0,6.642168,6.642168,1.0,2.0,80.0,2.0,1.5,1.084652,1.084652,0.415348,1.0,1.0,1.0,0.0,1.0,,2.0,3.0,0,1
