model,model_family,direction,symbol,timeframe,timestamp,setup_timestamp,detected_at,entry_time,entry_mode,stop_mode,target_mode,entry_price,entry_low,entry_high,stop_loss,invalidation,target_hint,risk,risk_bps,same_bar_policy,same_bar_ambiguous,activated_trade,invalidated_before_entry,session_window,ny_time,htf_mode,htf_bias,htf_location,htf_zone_type,htf_objective_type,htf_context_alignment,htf_score_modifier,has_smt_confirmation,smt_direction,smt_pair,smt_strength,decision_score,score_bucket,htf_alignment_score,draw_score,pd_location_score,poi_score,displacement_score,smt_score,killzone_score,target_rr_score,no_trade_reasons,swept_level,sweep_extreme,sweep_liquidity_quality,sweep_level_age_bars,displacement_grade,breach_displacement_grade,turtle_quality,fvg_low,fvg_high,fvg_ce,ifvg_low,ifvg_high,ifvg_ce,ob_low,ob_high,breaker_low,breaker_high,rejection_body_level,rejection_wick_extreme,mitigation_low,mitigation_high,time_to_retest_bars,retest_time,target_distance_r,time_to_entry_bars,bars_to_invalidation,bars_to_1r,bars_to_2r,metadata_json,mfe_r,mae_r,invalidated,target_hit,target_before_invalidation,hit_1r_before_invalidation,hit_2r_before_invalidation
breaker_block,ict,long,BTCUSDT,1h,1747256400000,1747256400000,1747270800000,1747267200000,edge,mean_threshold,nearest_liquidity,103461.4,103461.4,103461.4,103318.35771999999,103318.35771999999,103675.0,143.04228000000876,13.82566638379229,conservative,False,False,True,,,aligned_only,bullish,discount,FVG,swing_high,aligned,0.8,False,,,,77,high,40,12,15,10,0,0,0,0,insufficient_displacement;target_rr_below_2,,,,,,,,,,,,,,,,103216.7,103461.4,,,,,,1747267200000,1.4932647885645611,3,,,,"{""break_time"": 1747256400000, ""breaker_high"": 103461.4, ""breaker_low"": 103216.7, ""breaker_mean_threshold"": 103339.04999999999, ""dealing_range_source"": ""long_swing_pair"", ""entry_mode"": ""edge"", ""entry_price"": 103461.4, ""entry_time"": 1747267200000, ""failed_ob_confirmed"": true, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.55, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective_level"": 105863.1, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish discount bullish FVG; swing_high up"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 102240.0, ""htf_zone_low"": 97700.0, ""htf_zone_type"": ""FVG"", ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""retest_time"": 1747267200000, ""risk"": 143.04228000000876, ""risk_bps"": 13.82566638379229, ""session_filter"": ""off"", ""source_ob_direction"": ""bearish"", ""source_ob_time"": 1747234800000, ""stop_loss"": 103318.35771999999, ""stop_mode"": ""mean_threshold"", ""sweep_time"": 1747242000000, ""target_mode"": ""nearest_liquidity""}",,,False,False,False,False,False
reclaimed_ob,ict,long,BTCUSDT,1h,1746194400000,1746194400000,1747270800000,1746198000000,body_edge,mean_threshold,nearest_liquidity,97134.2,97134.2,97134.2,96902.47316,96902.47316,102727.8,231.726840000003,23.856359552042743,conservative,False,True,False,,,aligned_only,bullish,discount,FVG,swing_high,aligned,0.8,False,,,,97,high,40,12,15,10,0,0,0,20,,,,,,,,,,,,,,,96709.6,97134.2,,,,,,,,1746198000000,24.138766143792118,1,5,1,1,"{""dealing_range_source"": ""long_swing_pair"", ""entry_mode"": ""body_edge"", ""entry_price"": 97134.2, ""entry_time"": 1746198000000, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.55, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective_level"": 105863.1, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish discount bullish FVG; swing_high up"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 102240.0, ""htf_zone_low"": 97700.0, ""htf_zone_type"": ""FVG"", ""model_family"": ""ict"", ""ob_high"": 97134.2, ""ob_low"": 96709.6, ""ob_mean_threshold"": 96921.9, ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""prior_reaction_r"": 0.5, ""retest_count"": 1, ""retest_time"": 1746198000000, ""risk"": 231.726840000003, ""risk_bps"": 23.856359552042743, ""source_ob_time"": 1746190800000, ""stop_loss"": 96902.47316, ""stop_mode"": ""mean_threshold"", ""target_mode"": ""nearest_liquidity""}",3.084666411538662,5.736927150950563,True,False,False,True,True
breaker_block,ict,long,BTCUSDT,1h,1746856800000,1746856800000,1747274400000,1746907200000,edge,mean_threshold,nearest_liquidity,103145.5,103145.5,103145.5,103123.4709,103123.4709,103675.0,22.029099999999744,2.135730594160651,conservative,False,False,True,,,aligned_only,bullish,discount,FVG,swing_high,aligned,0.8,False,,,,97,high,40,12,15,10,0,0,0,20,insufficient_displacement,,,,,,,,,,,,,,,,103142.7,103145.5,,,,,,1746907200000,24.036388231929863,14,,,,"{""break_time"": 1746856800000, ""breaker_high"": 103145.5, ""breaker_low"": 103142.7, ""breaker_mean_threshold"": 103144.1, ""dealing_range_source"": ""long_swing_pair"", ""entry_mode"": ""edge"", ""entry_price"": 103145.5, ""entry_time"": 1746907200000, ""failed_ob_confirmed"": true, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.55, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective_level"": 105863.1, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish discount bullish FVG; swing_high up"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 102240.0, ""htf_zone_low"": 97700.0, ""htf_zone_type"": ""FVG"", ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""retest_time"": 1746907200000, ""risk"": 22.029099999999744, ""risk_bps"": 2.135730594160651, ""session_filter"": ""off"", ""source_ob_direction"": ""bearish"", ""source_ob_time"": 1746817200000, ""stop_loss"": 103123.4709, ""stop_mode"": ""mean_threshold"", ""sweep_time"": 1746831600000, ""target_mode"": ""nearest_liquidity""}",,,False,False,False,False,False
turtle_soup,ict,long,BTCUSDT,1h,1747281600000,1747281600000,1747285200000,1747281600000,close,sweep_extreme,opposite_range,102858.2,102858.2,102858.2,102635.42836,102635.42836,104949.2,222.77163999999175,21.658131291427594,conservative,False,True,False,,,,,,,,,,,,,,50,medium,20,5,5,0,0,0,0,20,,102773.4,102656.0,strong,13,,,strong,,,,,,,,,,,,,,,,,9.386293515638155,1,1,,,"{""close_back_distance_bps"": 8.251162265722737, ""entry_mode"": ""close"", ""entry_price"": 102858.2, ""model_family"": ""ict"", ""risk"": 222.77163999999175, ""risk_bps"": 21.658131291427594, ""stop_loss"": 102635.42836, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 102656.0, ""sweep_level_age_bars"": 13, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 102773.4, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.313842, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.220681, ""wick_extension"": 117.39999999999418, ""wick_fraction"": 0.434493}, ""wick_extension_bps"": 11.423189268818021}",5.856221195840073,7.12568260484168,True,False,False,False,False
turtle_soup,ict,long,BTCUSDT,1h,1747314000000,1747314000000,1747317600000,1747314000000,close,sweep_extreme,opposite_range,102094.8,102094.8,102094.8,101438.58104,101438.58104,104949.2,656.2189599999983,64.2754537939247,conservative,False,True,False,,,,,,,,,,,,,,50,medium,20,5,5,0,0,0,0,20,,101677.0,101459.0,medium,6,,,valid,,,,,,,,,,,,,,,,,4.349767644628862,1,1,,,"{""close_back_distance_bps"": 41.09090551452176, ""entry_mode"": ""close"", ""entry_price"": 102094.8, ""model_family"": ""ict"", ""risk"": 656.2189599999983, ""risk_bps"": 64.2754537939247, ""stop_loss"": 101438.58104, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 101459.0, ""sweep_level_age_bars"": 6, ""sweep_liquidity_quality"": ""medium"", ""sweep_swing_significance"": ""intermediate"", ""swept_level"": 101677.0, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.323901, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.440222, ""wick_extension"": 218.0, ""wick_fraction"": 0.169005}, ""wick_extension_bps"": 21.440443758175398}",3.5739595210720654,1.2556784400133791,True,False,False,False,False
rejection_block,ict,long,BTCUSDT,1h,1747314000000,1747314000000,1747317600000,1747314000000,body_level,wick_extreme,nearest_liquidity,101779.6,101779.6,101779.6,101412.64408,101412.64408,102727.8,366.9559200000076,36.05397545284198,conservative,False,True,False,,,aligned_only,bullish,discount,FVG,swing_high,aligned,0.8,False,,,,87,high,40,12,15,10,0,0,0,10,target_rr_below_3,,,,,,,,,,,,,,,,,,101779.6,101433.0,,,,,2.5839615831786484,1,1,,,"{""current_wick_extreme"": 101459.0, ""dealing_range_source"": ""long_swing_pair"", ""entry_mode"": ""body_level"", ""entry_price"": 101779.6, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.55, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective_level"": 105863.1, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish discount bullish FVG; swing_high up"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 102240.0, ""htf_zone_low"": 97700.0, ""htf_zone_type"": ""FVG"", ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""rejection_body_level"": 101779.6, ""rejection_wick_extreme"": 101433.0, ""risk"": 366.9559200000076, ""risk_bps"": 36.05397545284198, ""session_filter"": ""off"", ""source_swing_significance"": ""intermediate"", ""source_swing_time"": 1747299600000, ""stop_loss"": 101412.64408, ""stop_mode"": ""wick_extreme"", ""target_mode"": ""nearest_liquidity""}",7.2501896140548565,1.3865425580271122,True,False,False,False,False
turtle_soup,ict,long,BTCUSDT,1h,1747317600000,1747317600000,1747321200000,1747317600000,close,sweep_extreme,opposite_range,101932.0,101932.0,101932.0,101250.4136,101250.4136,104949.2,681.5864000000001,66.86677392771654,conservative,False,True,False,,,,,,,,,,,,,,50,medium,20,5,5,0,0,0,0,20,,101433.0,101270.8,medium,5,,,valid,,,,,,,,,,,,,,,,,4.426731519290873,1,,1,2,"{""close_back_distance_bps"": 49.195035146352765, ""entry_mode"": ""close"", ""entry_price"": 101932.0, ""model_family"": ""ict"", ""risk"": 681.5864000000001, ""risk_bps"": 66.86677392771654, ""stop_loss"": 101250.4136, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 101270.8, ""sweep_level_age_bars"": 5, ""sweep_liquidity_quality"": ""medium"", ""sweep_swing_significance"": ""intermediate"", ""swept_level"": 101433.0, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.459146, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.323827, ""wick_extension"": 162.1999999999971, ""wick_fraction"": 0.149245}, ""wick_extension_bps"": 15.990851103683918}",3.679797601595345,0.09228470521124565,False,False,False,True,True
ifvg_retest,ict,long,BTCUSDT,1h,1747321200000,1747321200000,1747335600000,1747332000000,edge,ce,nearest_liquidity,102656.0,102656.0,102656.0,102632.3688,102632.3688,102727.8,23.631200000003446,2.301979426434251,conservative,False,True,False,,,aligned_only,bullish,equilibrium,FVG,swing_high,aligned,0.65,False,,,,100,high,40,12,0,10,20,0,0,20,equilibrium,,,,,strong,strong,,,,,102649.8,102656.0,102652.9,,,,,,,,,3,1747332000000,3.0383560716337907,3,1,,,"{""breach_close"": 103211.2, ""breach_displacement_factor"": 0.9625027314443912, ""breach_displacement_grade"": ""strong"", ""breach_time"": 1747321200000, ""dealing_range_source"": ""long_swing_pair"", ""displacement_grade"": ""strong"", ""entry_mode"": ""edge"", ""entry_price"": 102656.0, ""entry_time"": 1747332000000, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.375, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_location"": ""equilibrium"", ""htf_mode"": ""aligned_only"", ""htf_objective_level"": 105863.1, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish equilibrium bullish FVG; swing_high up"", ""htf_score_modifier"": 0.65, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 102240.0, ""htf_zone_low"": 97700.0, ""htf_zone_type"": ""FVG"", ""ifvg_ce"": 102652.9, ""ifvg_high"": 102656.0, ""ifvg_low"": 102649.8, ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""retest_depth"": 12.112903225813076, ""retest_time"": 1747332000000, ""risk"": 23.631200000003446, ""risk_bps"": 2.301979426434251, ""source_fvg_direction"": ""bearish"", ""source_fvg_time"": 1747288800000, ""stop_loss"": 102632.3688, ""stop_mode"": ""ce"", ""target_mode"": ""nearest_liquidity"", ""time_to_retest_bars"": 3}",75.49764717829588,6.60144216120964,True,False,False,False,False
breaker_block,ict,long,BTCUSDT,1h,1747321200000,1747321200000,1747339200000,1747335600000,edge,mean_threshold,nearest_liquidity,102513.3,102513.3,102513.3,102403.79734,102403.79734,102727.8,109.50265999999829,10.68180031273974,conservative,False,True,False,,,aligned_only,bullish,equilibrium,FVG,swing_high,aligned,0.65,False,,,,62,medium,40,12,0,10,0,0,0,0,equilibrium;insufficient_displacement;target_rr_below_2,,,,,,,,,,,,,,,,102335.3,102513.3,,,,,,1747335600000,1.95885652458126,4,,1,1,"{""break_time"": 1747321200000, ""breaker_high"": 102513.3, ""breaker_low"": 102335.3, ""breaker_mean_threshold"": 102424.3, ""dealing_range_source"": ""long_swing_pair"", ""entry_mode"": ""edge"", ""entry_price"": 102513.3, ""entry_time"": 1747335600000, ""failed_ob_confirmed"": true, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.375, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_location"": ""equilibrium"", ""htf_mode"": ""aligned_only"", ""htf_objective_level"": 105863.1, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish equilibrium bullish FVG; swing_high up"", ""htf_score_modifier"": 0.65, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 102240.0, ""htf_zone_low"": 97700.0, ""htf_zone_type"": ""FVG"", ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""retest_time"": 1747335600000, ""risk"": 109.50265999999829, ""risk_bps"": 10.68180031273974, ""session_filter"": ""off"", ""source_ob_direction"": ""bearish"", ""source_ob_time"": 1747310400000, ""stop_loss"": 102403.79734, ""stop_mode"": ""mean_threshold"", ""sweep_time"": 1747317600000, ""target_mode"": ""nearest_liquidity""}",17.595919587707122,0.1214582367223145,False,True,True,True,True
turtle_soup,ict,long,BTCUSDT,1h,1747339200000,1747339200000,1747342800000,1747339200000,close,sweep_extreme,opposite_range,103380.0,103380.0,103380.0,102807.72399999999,102807.72399999999,104949.2,572.2760000000126,55.35654865544714,conservative,False,True,False,,,,,,,,,,,,,,40,low,20,5,5,0,0,0,0,10,target_rr_below_3,103305.0,102828.4,strong,21,,,strong,,,,,,,,,,,,,,,,,2.74203356422419,1,1,,,"{""close_back_distance_bps"": 7.26005517641934, ""entry_mode"": ""close"", ""entry_price"": 103380.0, ""model_family"": ""ict"", ""risk"": 572.2760000000126, ""risk_bps"": 55.35654865544714, ""stop_loss"": 102807.72399999999, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 102828.4, ""sweep_level_age_bars"": 21, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 103305.0, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.121144, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.688142, ""wick_extension"": 476.6000000000058, ""wick_fraction"": 0.769827}, ""wick_extension_bps"": 46.13523062775333}",1.9993849121751952,1.2546393698145375,True,False,False,False,False
