model,htf_zone_type,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,Breaker,6,6,2,2,7.164017,7.164017,0.0,1.371798,75.666667,-1.0,0.0,0.0,0.0,0.333333,14.25,1.0,,,0,6
breaker_block,FVG,9,9,3,6,21.21037,17.59592,0.333333,8.798159,77.888889,2.435017,0.333333,0.333333,0.222222,0.0,9.222222,,1.0,1.0,0,9
breaker_block,IFVG,15,15,8,5,9.181875,7.361103,0.266667,2.274003,76.6,0.184428,0.266667,0.333333,0.266667,0.266667,4.9,1.25,1.0,1.0,0,15
breaker_block,PD,1,1,0,1,,,0.0,13.329419,100.0,,0.0,0.0,0.0,0.0,,,,,0,1
ict2022_mss_fvg,IFVG,1,1,1,0,1.675943,1.675943,0.0,6.957059,100.0,1.675943,0.0,1.0,0.0,0.0,1.0,,1.0,,0,0
ifvg_retest,Breaker,3,3,2,0,4.747528,4.747528,0.333333,2.38837,92.333333,0.927884,0.333333,0.333333,0.333333,0.333333,1.5,1.0,1.0,1.0,0,3
ifvg_retest,FVG,11,11,11,0,30.278482,20.300435,0.090909,7.127479,96.909091,-0.743191,0.090909,0.181818,0.181818,0.909091,2.272727,1.2,1.0,1.0,0,6
ifvg_retest,IFVG,9,9,8,0,17.923667,15.210401,0.444444,1.859014,91.333333,0.962596,0.444444,0.444444,0.444444,0.444444,3.625,1.0,1.0,1.0,0,7
ifvg_retest,Liquidity,1,1,1,0,54.49299,54.49299,0.0,15.500228,100.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,0
ifvg_retest,PD,4,4,4,0,26.518998,16.905527,0.0,7.072192,98.0,-1.0,0.0,0.25,0.25,1.0,2.25,1.5,1.0,1.0,0,2
mitigation_block,Breaker,5,5,5,0,2.0059,0.952436,0.4,1.504808,76.6,-0.397593,0.4,0.2,0.0,0.6,1.0,8.0,1.0,,0,5
mitigation_block,FVG,25,25,25,0,2.245619,2.1179,0.12,0.644664,79.2,-0.873534,0.12,0.04,0.0,0.88,1.0,1.590909,1.0,,0,25
mitigation_block,IFVG,45,45,45,0,1.81891,1.636643,0.422222,1.313229,76.644444,-0.386527,0.422222,0.177778,0.066667,0.577778,1.0,1.615385,3.0,4.666667,0,45
mitigation_block,PD,3,3,3,0,1.296206,1.296206,0.0,2.0,92.0,-1.0,0.0,1.0,0.0,1.0,1.0,7.0,5.0,,0,3
reclaimed_ob,Breaker,1,1,1,0,10.866927,10.866927,1.0,1.383063,82.0,1.383063,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
reclaimed_ob,FVG,2,2,2,0,2.353443,2.353443,0.0,103.521675,89.5,-1.0,0.0,0.5,0.5,1.0,1.0,3.0,1.0,1.0,0,1
reclaimed_ob,IFVG,3,3,2,1,8.849358,8.849358,0.666667,1.147688,79.666667,1.1194,0.666667,0.666667,0.666667,0.0,1.666667,,1.0,1.0,0,3
reclaimed_ob,PD,1,1,1,0,10.039977,10.039977,1.0,0.718278,82.0,0.718278,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
rejection_block,Breaker,11,11,11,0,4.257322,3.276761,0.545455,1.792483,82.090909,0.513597,0.545455,0.454545,0.454545,0.454545,1.0,9.0,1.0,1.0,0,10
rejection_block,FVG,15,15,15,0,7.981842,7.25019,0.6,2.015755,84.866667,0.727033,0.6,0.6,0.333333,0.4,1.0,1.666667,1.0,1.2,0,14
rejection_block,IFVG,35,35,35,0,6.239015,5.239412,0.542857,2.768206,83.2,0.65525,0.542857,0.628571,0.371429,0.4,1.0,2.714286,1.409091,2.692308,0,32
rejection_block,Liquidity,1,1,1,0,0.552663,0.552663,0.0,1.939278,75.0,0.552663,0.0,0.0,0.0,0.0,1.0,,,,0,1
rejection_block,PD,8,8,8,0,2.562366,2.891235,0.625,2.474846,91.125,1.522519,0.625,0.625,0.625,0.25,1.0,1.0,2.4,5.2,0,7
silver_bullet,none,2,2,2,0,0.563267,0.563267,0.0,2.0,68.0,-1.0,0.0,0.0,0.0,1.0,1.0,9.0,,,0,2
turtle_soup,none,165,165,165,0,5.048818,3.45309,0.169697,8.066439,47.212121,0.693977,0.169697,0.436364,0.309091,0.70303,1.0,3.163793,2.444444,4.411765,0,32
