model,score_bucket,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,high,21,21,9,9,10.809532,5.858796,0.238095,6.002357,84.952381,0.551514,0.238095,0.285714,0.190476,0.190476,8.375,1.25,1.0,1.0,0,21
breaker_block,medium,10,10,4,5,13.53209,13.39355,0.2,0.880418,62.0,0.454212,0.2,0.2,0.2,0.2,7.857143,1.0,1.0,1.0,0,10
ict2022_mss_fvg,high,1,1,1,0,1.675943,1.675943,0.0,6.957059,100.0,1.675943,0.0,1.0,0.0,0.0,1.0,,1.0,,0,0
ifvg_retest,high,28,28,26,0,24.866026,16.874769,0.214286,5.217411,94.892857,-0.139175,0.214286,0.285714,0.285714,0.714286,2.576923,1.2,1.0,1.0,0,18
mitigation_block,high,71,71,71,0,1.865261,1.331764,0.267606,1.206743,79.633803,-0.62849,0.267606,0.15493,0.014085,0.732394,1.0,2.307692,3.545455,12.0,0,71
mitigation_block,medium,7,7,7,0,2.782285,2.875106,0.714286,0.436737,62.0,0.057535,0.714286,0.285714,0.285714,0.285714,1.0,1.0,1.0,1.0,0,7
reclaimed_ob,high,7,7,6,1,7.218751,8.297995,0.571429,30.369679,83.142857,0.390023,0.571429,0.714286,0.714286,0.285714,1.285714,3.0,1.0,1.0,0,6
rejection_block,high,65,65,65,0,6.122764,5.170654,0.553846,2.557047,85.876923,0.826661,0.553846,0.630769,0.430769,0.384615,1.0,3.64,1.390244,2.571429,0,59
rejection_block,medium,5,5,5,0,1.599131,1.295564,0.6,0.474166,62.0,-0.302271,0.6,0.0,0.0,0.4,1.0,2.0,,,0,5
silver_bullet,medium,2,2,2,0,0.563267,0.563267,0.0,2.0,68.0,-1.0,0.0,0.0,0.0,1.0,1.0,9.0,,,0,2
turtle_soup,low,32,32,32,0,2.498628,2.096625,0.375,1.964673,35.625,0.306381,0.375,0.5,0.28125,0.53125,1.0,4.588235,4.9375,8.333333,0,32
turtle_soup,medium,133,133,133,0,5.662398,3.948448,0.120301,9.534534,50.0,0.787233,0.120301,0.421053,0.315789,0.744361,1.0,2.919192,1.732143,3.571429,0,0
