model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,long,89,89,67,18,17.25373,10.602955,0.505618,3.06713,48.561798,0.948797,0.505618,0.550562,0.460674,0.247191,3.037037,1.272727,1.040816,1.0,0,89
breaker_block,short,64,64,46,15,16.992105,9.52632,0.484375,1.858561,45.65625,0.730515,0.484375,0.515625,0.4375,0.234375,3.894737,1.466667,1.0,1.0,0,64
ifvg_retest,long,91,91,87,0,24.372366,13.410523,0.241758,5.065837,68.494505,-0.265953,0.241758,0.274725,0.263736,0.714286,3.390805,1.261538,1.0,1.083333,0,49
ifvg_retest,short,93,93,87,0,24.399336,9.978148,0.236559,8.837032,71.763441,-0.153534,0.236559,0.311828,0.290323,0.688172,2.931034,1.296875,1.0,1.222222,0,37
mitigation_block,long,492,492,492,0,2.364949,1.497312,0.396341,1.016188,43.182927,-0.308726,0.396341,0.247967,0.103659,0.587398,1.0,2.633218,3.606557,4.705882,0,469
mitigation_block,short,475,475,475,0,2.61065,1.139608,0.458947,0.739344,42.610526,-0.193233,0.458947,0.263158,0.082105,0.507368,1.0,2.66805,2.992,4.358974,0,466
reclaimed_ob,long,9,9,8,1,18.055232,15.144702,0.555556,1.501726,45.777778,0.629777,0.555556,0.555556,0.555556,0.333333,1.222222,1.0,1.0,1.0,0,8
reclaimed_ob,short,5,5,4,1,14.254095,12.819462,0.8,0.754177,42.0,0.918664,0.8,0.8,0.8,0.0,1.2,,1.0,1.0,0,5
rejection_block,long,324,324,324,0,5.561429,3.681165,0.567901,1.945918,46.981481,0.372005,0.567901,0.614198,0.342593,0.407407,1.0,2.454545,1.371859,2.108108,0,263
rejection_block,short,345,345,345,0,6.317634,4.52175,0.53913,2.295005,48.695652,0.394438,0.53913,0.605797,0.35942,0.446377,1.0,2.876623,1.248804,2.169355,0,258
silver_bullet,long,10,10,10,0,1.538008,1.15237,0.2,2.0,68.0,0.235752,0.2,0.4,0.2,0.5,1.0,8.2,7.0,9.0,0,10
silver_bullet,short,16,16,16,0,0.95617,0.509679,0.0625,2.0,68.0,-0.45899,0.0625,0.375,0.0625,0.6875,1.0,9.636364,3.333333,5.0,0,16
turtle_soup,long,967,967,967,0,4.903645,3.244295,0.219235,6.716097,46.194416,0.333402,0.219235,0.47363,0.324716,0.697001,1.0,3.676558,2.469432,4.044586,0,239
turtle_soup,short,975,975,975,0,4.537674,2.948997,0.126154,7.810636,46.841026,0.178726,0.126154,0.451282,0.306667,0.761026,1.0,3.88814,2.606818,4.240803,0,199
