model,score_bucket,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,high,6,6,2,4,5.87471,5.87471,0.0,8.022743,78.0,-1.0,0.0,0.166667,0.166667,0.333333,12.0,3.5,1.0,1.0,0,6
breaker_block,low,95,95,73,17,14.194397,9.159047,0.578947,1.105505,39.368421,0.508747,0.578947,0.578947,0.494737,0.189474,2.883721,1.0,1.0,1.0,0,95
breaker_block,medium,52,52,38,12,23.413061,11.467642,0.403846,4.591597,58.384615,1.632487,0.403846,0.5,0.403846,0.326923,3.217391,1.470588,1.076923,1.0,0,52
ifvg_retest,high,116,116,109,0,26.99964,13.812004,0.146552,10.382367,77.568966,-0.266286,0.146552,0.232759,0.224138,0.784483,3.027523,1.373626,1.0,1.192308,0,18
ifvg_retest,medium,68,68,65,0,20.002728,9.819298,0.397059,1.154125,57.485294,-0.114925,0.397059,0.397059,0.367647,0.558824,3.384615,1.052632,1.0,1.12,0,68
mitigation_block,high,7,7,7,0,3.466322,5.044048,0.571429,6.049753,78.0,1.821883,0.571429,0.714286,0.571429,0.428571,1.0,2.0,2.6,6.5,0,0
mitigation_block,low,800,800,800,0,2.488425,1.355481,0.4425,0.713754,39.275,-0.233702,0.4425,0.2575,0.0975,0.53,1.0,2.764151,3.34466,4.666667,0,800
mitigation_block,medium,160,160,160,0,2.428811,1.254709,0.34375,1.48626,59.5,-0.434191,0.34375,0.225,0.05,0.64375,1.0,2.194175,3.111111,2.5,0,135
reclaimed_ob,low,10,10,9,1,16.913672,14.496222,0.6,1.171603,39.0,0.359857,0.6,0.6,0.6,0.3,1.2,1.0,1.0,1.0,0,10
reclaimed_ob,medium,4,4,3,1,16.411729,10.866927,0.75,1.392598,58.0,1.82472,0.75,0.75,0.75,0.0,1.25,,1.0,1.0,0,3
rejection_block,high,24,24,24,0,6.263882,4.811681,0.25,4.119524,78.0,0.421258,0.25,0.666667,0.5,0.708333,1.0,3.176471,1.3125,2.583333,0,0
rejection_block,low,419,419,419,0,5.522187,3.580577,0.632458,1.207241,40.02864,0.302781,0.632458,0.584726,0.291169,0.355609,1.0,2.597315,1.379592,2.122951,0,419
rejection_block,medium,226,226,226,0,6.71397,5.248549,0.438053,3.617484,59.19469,0.529361,0.438053,0.650442,0.446903,0.530973,1.0,2.716667,1.190476,2.108911,0,102
silver_bullet,medium,26,26,26,0,1.179953,0.854455,0.115385,2.0,68.0,-0.191782,0.115385,0.384615,0.115385,0.615385,1.0,9.1875,4.8,7.666667,0,26
turtle_soup,low,438,438,438,0,2.700079,1.87843,0.406393,1.809625,34.56621,0.211812,0.406393,0.46347,0.246575,0.518265,1.0,4.167401,3.921182,5.259259,0,438
turtle_soup,medium,1504,1504,1504,0,5.308127,3.602672,0.104388,8.854535,50.0,0.26854,0.104388,0.462101,0.335771,0.790559,1.0,3.714886,2.132374,3.90099,0,0
