model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,long,20,20,7,11,14.554517,9.19118,0.2,5.013514,75.9,0.880435,0.2,0.25,0.15,0.15,8.066667,1.333333,1.0,1.0,0,20
breaker_block,short,11,11,6,3,8.255421,7.38503,0.272727,3.143945,80.545455,0.102906,0.272727,0.272727,0.272727,0.272727,8.5,1.0,1.0,1.0,0,11
ict2022_mss_fvg,short,1,1,1,0,1.675943,1.675943,0.0,6.957059,100.0,1.675943,0.0,1.0,0.0,0.0,1.0,,1.0,,0,0
ifvg_retest,long,19,19,18,0,27.884443,16.984474,0.105263,5.161569,94.210526,-0.705299,0.105263,0.157895,0.157895,0.842105,3.111111,1.125,1.0,1.0,0,12
ifvg_retest,short,9,9,8,0,18.074588,15.957407,0.444444,5.3353,96.333333,1.134603,0.444444,0.555556,0.555556,0.444444,1.375,1.5,1.0,1.0,0,6
mitigation_block,long,45,45,45,0,2.09177,1.758225,0.244444,1.457041,78.622222,-0.626383,0.244444,0.222222,0.066667,0.755556,1.0,2.676471,3.1,4.666667,0,45
mitigation_block,short,33,33,33,0,1.750906,1.331764,0.393939,0.702093,77.272727,-0.485842,0.393939,0.090909,0.0,0.606061,1.0,1.55,3.333333,,0,33
reclaimed_ob,long,5,5,4,1,6.403447,6.562322,0.4,42.069791,84.0,0.025335,0.4,0.6,0.6,0.4,1.4,3.0,1.0,1.0,0,4
reclaimed_ob,short,2,2,2,0,8.849358,8.849358,1.0,1.1194,81.0,1.1194,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,2
rejection_block,long,27,27,27,0,5.857332,5.239412,0.592593,1.880153,81.111111,0.628561,0.592593,0.407407,0.296296,0.333333,1.0,1.666667,1.0,1.25,0,26
rejection_block,short,43,43,43,0,5.763426,4.070896,0.534884,2.739878,86.093023,0.819778,0.534884,0.697674,0.465116,0.418605,1.0,4.444444,1.533333,3.1,0,38
silver_bullet,long,1,1,1,0,0.750228,0.750228,0.0,2.0,68.0,-1.0,0.0,0.0,0.0,1.0,1.0,5.0,,,0,1
silver_bullet,short,1,1,1,0,0.376306,0.376306,0.0,2.0,68.0,-1.0,0.0,0.0,0.0,1.0,1.0,13.0,,,0,1
turtle_soup,long,91,91,91,0,5.0668,3.363663,0.186813,6.809262,46.703297,0.560476,0.186813,0.373626,0.285714,0.714286,1.0,2.553846,2.647059,4.576923,0,21
turtle_soup,short,74,74,74,0,5.026705,3.79742,0.148649,9.612428,47.837838,0.858147,0.148649,0.513514,0.337838,0.689189,1.0,3.941176,2.263158,4.24,0,11
