model,htf_location,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,discount,11,11,4,5,14.947163,7.548915,0.272727,8.896761,87.454545,1.139954,0.272727,0.272727,0.181818,0.090909,9.0,1.0,1.0,1.0,0,11
breaker_block,equilibrium,9,9,4,4,8.657159,7.657322,0.111111,1.312809,69.333333,-0.260286,0.111111,0.222222,0.111111,0.333333,10.0,1.333333,1.0,1.0,0,9
breaker_block,premium,11,11,5,5,11.399371,9.19118,0.272727,2.288548,74.363636,0.652361,0.272727,0.272727,0.272727,0.181818,5.875,1.0,1.0,1.0,0,11
ict2022_mss_fvg,premium,1,1,1,0,1.675943,1.675943,0.0,6.957059,100.0,1.675943,0.0,1.0,0.0,0.0,1.0,,1.0,,0,0
ifvg_retest,discount,16,16,16,0,27.914325,19.16407,0.1875,6.018617,96.25,-0.545461,0.1875,0.25,0.25,0.8125,2.0625,1.153846,1.0,1.0,0,9
ifvg_retest,equilibrium,4,4,3,0,33.615348,22.252912,0.25,2.198264,89.75,0.285256,0.25,0.25,0.25,0.5,2.666667,1.0,1.0,1.0,0,4
ifvg_retest,premium,8,8,7,0,14.148776,14.106519,0.25,5.124573,94.75,0.607578,0.25,0.375,0.375,0.625,3.714286,1.4,1.0,1.0,0,5
mitigation_block,discount,29,29,29,0,2.138718,1.108046,0.206897,0.669736,79.724138,-0.764823,0.206897,0.034483,0.0,0.793103,1.0,1.913043,1.0,,0,29
mitigation_block,equilibrium,8,8,8,0,1.587113,1.697434,0.25,3.18027,74.5,-0.669768,0.25,0.125,0.0,0.75,1.0,3.5,1.0,,0,8
mitigation_block,premium,41,41,41,0,1.882679,1.503239,0.390244,1.070034,77.560976,-0.406878,0.390244,0.268293,0.073171,0.609756,1.0,2.28,3.545455,4.666667,0,41
reclaimed_ob,discount,2,2,1,1,3.084666,3.084666,0.0,12.671515,87.0,-1.0,0.0,0.5,0.5,0.5,2.0,5.0,1.0,1.0,0,1
reclaimed_ob,equilibrium,2,2,2,0,6.244573,6.244573,0.5,92.143824,82.0,0.191532,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0,2
reclaimed_ob,premium,3,3,3,0,9.246231,10.039977,1.0,0.985693,81.333333,0.985693,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,3
rejection_block,discount,37,37,37,0,6.157147,6.811205,0.486486,2.432299,84.594595,0.454059,0.486486,0.540541,0.324324,0.486486,1.0,4.388889,1.25,1.666667,0,36
rejection_block,equilibrium,6,6,6,0,7.923078,3.008577,0.666667,3.451538,75.333333,1.914874,0.666667,0.5,0.5,0.166667,1.0,3.0,1.0,1.333333,0,6
rejection_block,premium,27,27,27,0,4.837866,2.891235,0.62963,2.143504,85.555556,0.886377,0.62963,0.666667,0.481481,0.296296,1.0,1.625,1.611111,3.692308,0,22
silver_bullet,none,2,2,2,0,0.563267,0.563267,0.0,2.0,68.0,-1.0,0.0,0.0,0.0,1.0,1.0,9.0,,,0,2
turtle_soup,none,165,165,165,0,5.048818,3.45309,0.169697,8.066439,47.212121,0.693977,0.169697,0.436364,0.309091,0.70303,1.0,3.163793,2.444444,4.411765,0,32
