model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,long,22,22,14,7,16.529494,9.821366,0.318182,2.92605,79.818182,1.618258,0.318182,0.318182,0.318182,0.318182,7.1,1.142857,1.0,1.0,0,22
breaker_block,short,2,2,0,2,,,0.0,7.597791,95.0,,0.0,0.0,0.0,0.0,,,,,0,2
ict2022_mss_fvg,short,1,1,1,0,12.613144,12.613144,0.0,22.285479,100.0,12.613144,0.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
ifvg_retest,long,24,24,24,0,18.404407,8.416001,0.125,4.655629,96.666667,-0.716802,0.125,0.166667,0.125,0.875,3.791667,1.142857,1.0,1.333333,0,19
ifvg_retest,short,3,3,2,0,4.571802,4.571802,0.0,4.462954,95.0,-1.0,0.0,0.0,0.0,0.666667,1.0,1.0,,,0,2
mitigation_block,long,47,47,47,0,2.467755,2.017137,0.617021,0.70927,71.595745,-0.150961,0.617021,0.361702,0.276596,0.382979,1.0,3.166667,4.941176,6.846154,0,47
mitigation_block,short,9,9,9,0,0.018261,0.027391,0.0,0.811577,78.333333,-1.0,0.0,0.0,0.0,1.0,1.0,1.666667,,,0,9
reclaimed_ob,long,6,6,6,0,10.151093,11.40738,0.666667,1.210249,74.166667,0.170326,0.666667,0.833333,0.5,0.333333,2.333333,2.0,1.0,1.0,0,6
reclaimed_ob,short,1,1,1,0,20.751717,20.751717,1.0,2.501932,80.0,2.501932,1.0,1.0,1.0,0.0,3.0,,1.0,1.0,0,1
rejection_block,long,52,52,52,0,5.554035,3.872974,0.557692,2.094614,75.076923,0.325867,0.557692,0.634615,0.115385,0.365385,1.0,2.684211,2.272727,2.5,0,45
rejection_block,short,5,5,5,0,10.889214,13.215163,0.8,1.658888,77.0,1.120748,0.8,0.8,0.8,0.2,1.0,1.0,1.25,1.25,0,5
silver_bullet,long,5,5,5,0,2.543499,1.682985,0.2,2.0,68.0,-0.041093,0.2,0.6,0.2,0.6,1.0,10.333333,3.333333,15.0,0,5
silver_bullet,short,1,1,1,0,2.533044,2.533044,1.0,2.0,68.0,2.0,1.0,1.0,1.0,0.0,1.0,,1.0,10.0,0,1
turtle_soup,long,102,102,102,0,4.028953,2.44548,0.137255,6.14482,46.764706,0.141823,0.137255,0.441176,0.27451,0.784314,1.0,3.3125,2.8,5.285714,0,21
turtle_soup,short,11,11,11,0,7.33325,6.923968,0.363636,5.996268,46.363636,0.633884,0.363636,0.727273,0.454545,0.636364,1.0,4.0,1.375,1.6,0,2
