model,htf_location,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,discount,8,8,5,3,23.532599,16.018189,0.25,4.371356,95.0,3.62341,0.25,0.375,0.375,0.375,7.166667,1.333333,1.0,1.0,0,8
breaker_block,premium,14,14,8,5,13.320472,5.670591,0.357143,2.591743,73.714286,0.69232,0.357143,0.285714,0.285714,0.214286,6.666667,1.0,1.0,1.0,0,14
breaker_block,unknown,2,2,1,1,7.186145,7.186145,0.0,4.15672,77.0,-1.0,0.0,0.0,0.0,0.5,9.5,1.0,,,0,2
ict2022_mss_fvg,discount,1,1,1,0,12.613144,12.613144,0.0,22.285479,100.0,12.613144,0.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
ifvg_retest,discount,10,10,10,0,16.714285,5.662569,0.1,4.869006,100.0,-0.765693,0.1,0.2,0.1,0.9,4.8,1.333333,1.0,1.0,0,5
ifvg_retest,equilibrium,1,1,1,0,8.549972,8.549972,0.0,0.58218,85.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
ifvg_retest,premium,16,16,15,0,18.34377,9.176501,0.125,4.740732,95.0,-0.703088,0.125,0.125,0.125,0.8125,2.933333,1.0,1.0,1.5,0,15
mitigation_block,discount,10,10,10,0,1.879711,0.027391,0.2,0.895406,77.4,-0.718536,0.2,0.1,0.0,0.8,1.0,1.75,2.0,,0,10
mitigation_block,equilibrium,2,2,2,0,0.674168,0.674168,0.0,4.048443,85.0,-1.0,0.0,0.0,0.0,1.0,1.0,3.5,,,0,2
mitigation_block,premium,41,41,41,0,2.335437,2.017137,0.658537,0.496783,71.341463,-0.095361,0.658537,0.390244,0.317073,0.341463,1.0,3.428571,5.125,6.846154,0,41
mitigation_block,unknown,3,3,3,0,0.083494,0.0,0.0,1.073597,67.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,3
reclaimed_ob,discount,2,2,2,0,11.898319,11.898319,0.5,2.484812,87.5,0.750966,0.5,0.5,0.5,0.5,2.5,1.0,1.0,1.0,0,2
reclaimed_ob,premium,5,5,5,0,11.572328,13.034875,0.8,0.95876,70.0,0.404391,0.8,1.0,0.6,0.2,2.4,3.0,1.0,1.0,0,5
rejection_block,discount,12,12,12,0,5.343797,3.785139,0.5,2.277674,89.166667,0.922053,0.5,0.833333,0.333333,0.25,1.0,1.333333,3.3,1.5,0,10
rejection_block,equilibrium,2,2,2,0,8.344201,8.344201,0.5,4.584483,80.0,0.345349,0.5,1.0,1.0,0.5,1.0,4.0,1.0,1.0,0,2
rejection_block,premium,33,33,33,0,7.311538,6.750655,0.666667,1.66532,68.454545,0.351973,0.666667,0.575758,0.090909,0.30303,1.0,2.4,1.421053,3.666667,0,33
rejection_block,unknown,10,10,10,0,2.116119,2.059705,0.4,2.575775,80.0,-0.082163,0.4,0.6,0.1,0.6,1.0,3.333333,3.0,1.0,0,5
silver_bullet,none,6,6,6,0,2.541757,2.108015,0.333333,2.0,68.0,0.299089,0.333333,0.666667,0.333333,0.5,1.0,10.333333,2.75,12.5,0,6
turtle_soup,none,113,113,113,0,4.350611,2.843218,0.159292,6.130359,46.725664,0.189722,0.159292,0.469027,0.292035,0.769912,1.0,3.367816,2.584906,4.727273,0,23
