model,htf_zone_type,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,Breaker,5,5,4,0,23.556891,18.004591,0.6,7.441069,92.0,5.444219,0.6,0.6,0.6,0.2,4.75,1.0,1.0,1.0,0,5
breaker_block,FVG,5,5,4,1,7.916253,6.743989,0.2,1.894722,72.6,-0.736749,0.2,0.0,0.0,0.6,5.0,1.0,,,0,5
breaker_block,IFVG,2,2,0,2,,,0.0,0.810554,85.0,,0.0,0.0,0.0,0.0,15.0,,,,0,2
breaker_block,OB,1,1,0,1,,,0.0,11.626416,100.0,,0.0,0.0,0.0,0.0,,,,,0,1
breaker_block,PD,11,11,6,5,17.586723,12.549805,0.272727,1.785655,77.545455,0.637622,0.272727,0.363636,0.363636,0.272727,8.3,1.333333,1.0,1.0,0,11
ict2022_mss_fvg,PD,1,1,1,0,12.613144,12.613144,0.0,22.285479,100.0,12.613144,0.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
ifvg_retest,Breaker,10,10,9,0,16.108731,7.6555,0.1,5.539976,98.0,-0.710635,0.1,0.2,0.2,0.8,2.888889,1.25,1.0,1.5,0,5
ifvg_retest,FVG,6,6,6,0,22.309305,7.186284,0.0,4.543334,93.166667,-1.0,0.0,0.0,0.0,1.0,3.166667,1.0,,,0,5
ifvg_retest,IFVG,5,5,5,0,16.307873,2.841499,0.2,1.805278,97.0,-0.531385,0.2,0.2,0.0,0.8,5.4,1.25,1.0,,0,5
ifvg_retest,OB,1,1,1,0,0.593633,0.593633,0.0,0.593633,100.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
ifvg_retest,PD,5,5,5,0,17.976393,11.414236,0.2,6.568833,96.2,-0.630121,0.2,0.2,0.2,0.8,4.0,1.0,1.0,1.0,0,5
mitigation_block,Breaker,10,10,10,0,1.492568,0.664534,0.3,0.56077,79.5,-0.529774,0.3,0.1,0.0,0.7,1.0,2.571429,1.0,,0,10
mitigation_block,FVG,6,6,6,0,1.557041,0.50369,0.166667,1.296795,67.833333,-0.81399,0.166667,0.166667,0.166667,0.833333,1.0,4.2,2.0,12.0,0,6
mitigation_block,IFVG,4,4,4,0,1.187655,1.353045,0.75,0.970317,72.5,0.650526,0.75,0.5,0.25,0.25,1.0,1.0,6.0,11.0,0,4
mitigation_block,OB,2,2,2,0,0.674168,0.674168,0.0,4.048443,85.0,-1.0,0.0,0.0,0.0,1.0,1.0,3.5,,,0,2
mitigation_block,PD,34,34,34,0,2.522999,2.062551,0.647059,0.449213,70.823529,-0.191635,0.647059,0.382353,0.323529,0.352941,1.0,2.083333,5.307692,6.0,0,34
reclaimed_ob,Breaker,3,3,3,0,13.976775,13.671039,0.666667,0.851944,70.0,-0.072005,0.666667,1.0,0.333333,0.333333,1.666667,3.0,1.0,1.0,0,3
reclaimed_ob,OB,1,1,1,0,3.044922,3.044922,0.0,2.467692,95.0,-1.0,0.0,0.0,0.0,1.0,2.0,1.0,,,0,1
reclaimed_ob,PD,3,3,3,0,12.227676,9.779884,1.0,1.579967,73.333333,1.579967,1.0,1.0,1.0,0.0,3.333333,,1.0,1.0,0,3
rejection_block,Breaker,10,10,10,0,8.426659,9.084437,0.5,1.585901,80.5,0.409739,0.5,0.7,0.1,0.3,1.0,1.333333,4.142857,1.0,0,9
rejection_block,FVG,24,24,24,0,4.887922,3.797525,0.416667,2.687561,75.916667,0.103099,0.416667,0.5,0.083333,0.541667,1.0,2.076923,2.416667,3.5,0,19
rejection_block,IFVG,6,6,6,0,7.994559,5.768356,0.333333,3.322372,83.333333,0.390987,0.333333,1.0,0.5,0.5,1.0,6.333333,1.166667,1.333333,0,5
rejection_block,PD,17,17,17,0,5.512461,3.551083,0.941176,0.995273,68.352941,0.801831,0.941176,0.705882,0.235294,0.058824,1.0,2.0,1.25,2.0,0,17
silver_bullet,none,6,6,6,0,2.541757,2.108015,0.333333,2.0,68.0,0.299089,0.333333,0.666667,0.333333,0.5,1.0,10.333333,2.75,12.5,0,6
turtle_soup,none,113,113,113,0,4.350611,2.843218,0.159292,6.130359,46.725664,0.189722,0.159292,0.469027,0.292035,0.769912,1.0,3.367816,2.584906,4.727273,0,23
