model,model_family,direction,symbol,timeframe,timestamp,setup_timestamp,detected_at,entry_time,entry_mode,stop_mode,target_mode,entry_price,entry_low,entry_high,stop_loss,invalidation,target_hint,risk,risk_bps,same_bar_policy,same_bar_ambiguous,activated_trade,invalidated_before_entry,session_window,ny_time,htf_mode,htf_bias,htf_location,htf_zone_type,htf_objective_type,htf_context_alignment,htf_score_modifier,has_smt_confirmation,smt_direction,smt_pair,smt_strength,decision_score,score_bucket,htf_alignment_score,draw_score,pd_location_score,poi_score,displacement_score,smt_score,killzone_score,target_rr_score,no_trade_reasons,swept_level,sweep_extreme,sweep_liquidity_quality,sweep_level_age_bars,displacement_grade,breach_displacement_grade,turtle_quality,fvg_low,fvg_high,fvg_ce,ifvg_low,ifvg_high,ifvg_ce,ob_low,ob_high,breaker_low,breaker_high,rejection_body_level,rejection_wick_extreme,mitigation_low,mitigation_high,time_to_retest_bars,retest_time,target_distance_r,time_to_entry_bars,bars_to_invalidation,bars_to_1r,bars_to_2r,metadata_json,mfe_r,mae_r,invalidated,target_hit,target_before_invalidation,hit_1r_before_invalidation,hit_2r_before_invalidation
turtle_soup,ict,long,BTCUSDT,30m,1746235800000,1746235800000,1746237600000,1746235800000,close,sweep_extreme,opposite_range,96457.7,96457.7,96457.7,96366.50846,96366.50846,97865.4,91.1915399999998,9.454044622668777,conservative,False,True,False,,,,,,,,,,,,,,50,medium,20,5,5,0,0,0,0,20,,96404.2,96385.8,strong,33,,,valid,,,,,,,,,,,,,,,,,15.436738978199076,1,3,1,2,"{""close_back_distance_bps"": 5.549550745714399, ""entry_mode"": ""close"", ""entry_price"": 96457.7, ""model_family"": ""ict"", ""risk"": 91.1915399999998, ""risk_bps"": 9.454044622668777, ""stop_loss"": 96366.50846, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 96385.8, ""sweep_level_age_bars"": 33, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 96404.2, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.35128, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.061365, ""wick_extension"": 18.39999999999418, ""wick_fraction"": 0.120814}, ""wick_extension_bps"": 1.9086305368432268}",2.18879953118465,7.159655380312643,True,False,False,True,True
silver_bullet,ict,long,BTCUSDT,30m,1746196200000,1746196200000,1746237600000,1746198000000,edge,swing_or_fvg,fixed_r,97071.3,97071.3,97071.3,96583.48573999999,96583.48573999999,98046.92852000003,487.81426000001375,50.25319121099787,conservative,False,True,False,10:00-11:00,2025-05-02 10:30,,,,,,,,,,,,68,medium,20,5,5,8,0,0,20,10,target_rr_below_3,,,,,,,,96995.9,97071.3,97033.6,,,,,,,,,,,,1,1746198000000,2.0,1,14,1,,"{""entry_mode"": ""edge"", ""entry_price"": 97071.3, ""entry_time"": 1746198000000, ""fvg_ce"": 97033.6, ""fvg_high"": 97071.3, ""fvg_low"": 96995.9, ""fvg_time"": 1746196200000, ""model_family"": ""ict"", ""ny_time"": ""2025-05-02 10:30"", ""retest_ny_time"": ""2025-05-02 11:00"", ""retest_time"": 1746198000000, ""risk"": 487.81426000001375, ""risk_bps"": 50.25319121099787, ""session_window"": ""10:00-11:00"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_retest_must_occur_within_window"": true, ""stop_loss"": 96583.48573999999, ""stop_mode"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""time_to_retest_bars"": 1}",1.594254337706272,1.1555627750611088,True,False,False,True,False
ifvg_retest,ict,long,BTCUSDT,30m,1746189000000,1746189000000,1746237600000,1746190800000,edge,ce,nearest_liquidity,97025.0,97025.0,97025.0,96969.095,96969.095,97072.2,55.904999999998836,5.761917031692743,conservative,False,True,False,,,off,none,unknown,None,none,neutral,0.0,False,,,,58,medium,20,5,5,8,20,0,0,0,target_rr_below_2,,,,,strong,strong,,,,,96952.0,97025.0,96988.5,,,,,,,,,1,1746190800000,0.8442894195509896,1,1,,,"{""breach_close"": 97134.1, ""breach_displacement_factor"": 0.8455472591513536, ""breach_displacement_grade"": ""strong"", ""breach_time"": 1746189000000, ""dealing_range_source"": ""unknown"", ""displacement_grade"": ""strong"", ""entry_mode"": ""edge"", ""entry_price"": 97025.0, ""entry_time"": 1746190800000, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""ifvg_ce"": 96988.5, ""ifvg_high"": 97025.0, ""ifvg_low"": 96952.0, ""model_family"": ""ict"", ""retest_depth"": 4.382191780821838, ""retest_time"": 1746190800000, ""risk"": 55.904999999998836, ""risk_bps"": 5.761917031692743, ""source_fvg_direction"": ""bearish"", ""source_fvg_time"": 1746162000000, ""stop_loss"": 96969.095, ""stop_mode"": ""ce"", ""target_mode"": ""nearest_liquidity"", ""time_to_retest_bars"": 1}",15.032644665057001,9.25498613719712,True,False,False,False,False
turtle_soup,ict,long,BTCUSDT,30m,1746237600000,1746237600000,1746239400000,1746237600000,close,sweep_extreme,opposite_range,96616.5,96616.5,96616.5,96416.7767,96416.7767,97865.4,199.72329999999783,20.67175896456587,conservative,False,True,False,,,,,,,,,,,,,,50,medium,20,5,5,0,0,0,0,20,,96507.6,96436.1,medium,9,,,strong,,,,,,,,,,,,,,,,,6.253151234733292,1,2,,,"{""close_back_distance_bps"": 11.284085398455062, ""entry_mode"": ""close"", ""entry_price"": 96616.5, ""model_family"": ""ict"", ""risk"": 199.72329999999783, ""risk_bps"": 20.67175896456587, ""stop_loss"": 96416.7767, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 96436.1, ""sweep_level_age_bars"": 9, ""sweep_liquidity_quality"": ""medium"", ""sweep_swing_significance"": ""intermediate"", ""swept_level"": 96507.6, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.590564, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.268368, ""wick_extension"": 71.5, ""wick_fraction"": 0.387744}, ""wick_extension_bps"": 7.408742938379982}",0.20428262501172048,4.064122713774537,True,False,False,False,False
mitigation_block,ict,short,BTCUSDT,30m,1746237600000,1746237600000,1746239400000,1746237600000,body_zone_retest,block_extreme,nearest_liquidity,96457.7,96457.7,96538.1,96557.39154000001,96557.39154000001,96283.1,99.69154000001436,10.335259911859225,conservative,False,True,False,,,off,none,unknown,None,none,neutral,0.0,False,,,,38,low,20,5,5,8,0,0,0,0,target_rr_below_2,,,,,,,,,,,,,,,,,,,,96457.7,96538.1,,,1.751402375767955,1,1,,,"{""dealing_range_source"": ""unknown"", ""entry_mode"": ""body_zone_retest"", ""entry_price"": 96457.7, ""entry_time"": 1746237600000, ""failure_swing_time"": 1746230400000, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""mitigation_block_time"": 1746235800000, ""mitigation_high"": 96538.1, ""mitigation_low"": 96457.7, ""model_family"": ""ict"", ""mss_time"": 1746235800000, ""risk"": 99.69154000001436, ""risk_bps"": 10.335259911859225, ""stop_loss"": 96557.39154000001, ""stop_mode"": ""block_extreme"", ""target_mode"": ""nearest_liquidity""}",6.549201667462456,2.0021759118173628,True,False,False,False,False
mitigation_block,ict,short,BTCUSDT,30m,1746239400000,1746239400000,1746241200000,1746239400000,body_zone_retest,block_extreme,nearest_liquidity,96457.7,96457.7,96538.1,96557.39154000001,96557.39154000001,96283.1,99.69154000001436,10.335259911859225,conservative,False,True,False,,,off,none,unknown,None,none,neutral,0.0,False,,,,38,low,20,5,5,8,0,0,0,0,target_rr_below_2,,,,,,,,,,,,,,,,,,,,96457.7,96538.1,,,1.751402375767955,1,,1,2,"{""dealing_range_source"": ""unknown"", ""entry_mode"": ""body_zone_retest"", ""entry_price"": 96457.7, ""entry_time"": 1746239400000, ""failure_swing_time"": 1746230400000, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""mitigation_block_time"": 1746235800000, ""mitigation_high"": 96538.1, ""mitigation_low"": 96457.7, ""model_family"": ""ict"", ""mss_time"": 1746235800000, ""risk"": 99.69154000001436, ""risk_bps"": 10.335259911859225, ""stop_loss"": 96557.39154000001, ""stop_mode"": ""block_extreme"", ""target_mode"": ""nearest_liquidity""}",6.549201667462456,1.0030941441970462,False,True,True,True,True
mitigation_block,ict,short,BTCUSDT,30m,1746241200000,1746241200000,1746243000000,1746241200000,body_zone_retest,block_extreme,nearest_liquidity,96457.7,96457.7,96538.1,96557.39154000001,96557.39154000001,96385.8,99.69154000001436,10.335259911859225,conservative,False,True,False,,,off,none,unknown,None,none,neutral,0.0,False,,,,38,low,20,5,5,8,0,0,0,0,target_rr_below_2,,,,,,,,,,,,,,,,,,,,96457.7,96538.1,,,0.7212246896776179,1,,1,1,"{""dealing_range_source"": ""unknown"", ""entry_mode"": ""body_zone_retest"", ""entry_price"": 96457.7, ""entry_time"": 1746241200000, ""failure_swing_time"": 1746230400000, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""mitigation_block_time"": 1746235800000, ""mitigation_high"": 96538.1, ""mitigation_low"": 96457.7, ""model_family"": ""ict"", ""mss_time"": 1746235800000, ""risk"": 99.69154000001436, ""risk_bps"": 10.335259911859225, ""stop_loss"": 96557.39154000001, ""stop_mode"": ""block_extreme"", ""target_mode"": ""nearest_liquidity""}",6.549201667462456,1.0030941441970462,False,True,True,True,True
mitigation_block,ict,short,BTCUSDT,30m,1746243000000,1746243000000,1746244800000,1746243000000,body_zone_retest,block_extreme,nearest_liquidity,96457.7,96457.7,96538.1,96557.39154000001,96557.39154000001,96385.8,99.69154000001436,10.335259911859225,conservative,False,True,False,,,off,none,unknown,None,none,neutral,0.0,False,,,,38,low,20,5,5,8,0,0,0,0,target_rr_below_2,,,,,,,,,,,,,,,,,,,,96457.7,96538.1,,,0.7212246896776179,1,,1,1,"{""dealing_range_source"": ""unknown"", ""entry_mode"": ""body_zone_retest"", ""entry_price"": 96457.7, ""entry_time"": 1746243000000, ""failure_swing_time"": 1746230400000, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""mitigation_block_time"": 1746235800000, ""mitigation_high"": 96538.1, ""mitigation_low"": 96457.7, ""model_family"": ""ict"", ""mss_time"": 1746235800000, ""risk"": 99.69154000001436, ""risk_bps"": 10.335259911859225, ""stop_loss"": 96557.39154000001, ""stop_mode"": ""block_extreme"", ""target_mode"": ""nearest_liquidity""}",6.549201667462456,1.0030941441970462,False,True,True,True,True
turtle_soup,ict,long,BTCUSDT,30m,1746244800000,1746244800000,1746246600000,1746244800000,close,sweep_extreme,opposite_range,96443.0,96443.0,96443.0,96238.9114,96238.9114,97865.4,204.08860000000277,21.161577304729505,conservative,False,True,False,,,,,,,,,,,,,,50,medium,20,5,5,0,0,0,0,20,,96385.8,96258.2,weak,5,,,strong,,,,,,,,,,,,,,,,,6.969522060516731,1,4,,,"{""close_back_distance_bps"": 5.934484125254663, ""entry_mode"": ""close"", ""entry_price"": 96443.0, ""model_family"": ""ict"", ""risk"": 204.08860000000277, ""risk_bps"": 21.161577304729505, ""stop_loss"": 96238.9114, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 96258.2, ""sweep_level_age_bars"": 5, ""sweep_liquidity_quality"": ""weak"", ""sweep_swing_significance"": ""short"", ""swept_level"": 96385.8, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.251208, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.574956, ""wick_extension"": 127.60000000000582, ""wick_fraction"": 0.560386}, ""wick_extension_bps"": 13.238464587107833}",0.562010812950824,3.127073241719471,True,False,False,False,False
mitigation_block,ict,short,BTCUSDT,30m,1746244800000,1746244800000,1746246600000,1746244800000,body_zone_retest,block_extreme,nearest_liquidity,96367.6,96367.6,96482.4,96519.07352,96519.07352,96283.1,151.47351999999955,15.718303662226676,conservative,False,True,False,,,off,none,unknown,None,none,neutral,0.0,False,,,,38,low,20,5,5,8,0,0,0,0,target_rr_below_2,,,,,,,,,,,,,,,,,,,,96367.6,96482.4,,,0.5578532802301039,1,1,,,"{""dealing_range_source"": ""unknown"", ""entry_mode"": ""body_zone_retest"", ""entry_price"": 96367.6, ""entry_time"": 1746244800000, ""failure_swing_time"": 1746239400000, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""mitigation_block_time"": 1746241200000, ""mitigation_high"": 96482.4, ""mitigation_low"": 96367.6, ""model_family"": ""ict"", ""mss_time"": 1746241200000, ""risk"": 151.47351999999955, ""risk_bps"": 15.718303662226676, ""stop_loss"": 96519.07352, ""stop_mode"": ""block_extreme"", ""target_mode"": ""nearest_liquidity""}",3.715500900751528,1.2550048351684957,True,False,False,False,False
