scope,model,threshold,count,activated_trades,invalidated_before_entry,avg_decision_score,avg_mfe_r,median_mfe_r,avg_rr,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count,no_trade_reason_count,top_no_trade_reasons
all,ALL,0,2783,2759,16,45.857348,4.718471,2.621483,4.102916,0.127538,0.31405,0.437298,0.258714,0.614086,0,1586,target_rr_below_2:1239;target_rr_below_3:320;insufficient_displacement:120
model,breaker_block,0,120,101,16,44.916667,12.463483,7.937089,2.314901,0.627044,0.533333,0.575,0.475,0.308333,0,120,insufficient_displacement:120;target_rr_below_2:78;target_rr_below_3:15
model,ifvg_retest,0,136,131,0,69.433824,15.206727,8.828339,5.322641,0.238226,0.227941,0.323529,0.272059,0.735294,0,64,target_rr_below_2:56;target_rr_below_3:8
model,mitigation_block,0,736,736,0,40.690217,2.517195,1.298574,0.919926,-0.284552,0.421196,0.241848,0.115489,0.5625,0,714,target_rr_below_2:632;target_rr_below_3:82
model,reclaimed_ob,0,21,21,0,39.904762,14.662618,10.357659,1.66087,1.30864,0.809524,0.857143,0.714286,0.190476,0,19,target_rr_below_2:19
model,rejection_block,0,407,407,0,45.149877,5.954877,3.995723,1.931673,0.577053,0.628993,0.685504,0.339066,0.353808,0,326,target_rr_below_2:283;target_rr_below_3:43
model,silver_bullet,0,22,22,0,68.0,2.381866,1.63862,2.0,0.363718,0.318182,0.590909,0.318182,0.5,0,22,target_rr_below_3:22
model,turtle_soup,0,1341,1341,0,46.331096,3.826072,2.523442,6.617906,0.146477,0.14094,0.459359,0.284116,0.744966,0,321,target_rr_below_2:171;target_rr_below_3:150
all,ALL,50,1389,1374,9,53.61915,5.656987,3.481686,7.161518,0.304677,0.151908,0.470122,0.320374,0.737941,0,192,target_rr_below_2:119;target_rr_below_3:46;insufficient_displacement:33
model,breaker_block,50,33,23,9,59.515152,14.002438,8.575154,5.780512,1.419348,0.272727,0.454545,0.424242,0.424242,0,33,insufficient_displacement:33;target_rr_below_2:3;target_rr_below_3:3
model,ifvg_retest,50,136,131,0,69.433824,15.206727,8.828339,5.322641,0.238226,0.227941,0.323529,0.272059,0.735294,0,64,target_rr_below_2:56;target_rr_below_3:8
model,mitigation_block,50,57,57,0,59.403509,2.687785,2.464625,3.66031,-0.03481,0.350877,0.438596,0.210526,0.614035,0,35,target_rr_below_2:29;target_rr_below_3:6
model,reclaimed_ob,50,2,2,0,58.0,30.117051,30.117051,9.410207,9.410207,1.0,1.0,1.0,0.0,0,0,
model,rejection_block,50,119,119,0,59.428571,6.682231,4.168798,3.872058,0.994047,0.470588,0.756303,0.470588,0.478992,0,38,target_rr_below_2:31;target_rr_below_3:7
model,silver_bullet,50,22,22,0,68.0,2.381866,1.63862,2.0,0.363718,0.318182,0.590909,0.318182,0.5,0,22,target_rr_below_3:22
model,turtle_soup,50,1020,1020,0,50.0,4.311313,3.045217,8.137725,0.207494,0.084314,0.454902,0.310784,0.792157,0,0,
all,ALL,70,88,84,0,78.113636,17.169414,10.40556,7.861577,0.556735,0.181818,0.340909,0.295455,0.772727,0,10,target_rr_below_2:7;target_rr_below_3:2;insufficient_displacement:1
model,breaker_block,70,1,1,0,78.0,12.456588,12.456588,3.560212,-1.0,0.0,1.0,1.0,1.0,0,1,insufficient_displacement:1
model,ifvg_retest,70,81,77,0,78.123457,17.957555,10.976841,8.162758,0.629486,0.185185,0.308642,0.283951,0.765432,0,9,target_rr_below_2:7;target_rr_below_3:2
model,mitigation_block,70,1,1,0,78.0,2.655933,2.655933,3.178062,-1.0,0.0,1.0,0.0,1.0,0,0,
model,rejection_block,70,5,5,0,78.0,8.877307,4.638346,4.779416,0.059072,0.2,0.6,0.4,0.8,0,0,
