model,no_trade_reasons,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,insufficient_displacement,27,27,18,8,14.556066,7.483509,0.222222,6.760555,58.740741,1.630365,0.222222,0.444444,0.407407,0.444444,5.5,1.833333,1.0,1.0,0,27
breaker_block,insufficient_displacement;target_rr_below_2,78,78,69,7,11.910878,7.739032,0.641026,0.733751,38.769231,0.284356,0.641026,0.602564,0.487179,0.24359,2.894737,1.157895,1.0,1.0,0,78
breaker_block,insufficient_displacement;target_rr_below_3,15,15,14,1,12.496575,12.986032,0.533333,2.534705,52.0,1.026021,0.533333,0.666667,0.533333,0.4,3.933333,2.333333,1.0,1.375,0,15
ifvg_retest,none,72,72,70,0,19.042631,12.558241,0.152778,9.018007,78.138889,0.693339,0.152778,0.291667,0.263889,0.819444,2.742857,1.491525,1.0,1.157895,0,0
ifvg_retest,target_rr_below_2,56,56,55,0,10.049925,6.059658,0.303571,0.973021,57.910714,-0.398616,0.303571,0.357143,0.267857,0.678571,3.345455,1.236842,1.0,1.066667,0,56
ifvg_retest,target_rr_below_3,8,8,6,0,17.725186,16.841243,0.375,2.511682,71.75,0.766297,0.375,0.375,0.375,0.375,2.833333,1.0,1.0,1.0,0,8
mitigation_block,none,22,22,22,0,3.352019,2.787596,0.045455,7.872105,58.909091,-0.109024,0.045455,0.454545,0.272727,0.863636,1.0,5.263158,2.8,5.833333,0,0
mitigation_block,target_rr_below_2,632,632,632,0,2.586792,1.2698,0.449367,0.52978,38.917722,-0.346325,0.449367,0.208861,0.085443,0.547468,1.0,2.713873,3.19697,2.62963,0,632
mitigation_block,target_rr_below_3,82,82,82,0,1.756813,1.291881,0.304878,2.061693,49.463415,0.144459,0.304878,0.439024,0.304878,0.597561,1.0,4.938776,5.972222,7.72,0,82
reclaimed_ob,none,2,2,2,0,30.117051,30.117051,1.0,9.410207,58.0,9.410207,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
reclaimed_ob,target_rr_below_2,19,19,19,0,13.035835,9.897092,0.789474,0.84515,38.0,0.455844,0.789474,0.842105,0.684211,0.210526,1.526316,1.5,1.0,1.0,0,19
rejection_block,none,81,81,81,0,7.716813,4.170191,0.308642,5.097608,59.234568,1.077114,0.308642,0.703704,0.555556,0.641975,1.0,3.057692,1.175439,2.066667,0,0
rejection_block,target_rr_below_2,283,283,283,0,5.572999,3.940743,0.738516,0.951902,40.190813,0.404467,0.738516,0.674912,0.24735,0.254417,1.0,3.027778,1.549738,1.514286,0,283
rejection_block,target_rr_below_3,43,43,43,0,5.149173,4.96142,0.511628,2.416195,51.255814,0.77093,0.511628,0.72093,0.534884,0.465116,1.0,4.25,1.258065,2.391304,0,43
silver_bullet,target_rr_below_3,22,22,22,0,2.381866,1.63862,0.318182,2.0,68.0,0.363718,0.318182,0.590909,0.318182,0.5,1.090909,8.363636,3.384615,10.0,0,22
turtle_soup,none,1020,1020,1020,0,4.311313,3.045217,0.084314,8.137725,50.0,0.207494,0.084314,0.454902,0.310784,0.792157,1.0,3.883663,2.49569,4.438486,0,0
turtle_soup,target_rr_below_2,171,171,171,0,1.958101,1.290841,0.421053,1.183877,30.0,-0.085508,0.421053,0.391813,0.128655,0.520468,1.0,4.921348,4.104478,4.545455,0,171
turtle_soup,target_rr_below_3,150,150,150,0,2.655921,1.822241,0.206667,2.477927,40.0,-0.003975,0.206667,0.566667,0.28,0.68,1.0,5.705882,3.635294,7.571429,0,150
