model,score_bucket,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,high,1,1,1,0,12.456588,12.456588,0.0,3.560212,78.0,-1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0,1
breaker_block,low,87,87,78,7,12.009689,7.8887,0.632184,1.00036,39.37931,0.393415,0.632184,0.62069,0.494253,0.264368,3.117647,1.478261,1.0,1.0,0,87
breaker_block,medium,32,32,22,9,14.072704,8.178013,0.28125,5.849896,58.9375,1.529318,0.28125,0.4375,0.40625,0.40625,5.0,1.692308,1.0,1.230769,0,32
ifvg_retest,high,81,81,77,0,17.957555,10.976841,0.185185,8.162758,78.123457,0.629486,0.185185,0.308642,0.283951,0.765432,2.857143,1.467742,1.0,1.130435,0,9
ifvg_retest,medium,55,55,54,0,11.28425,6.544373,0.290909,1.139923,56.636364,-0.319681,0.290909,0.345455,0.254545,0.690909,3.203704,1.236842,1.0,1.071429,0,55
mitigation_block,high,1,1,1,0,2.655933,2.655933,0.0,3.178062,78.0,-1.0,0.0,1.0,0.0,1.0,1.0,6.0,2.0,,0,0
mitigation_block,low,679,679,679,0,2.502875,1.266793,0.427099,0.68988,39.119293,-0.305517,0.427099,0.225331,0.107511,0.558174,1.0,2.902375,3.627451,4.136986,0,679
mitigation_block,medium,56,56,56,0,2.688354,2.257741,0.357143,3.668922,59.071429,-0.017575,0.357143,0.428571,0.214286,0.607143,1.0,5.147059,4.5,5.666667,0,35
reclaimed_ob,low,19,19,19,0,13.035835,9.897092,0.789474,0.84515,38.0,0.455844,0.789474,0.842105,0.684211,0.210526,1.526316,1.5,1.0,1.0,0,19
reclaimed_ob,medium,2,2,2,0,30.117051,30.117051,1.0,9.410207,58.0,9.410207,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
rejection_block,high,5,5,5,0,8.877307,4.638346,0.2,4.779416,78.0,0.059072,0.2,0.6,0.4,0.8,1.0,2.0,1.666667,3.0,0,0
rejection_block,low,288,288,288,0,5.654339,3.963827,0.694444,1.129917,39.25,0.404753,0.694444,0.65625,0.284722,0.302083,1.0,3.252874,1.449735,1.780488,0,288
rejection_block,medium,114,114,114,0,6.585955,4.100278,0.482456,3.832261,58.614035,1.035055,0.482456,0.763158,0.473684,0.464912,1.0,3.226415,1.413793,1.888889,0,38
silver_bullet,medium,22,22,22,0,2.381866,1.63862,0.318182,2.0,68.0,0.363718,0.318182,0.590909,0.318182,0.5,1.090909,8.363636,3.384615,10.0,0,22
turtle_soup,low,321,321,321,0,2.284185,1.590759,0.320872,1.788573,34.672897,-0.047408,0.320872,0.47352,0.199377,0.595016,1.0,5.340314,3.842105,6.53125,0,321
turtle_soup,medium,1020,1020,1020,0,4.311313,3.045217,0.084314,8.137725,50.0,0.207494,0.084314,0.454902,0.310784,0.792157,1.0,3.883663,2.49569,4.438486,0,0
