model,score_bucket,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,high,20,20,12,7,18.579353,12.549805,0.3,3.905966,84.65,1.966884,0.3,0.35,0.35,0.3,6.6875,1.166667,1.0,1.0,0,20
breaker_block,medium,4,4,2,2,4.230338,4.230338,0.25,0.362342,63.25,-0.473498,0.25,0.0,0.0,0.25,8.75,1.0,,,0,4
ict2022_mss_fvg,high,1,1,1,0,12.613144,12.613144,0.0,22.285479,100.0,12.613144,0.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
ifvg_retest,high,27,27,26,0,17.34036,8.102736,0.111111,4.63422,96.481481,-0.738586,0.111111,0.148148,0.111111,0.851852,3.576923,1.130435,1.0,1.333333,0,21
mitigation_block,high,45,45,45,0,2.21218,0.762836,0.488889,0.791847,74.955556,-0.295952,0.488889,0.355556,0.288889,0.511111,1.0,2.956522,5.1875,6.846154,0,45
mitigation_block,medium,11,11,11,0,1.50916,1.192588,0.636364,0.45516,63.363636,-0.252486,0.636364,0.090909,0.0,0.363636,1.0,1.0,1.0,,0,11
reclaimed_ob,high,7,7,7,0,11.665468,13.034875,0.714286,1.394775,75.0,0.503412,0.714286,0.857143,0.571429,0.285714,2.428571,2.0,1.0,1.0,0,7
rejection_block,high,37,37,37,0,5.82395,3.811794,0.432432,2.703842,82.0,0.339679,0.432432,0.702703,0.243243,0.459459,1.0,2.882353,2.384615,2.111111,0,30
rejection_block,medium,20,20,20,0,6.388487,3.934155,0.85,0.85861,62.75,0.499034,0.85,0.55,0.05,0.15,1.0,1.0,1.636364,1.0,0,20
silver_bullet,medium,6,6,6,0,2.541757,2.108015,0.333333,2.0,68.0,0.299089,0.333333,0.666667,0.333333,0.5,1.0,10.333333,2.75,12.5,0,6
turtle_soup,low,23,23,23,0,3.063405,3.128466,0.347826,1.717063,33.913043,-0.022767,0.347826,0.521739,0.347826,0.608696,1.0,3.785714,3.166667,4.875,0,23
turtle_soup,medium,90,90,90,0,4.679563,2.583977,0.111111,7.258201,50.0,0.244025,0.111111,0.455556,0.277778,0.811111,1.0,3.287671,2.414634,4.68,0,0
