model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,long,6,6,3,3,14.430655,10.460501,0.5,1.2063,71.166667,0.966799,0.5,0.5,0.5,0.0,8.2,,1.0,1.0,0,6
breaker_block,short,5,5,1,2,19.857954,19.857954,0.2,2.795399,87.4,4.806316,0.2,0.2,0.2,0.0,9.0,,1.0,1.0,0,5
ifvg_retest,long,5,5,4,0,128.280947,56.433458,0.4,11.795614,99.4,3.165541,0.4,0.4,0.2,0.4,1.0,1.0,1.5,1.0,0,4
ifvg_retest,short,3,3,3,0,10.069833,9.722848,0.666667,1.450489,99.0,0.953415,0.666667,0.666667,0.666667,0.333333,6.0,1.0,1.0,1.0,0,3
mitigation_block,long,9,9,9,0,3.23485,1.598802,0.333333,0.425481,81.777778,-0.527499,0.333333,0.222222,0.0,0.666667,1.0,1.0,1.0,,0,9
mitigation_block,short,3,3,3,0,3.033456,1.848251,0.333333,0.85636,72.333333,-0.300772,0.333333,0.333333,0.0,0.666667,1.0,1.0,5.0,,0,3
reclaimed_ob,short,2,2,2,0,5.343611,5.343611,0.5,4.992324,83.5,-0.28096,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,0,2
rejection_block,long,8,8,8,0,5.446616,1.935478,0.625,2.52653,84.625,0.165257,0.625,0.625,0.375,0.375,1.0,1.333333,1.0,1.333333,0,6
rejection_block,short,6,6,6,0,5.681273,2.965326,0.5,1.63682,85.333333,-0.199763,0.5,0.166667,0.166667,0.5,1.0,1.0,1.0,1.0,0,5
turtle_soup,long,25,25,25,0,3.643208,1.598802,0.08,7.318901,48.0,-0.367399,0.08,0.44,0.28,0.88,1.0,3.954545,3.0,4.0,0,3
turtle_soup,short,30,30,30,0,4.664164,3.794466,0.133333,10.410863,48.333333,0.458237,0.133333,0.433333,0.266667,0.733333,1.0,2.5,3.230769,2.25,0,3
