model,htf_location,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,discount,4,4,1,2,3.912926,3.912926,0.25,1.691242,84.25,1.094762,0.25,0.25,0.25,0.0,12.5,,1.0,1.0,0,4
breaker_block,equilibrium,3,3,0,3,,,0.0,1.445801,62.0,,0.0,0.0,0.0,0.0,11.5,,,,0,3
breaker_block,premium,4,4,3,0,19.745664,19.857954,0.75,2.528106,85.25,2.203984,0.75,0.75,0.75,0.0,3.666667,,1.0,1.0,0,4
ifvg_retest,discount,4,4,4,0,32.623093,8.812728,0.5,4.393027,100.0,3.665416,0.5,0.5,0.5,0.5,4.5,1.0,1.0,1.0,0,3
ifvg_retest,equilibrium,1,1,0,0,,,0.0,24.174174,100.0,,0.0,0.0,0.0,0.0,,,,,0,1
ifvg_retest,premium,3,3,3,0,137.613638,12.584042,0.666667,7.19442,98.0,0.286913,0.666667,0.666667,0.333333,0.333333,1.333333,1.0,1.5,1.0,0,3
mitigation_block,discount,6,6,6,0,3.467252,0.820766,0.166667,0.578791,81.0,-0.832316,0.166667,0.0,0.0,0.833333,1.0,1.0,,,0,6
mitigation_block,equilibrium,2,2,2,0,6.754334,6.754334,0.5,0.607648,72.0,-0.035747,0.5,0.5,0.0,0.5,1.0,1.0,1.0,,0,2
mitigation_block,premium,4,4,4,0,0.975459,0.924126,0.5,0.427592,80.75,-0.146103,0.5,0.5,0.0,0.5,1.0,1.0,3.0,,0,4
reclaimed_ob,discount,1,1,1,0,6.779888,6.779888,0.0,9.546568,90.0,-1.0,0.0,0.0,0.0,1.0,2.0,1.0,,,0,1
reclaimed_ob,premium,1,1,1,0,3.907334,3.907334,1.0,0.43808,77.0,0.43808,1.0,1.0,1.0,0.0,2.0,,1.0,1.0,0,1
rejection_block,discount,7,7,7,0,6.083228,2.965326,0.428571,2.757786,85.571429,-0.098532,0.428571,0.428571,0.428571,0.571429,1.0,1.25,1.0,1.333333,0,5
rejection_block,equilibrium,1,1,1,0,1.600923,1.600923,1.0,0.196669,82.0,0.196669,1.0,1.0,0.0,0.0,1.0,,1.0,,0,1
rejection_block,premium,6,6,6,0,5.579508,1.935478,0.666667,1.755331,84.666667,0.102756,0.666667,0.333333,0.166667,0.333333,1.0,1.0,1.0,1.0,0,5
turtle_soup,none,55,55,55,0,4.200093,2.608813,0.109091,9.005426,48.181818,0.082948,0.109091,0.436364,0.272727,0.8,1.0,3.227273,3.125,3.066667,0,6
