model,no_trade_reasons,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,equilibrium;insufficient_displacement;target_rr_below_2,3,3,0,3,,,0.0,1.445801,62.0,,0.0,0.0,0.0,0.0,11.5,,,,0,3
breaker_block,insufficient_displacement,2,2,1,0,19.857954,19.857954,0.5,4.153395,98.5,4.806316,0.5,0.5,0.5,0.0,1.0,,1.0,1.0,0,2
breaker_block,insufficient_displacement;target_rr_below_2,1,1,1,0,3.912926,3.912926,1.0,1.094762,97.0,1.094762,1.0,1.0,1.0,0.0,8.0,,1.0,1.0,0,1
breaker_block,poor_pd_location;insufficient_displacement;target_rr_below_2,4,4,2,1,19.689519,19.689519,0.5,1.136444,76.0,0.902818,0.5,0.5,0.5,0.0,5.0,,1.0,1.0,0,4
breaker_block,poor_pd_location;insufficient_displacement;target_rr_below_3,1,1,0,1,,,0.0,2.930064,80.0,,0.0,0.0,0.0,0.0,17.0,,,,0,1
ifvg_retest,equilibrium,1,1,0,0,,,0.0,24.174174,100.0,,0.0,0.0,0.0,0.0,,,,,0,1
ifvg_retest,none,1,1,1,0,107.550483,107.550483,1.0,13.967595,100.0,13.967595,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
ifvg_retest,poor_pd_location,1,1,1,0,398.483784,398.483784,0.0,19.722519,100.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
ifvg_retest,poor_pd_location;target_rr_below_2,2,2,2,0,5.747968,5.747968,0.5,0.592896,98.5,-0.152716,0.5,0.5,0.0,0.5,8.0,1.0,2.0,,0,2
ifvg_retest,poor_pd_location;target_rr_below_3,1,1,1,0,7.902607,7.902607,1.0,2.694071,100.0,2.694071,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
ifvg_retest,target_rr_below_2,2,2,2,0,8.950237,8.950237,0.5,0.792695,98.5,0.083086,0.5,0.5,0.5,0.5,1.5,1.0,1.0,1.0,0,2
mitigation_block,equilibrium;target_rr_below_2,2,2,2,0,6.754334,6.754334,0.5,0.607648,72.0,-0.035747,0.5,0.5,0.0,0.5,1.0,1.0,1.0,,0,2
mitigation_block,poor_pd_location;target_rr_below_2,5,5,5,0,1.861141,0.0,0.2,0.416817,77.2,-0.736419,0.2,0.2,0.0,0.8,1.0,1.0,1.0,,0,5
mitigation_block,target_rr_below_2,5,5,5,0,3.07993,1.598802,0.4,0.619806,84.6,-0.379243,0.4,0.2,0.0,0.6,1.0,1.0,5.0,,0,5
reclaimed_ob,poor_pd_location,1,1,1,0,6.779888,6.779888,0.0,9.546568,90.0,-1.0,0.0,0.0,0.0,1.0,2.0,1.0,,,0,1
reclaimed_ob,target_rr_below_2,1,1,1,0,3.907334,3.907334,1.0,0.43808,77.0,0.43808,1.0,1.0,1.0,0.0,2.0,,1.0,1.0,0,1
rejection_block,equilibrium;target_rr_below_2,1,1,1,0,1.600923,1.600923,1.0,0.196669,82.0,0.196669,1.0,1.0,0.0,0.0,1.0,,1.0,,0,1
rejection_block,none,3,3,3,0,7.538151,7.837513,0.0,7.808377,97.333333,-1.0,0.0,0.333333,0.333333,1.0,1.0,1.333333,1.0,1.0,0,0
rejection_block,poor_pd_location;target_rr_below_2,6,6,6,0,8.000578,2.965326,0.833333,0.597377,76.0,0.413369,0.833333,0.5,0.333333,0.166667,1.0,1.0,1.0,1.0,0,6
rejection_block,target_rr_below_2,4,4,4,0,1.36043,1.058491,0.5,0.706773,89.75,0.111649,0.5,0.25,0.25,0.5,1.0,1.0,1.0,2.0,0,4
turtle_soup,none,49,49,49,0,4.528612,3.880096,0.102041,9.895786,50.0,0.121733,0.102041,0.428571,0.306122,0.816327,1.0,3.125,2.380952,3.066667,0,0
turtle_soup,target_rr_below_2,4,4,4,0,0.965518,0.862982,0.25,1.408049,30.0,0.149305,0.25,0.5,0.0,0.5,1.0,1.5,12.0,,0,4
turtle_soup,target_rr_below_3,2,2,2,0,2.62054,2.62054,0.0,2.386367,40.0,-1.0,0.0,0.5,0.0,1.0,1.0,7.0,1.0,,0,2
