model,model_family,direction,symbol,timeframe,timestamp,setup_timestamp,detected_at,entry_time,entry_mode,stop_mode,target_mode,entry_price,entry_low,entry_high,stop_loss,invalidation,target_hint,risk,risk_bps,same_bar_policy,same_bar_ambiguous,activated_trade,invalidated_before_entry,session_window,ny_time,htf_mode,htf_bias,htf_location,htf_zone_type,htf_objective_type,htf_context_alignment,htf_score_modifier,has_smt_confirmation,smt_direction,smt_pair,smt_strength,decision_score,score_bucket,htf_alignment_score,draw_score,pd_location_score,poi_score,displacement_score,smt_score,killzone_score,target_rr_score,no_trade_reasons,swept_level,sweep_extreme,sweep_liquidity_quality,sweep_level_age_bars,displacement_grade,breach_displacement_grade,turtle_quality,fvg_low,fvg_high,fvg_ce,ifvg_low,ifvg_high,ifvg_ce,ob_low,ob_high,breaker_low,breaker_high,rejection_body_level,rejection_wick_extreme,mitigation_low,mitigation_high,time_to_retest_bars,retest_time,target_distance_r,time_to_entry_bars,bars_to_invalidation,bars_to_1r,bars_to_2r,metadata_json,mfe_r,mae_r,invalidated,target_hit,target_before_invalidation,hit_1r_before_invalidation,hit_2r_before_invalidation
turtle_soup,ict,long,BTCUSDT,4h,1747497600000,1747497600000,1747512000000,1747497600000,close,sweep_extreme,opposite_range,103100.1,103100.1,103100.1,102685.97998,102685.97998,105863.1,414.1200200000021,40.16679130282144,conservative,False,True,False,,,,,,,,,,,,,,50,medium,20,5,5,0,0,0,0,20,,103062.3,102706.6,weak,8,,,valid,,,,,,,,,,,,,,,,,6.671978814257726,1,,3,3,"{""close_back_distance_bps"": 3.667684497629386, ""entry_mode"": ""close"", ""entry_price"": 103100.1, ""model_family"": ""ict"", ""risk"": 414.1200200000021, ""risk_bps"": 40.16679130282144, ""stop_loss"": 102685.97998, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 102706.6, ""sweep_level_age_bars"": 8, ""sweep_liquidity_quality"": ""weak"", ""sweep_swing_significance"": ""short"", ""swept_level"": 103062.3, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.063084, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.34766, ""wick_extension"": 355.6999999999971, ""wick_fraction"": 0.593625}, ""wick_extension_bps"": 34.51310518007041}",10.123635172238165,2.562783610413226,False,True,True,True,True
turtle_soup,ict,long,BTCUSDT,4h,1747540800000,1747540800000,1747555200000,1747540800000,close,sweep_extreme,opposite_range,103893.0,103893.0,103893.0,103223.5214,103223.5214,105863.1,669.4786000000022,64.43924037230634,conservative,False,True,False,,,,,,,,,,,,,,40,low,20,5,5,0,0,0,0,10,target_rr_below_3,103502.4,103244.3,strong,38,,,strong,,,,,,,,,,,,,,,,,2.942737826123194,1,,2,2,"{""close_back_distance_bps"": 37.738255344804166, ""entry_mode"": ""close"", ""entry_price"": 103893.0, ""model_family"": ""ict"", ""risk"": 669.4786000000022, ""risk_bps"": 64.43924037230634, ""stop_loss"": 103223.5214, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 103244.3, ""sweep_level_age_bars"": 38, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 103502.4, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.553807, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.275537, ""wick_extension"": 258.09999999999127, ""wick_fraction"": 0.365944}, ""wick_extension_bps"": 24.936619827172247}",8.27061537142484,2.7696180281191825,False,True,True,True,True
turtle_soup,ict,short,BTCUSDT,4h,1747555200000,1747555200000,1747569600000,1747555200000,close,sweep_extreme,opposite_range,103769.0,103769.0,103769.0,104086.85380000001,104086.85380000001,100678.0,317.8538000000117,30.630901328914383,conservative,False,True,False,,,,,,,,,,,,,,50,medium,20,5,5,0,0,0,0,20,,103820.0,104066.1,medium,20,,,strong,,,,,,,,,,,,,,,,,9.72459665418468,1,1,,,"{""close_back_distance_bps"": 4.91234829512618, ""entry_mode"": ""close"", ""entry_price"": 103769.0, ""model_family"": ""ict"", ""risk"": 317.8538000000117, ""risk_bps"": 30.630901328914383, ""stop_loss"": 104086.85380000001, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 104066.1, ""sweep_level_age_bars"": 20, ""sweep_liquidity_quality"": ""medium"", ""sweep_swing_significance"": ""intermediate"", ""swept_level"": 103820.0, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.163619, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.274605, ""wick_extension"": 246.10000000000582, ""wick_fraction"": 0.789541}, ""wick_extension_bps"": 23.70448853785454}",5.4433830899612765,18.98734575455689,True,False,False,False,False
mitigation_block,ict,long,BTCUSDT,4h,1747555200000,1747555200000,1747569600000,1747555200000,body_zone_retest,block_extreme,nearest_liquidity,103893.0,103244.3,103893.0,103223.5214,103223.5214,104085.0,669.4786000000022,64.43924037230634,conservative,False,True,False,,,off,none,unknown,None,none,neutral,0.0,False,,,,38,low,20,5,5,8,0,0,0,0,target_rr_below_2,,,,,,,,,,,,,,,,,,,,103244.3,103893.0,,,0.2867903469954071,1,,1,1,"{""dealing_range_source"": ""unknown"", ""entry_mode"": ""body_zone_retest"", ""entry_price"": 103893.0, ""entry_time"": 1747555200000, ""failure_swing_time"": 1747483200000, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""mitigation_block_time"": 1747540800000, ""mitigation_high"": 103893.0, ""mitigation_low"": 103244.3, ""model_family"": ""ict"", ""mss_time"": 1747540800000, ""risk"": 669.4786000000022, ""risk_bps"": 64.43924037230634, ""stop_loss"": 103223.5214, ""stop_mode"": ""block_extreme"", ""target_mode"": ""nearest_liquidity""}",8.829557808121093,2.7696180281191825,False,True,True,True,True
breaker_block,ict,long,BTCUSDT,4h,1747569600000,1747569600000,1747584000000,1747569600000,edge,mean_threshold,nearest_liquidity,104144.0,104144.0,104144.0,103858.4712,103858.4712,104319.0,285.52880000000005,27.4167306805961,conservative,False,True,False,,,off,none,unknown,None,none,neutral,0.0,False,,,,38,low,20,5,5,8,0,0,0,0,insufficient_displacement;target_rr_below_2,,,,,,,,,,,,,,,,103614.6,104144.0,,,,,,1747569600000,0.6128978933123382,1,1,,,"{""break_time"": 1747569600000, ""breaker_high"": 104144.0, ""breaker_low"": 103614.6, ""breaker_mean_threshold"": 103879.3, ""dealing_range_source"": ""unknown"", ""entry_mode"": ""edge"", ""entry_price"": 104144.0, ""entry_time"": 1747569600000, ""failed_ob_confirmed"": true, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""model_family"": ""ict"", ""retest_time"": 1747569600000, ""risk"": 285.52880000000005, ""risk_bps"": 27.4167306805961, ""session_filter"": ""off"", ""source_ob_direction"": ""bearish"", ""source_ob_time"": 1747396800000, ""stop_loss"": 103858.4712, ""stop_mode"": ""mean_threshold"", ""sweep_time"": 1747440000000, ""target_mode"": ""nearest_liquidity""}",23.416201798207393,7.372986542863615,True,False,False,False,False
mitigation_block,ict,long,BTCUSDT,4h,1747569600000,1747569600000,1747584000000,1747569600000,body_zone_retest,block_extreme,nearest_liquidity,103893.0,103244.3,103893.0,103223.5214,103223.5214,104085.0,669.4786000000022,64.43924037230634,conservative,False,True,False,,,off,none,unknown,None,none,neutral,0.0,False,,,,38,low,20,5,5,8,0,0,0,0,target_rr_below_2,,,,,,,,,,,,,,,,,,,,103244.3,103893.0,,,0.2867903469954071,1,,1,1,"{""dealing_range_source"": ""unknown"", ""entry_mode"": ""body_zone_retest"", ""entry_price"": 103893.0, ""entry_time"": 1747569600000, ""failure_swing_time"": 1747483200000, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""mitigation_block_time"": 1747540800000, ""mitigation_high"": 103893.0, ""mitigation_low"": 103244.3, ""model_family"": ""ict"", ""mss_time"": 1747540800000, ""risk"": 669.4786000000022, ""risk_bps"": 64.43924037230634, ""stop_loss"": 103223.5214, ""stop_mode"": ""block_extreme"", ""target_mode"": ""nearest_liquidity""}",10.361794984933017,2.7696180281191825,False,True,True,True,True
turtle_soup,ict,short,BTCUSDT,4h,1747584000000,1747584000000,1747598400000,1747584000000,close,sweep_extreme,opposite_range,103834.0,103834.0,103834.0,106020.4668,106020.4668,100678.0,2186.4667999999947,210.57329968988913,conservative,False,True,False,,,,,,,,,,,,,,30,low,20,5,5,0,0,0,0,0,target_rr_below_2,104524.2,105999.7,medium,12,,,strong,,,,,,,,,,,,,,,,,1.4434246154572334,1,1,,,"{""close_back_distance_bps"": 66.03255514034043, ""entry_mode"": ""close"", ""entry_price"": 103834.0, ""model_family"": ""ict"", ""risk"": 2186.4667999999947, ""risk_bps"": 210.57329968988913, ""stop_loss"": 106020.4668, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 105999.7, ""sweep_level_age_bars"": 12, ""sweep_liquidity_quality"": ""medium"", ""sweep_swing_significance"": ""intermediate"", ""swept_level"": 104524.2, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.31377, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 1.695314, ""wick_extension"": 1475.5, ""wick_fraction"": 0.670773}, ""wick_extension_bps"": 141.1634817582914}",0.8210506557885999,3.673689442711874,True,False,False,False,False
reclaimed_ob,ict,long,BTCUSDT,4h,1747569600000,1747569600000,1747598400000,1747584000000,body_edge,mean_threshold,nearest_liquidity,103893.0,103893.0,103893.0,103810.2214,103810.2214,104085.0,82.7786000000051,7.967678284389237,conservative,False,True,False,,,off,none,unknown,None,none,neutral,0.0,False,,,,48,low,20,5,5,8,0,0,0,10,target_rr_below_3,,,,,,,,,,,,,,103769.0,103893.0,,,,,,,,1747584000000,2.3194400485148114,1,1,,,"{""dealing_range_source"": ""unknown"", ""entry_mode"": ""body_edge"", ""entry_price"": 103893.0, ""entry_time"": 1747584000000, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""model_family"": ""ict"", ""ob_high"": 103893.0, ""ob_low"": 103769.0, ""ob_mean_threshold"": 103831.0, ""prior_reaction_r"": 0.5, ""retest_count"": 1, ""retest_time"": 1747584000000, ""risk"": 82.7786000000051, ""risk_bps"": 7.967678284389237, ""source_ob_time"": 1747555200000, ""stop_loss"": 103810.2214, ""stop_mode"": ""mean_threshold"", ""target_mode"": ""nearest_liquidity""}",83.8018521695169,22.399509051854984,True,False,False,False,False
mitigation_block,ict,long,BTCUSDT,4h,1747584000000,1747584000000,1747598400000,1747584000000,body_zone_retest,block_extreme,nearest_liquidity,103893.0,103244.3,103893.0,103223.5214,103223.5214,104085.0,669.4786000000022,64.43924037230634,conservative,False,True,False,,,off,none,unknown,None,none,neutral,0.0,False,,,,38,low,20,5,5,8,0,0,0,0,target_rr_below_2,,,,,,,,,,,,,,,,,,,,103244.3,103893.0,,,0.2867903469954071,1,1,,,"{""dealing_range_source"": ""unknown"", ""entry_mode"": ""body_zone_retest"", ""entry_price"": 103893.0, ""entry_time"": 1747584000000, ""failure_swing_time"": 1747483200000, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""mitigation_block_time"": 1747540800000, ""mitigation_high"": 103893.0, ""mitigation_low"": 103244.3, ""model_family"": ""ict"", ""mss_time"": 1747540800000, ""risk"": 669.4786000000022, ""risk_bps"": 64.43924037230634, ""stop_loss"": 103223.5214, ""stop_mode"": ""block_extreme"", ""target_mode"": ""nearest_liquidity""}",11.909865378818633,2.7696180281191825,True,False,False,False,False
mitigation_block,ict,long,BTCUSDT,4h,1747598400000,1747598400000,1747612800000,1747598400000,body_zone_retest,block_extreme,nearest_liquidity,103893.0,103244.3,103893.0,103223.5214,103223.5214,104085.0,669.4786000000022,64.43924037230634,conservative,False,True,False,,,off,none,unknown,None,none,neutral,0.0,False,,,,38,low,20,5,5,8,0,0,0,0,target_rr_below_2,,,,,,,,,,,,,,,,,,,,103244.3,103893.0,,,0.2867903469954071,1,,1,1,"{""dealing_range_source"": ""unknown"", ""entry_mode"": ""body_zone_retest"", ""entry_price"": 103893.0, ""entry_time"": 1747598400000, ""failure_swing_time"": 1747483200000, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""mitigation_block_time"": 1747540800000, ""mitigation_high"": 103893.0, ""mitigation_low"": 103244.3, ""model_family"": ""ict"", ""mss_time"": 1747540800000, ""risk"": 669.4786000000022, ""risk_bps"": 64.43924037230634, ""stop_loss"": 103223.5214, ""stop_mode"": ""block_extreme"", ""target_mode"": ""nearest_liquidity""}",11.909865378818633,2.7696180281191825,False,True,True,True,True
mitigation_block,ict,long,BTCUSDT,4h,1747612800000,1747612800000,1747627200000,1747612800000,body_zone_retest,block_extreme,nearest_liquidity,103893.0,103244.3,103893.0,103223.5214,103223.5214,104085.0,669.4786000000022,64.43924037230634,conservative,False,True,False,,,off,none,unknown,None,none,neutral,0.0,False,,,,38,low,20,5,5,8,0,0,0,0,target_rr_below_2,,,,,,,,,,,,,,,,,,,,103244.3,103893.0,,,0.2867903469954071,1,1,,,"{""dealing_range_source"": ""unknown"", ""entry_mode"": ""body_zone_retest"", ""entry_price"": 103893.0, ""entry_time"": 1747612800000, ""failure_swing_time"": 1747483200000, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""mitigation_block_time"": 1747540800000, ""mitigation_high"": 103893.0, ""mitigation_low"": 103244.3, ""model_family"": ""ict"", ""mss_time"": 1747540800000, ""risk"": 669.4786000000022, ""risk_bps"": 64.43924037230634, ""stop_loss"": 103223.5214, ""stop_mode"": ""block_extreme"", ""target_mode"": ""nearest_liquidity""}",11.909865378818633,2.7696180281191825,True,False,False,False,False
turtle_soup,ict,long,BTCUSDT,4h,1747627200000,1747627200000,1747641600000,1747627200000,close,sweep_extreme,opposite_range,103167.0,103167.0,103167.0,102018.1666,102018.1666,107114.3,1148.8334000000032,111.3566741302939,conservative,False,True,False,,,,,,,,,,,,,,50,medium,20,5,5,0,0,0,0,20,,102591.0,102038.8,weak,10,,,strong,,,,,,,,,,,,,,,,,3.435920299670946,1,,2,3,"{""close_back_distance_bps"": 56.14527590139486, ""entry_mode"": ""close"", ""entry_price"": 103167.0, ""model_family"": ""ict"", ""risk"": 1148.8334000000032, ""risk_bps"": 111.3566741302939, ""stop_loss"": 102018.1666, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 102038.8, ""sweep_level_age_bars"": 10, ""sweep_liquidity_quality"": ""weak"", ""sweep_swing_significance"": ""short"", ""swept_level"": 102591.0, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.338744, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.530003, ""wick_extension"": 552.1999999999971, ""wick_fraction"": 0.324747}, ""wick_extension_bps"": 53.82538429296889}",7.572377335129681,0.9384302371431774,False,True,True,True,True
