model,no_trade_reasons,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,insufficient_displacement,7,7,3,3,23.691933,19.857954,0.428571,5.649489,58.0,6.498426,0.428571,0.428571,0.428571,0.0,7.8,,1.0,1.0,0,7
breaker_block,insufficient_displacement;target_rr_below_2,29,29,25,4,13.35758,10.389677,0.655172,1.017307,42.137931,0.472431,0.655172,0.62069,0.586207,0.206897,3.821429,1.0,1.0,1.0,0,29
ifvg_retest,none,17,17,15,0,63.434044,37.139865,0.176471,14.067888,80.352941,2.06717,0.176471,0.235294,0.235294,0.705882,3.933333,1.166667,1.0,1.0,0,0
ifvg_retest,target_rr_below_2,15,15,15,0,8.756739,6.549134,0.333333,0.892174,59.333333,-0.354135,0.333333,0.333333,0.2,0.666667,5.0,1.1,1.2,1.0,0,15
ifvg_retest,target_rr_below_3,4,4,4,0,12.522197,6.046157,0.5,2.254727,73.0,0.704468,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.5,0,4
mitigation_block,none,3,3,3,0,1.600473,1.359312,0.0,4.960744,58.0,-1.0,0.0,0.666667,0.0,1.0,1.0,2.666667,1.5,,0,0
mitigation_block,target_rr_below_2,198,198,198,0,2.370059,1.02051,0.454545,0.43779,41.939394,-0.330055,0.454545,0.217172,0.070707,0.515152,1.0,1.813725,1.27907,1.0,0,198
mitigation_block,target_rr_below_3,26,26,26,0,1.629755,1.664705,0.269231,2.170226,49.538462,-0.063453,0.269231,0.461538,0.269231,0.692308,1.0,2.777778,2.0,2.714286,0,26
reclaimed_ob,target_rr_below_2,2,2,2,0,9.110061,9.110061,0.5,0.760728,48.0,-0.18334,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0,2
reclaimed_ob,target_rr_below_3,1,1,1,0,83.801852,83.801852,0.0,2.31944,48.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
rejection_block,none,27,27,27,0,11.806316,8.347528,0.37037,7.18426,59.481481,3.239468,0.37037,0.814815,0.666667,0.518519,1.0,3.285714,1.0,1.333333,0,0
rejection_block,target_rr_below_2,100,100,100,0,4.919671,2.843888,0.74,0.836456,43.0,0.276563,0.74,0.56,0.23,0.26,1.0,2.884615,1.482143,2.913043,0,100
rejection_block,target_rr_below_3,14,14,14,0,8.568832,5.645714,0.571429,2.458214,49.428571,0.959481,0.571429,0.714286,0.642857,0.428571,1.0,1.5,1.0,1.666667,0,14
turtle_soup,none,310,310,310,0,4.626978,2.983969,0.080645,9.835449,50.0,0.142505,0.080645,0.46129,0.332258,0.816129,1.0,3.648221,2.307692,3.436893,0,0
turtle_soup,target_rr_below_2,52,52,52,0,1.755091,1.223856,0.403846,1.248076,30.0,0.162216,0.403846,0.365385,0.096154,0.403846,1.0,3.047619,6.526316,8.8,0,52
turtle_soup,target_rr_below_3,34,34,34,0,2.365565,1.36063,0.235294,2.497293,40.0,0.214125,0.235294,0.441176,0.294118,0.588235,1.0,7.0,3.6,7.8,0,34
