model,score_bucket,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,high,7,7,3,2,11.41046,10.460501,0.428571,2.198301,88.0,2.072475,0.428571,0.428571,0.428571,0.0,7.75,,1.0,1.0,0,7
breaker_block,medium,4,4,1,3,28.918538,28.918538,0.25,1.456672,62.0,1.489288,0.25,0.25,0.25,0.0,9.333333,,1.0,1.0,0,4
ifvg_retest,high,8,8,7,0,77.619041,9.722848,0.5,7.916192,99.25,2.217487,0.5,0.5,0.375,0.375,3.142857,1.0,1.25,1.0,0,7
mitigation_block,high,11,11,11,0,2.391287,1.598802,0.363636,0.555602,81.0,-0.422709,0.363636,0.272727,0.0,0.636364,1.0,1.0,2.333333,,0,11
mitigation_block,medium,1,1,1,0,11.909865,11.909865,0.0,0.28679,62.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
reclaimed_ob,high,2,2,2,0,5.343611,5.343611,0.5,4.992324,83.5,-0.28096,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,0,2
rejection_block,high,13,13,13,0,5.812714,2.721903,0.538462,2.294154,86.692308,-0.00659,0.538462,0.461538,0.307692,0.461538,1.0,1.166667,1.0,1.25,0,10
rejection_block,medium,1,1,1,0,2.095289,2.095289,1.0,0.209153,62.0,0.209153,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,low,6,6,6,0,1.517192,0.862982,0.166667,1.734155,33.333333,-0.233797,0.166667,0.5,0.0,0.666667,1.0,4.25,8.333333,,0,6
turtle_soup,medium,49,49,49,0,4.528612,3.880096,0.102041,9.895786,50.0,0.121733,0.102041,0.428571,0.306122,0.816327,1.0,3.125,2.380952,3.066667,0,0
