model,model_family,direction,symbol,timeframe,timestamp,setup_timestamp,detected_at,entry_time,entry_mode,stop_mode,target_mode,entry_price,entry_low,entry_high,stop_loss,invalidation,target_hint,risk,risk_bps,same_bar_policy,same_bar_ambiguous,activated_trade,invalidated_before_entry,session_window,ny_time,htf_mode,htf_bias,htf_location,htf_zone_type,htf_objective_type,htf_context_alignment,htf_score_modifier,has_smt_confirmation,smt_direction,smt_pair,smt_strength,decision_score,score_bucket,htf_alignment_score,draw_score,pd_location_score,poi_score,displacement_score,smt_score,killzone_score,target_rr_score,no_trade_reasons,pre_model_filter_pass,pre_model_allowed_directions,pre_model_reasons,swept_level,sweep_extreme,sweep_liquidity_quality,sweep_level_age_bars,displacement_grade,breach_displacement_grade,turtle_quality,fvg_low,fvg_high,fvg_ce,ifvg_low,ifvg_high,ifvg_ce,ob_low,ob_high,breaker_low,breaker_high,rejection_body_level,rejection_wick_extreme,mitigation_low,mitigation_high,time_to_retest_bars,retest_time,target_distance_r,time_to_entry_bars,bars_to_invalidation,bars_to_1r,bars_to_2r,metadata_json,mfe_r,mae_r,invalidated,target_hit,target_before_invalidation,hit_1r_before_invalidation,hit_2r_before_invalidation
breaker_block,ict,long,BTCUSDT,1h,1747256400000,1747256400000,1747270800000,1747267200000,edge,mean_threshold,nearest_liquidity,103461.4,103461.4,103461.4,103318.35771999999,103318.35771999999,103675.0,143.04228000000876,13.82566638379229,conservative,False,False,True,,,aligned_only,bullish,discount,FVG,swing_high,aligned,0.8,False,,,,77,high,40,12,15,10,0,0,0,0,insufficient_displacement;target_rr_below_2,True,long,,,,,,,,,,,,,,,,,103216.7,103461.4,,,,,,1747267200000,1.4932647885645611,3,,,,"{""break_time"": 1747256400000, ""breaker_high"": 103461.4, ""breaker_low"": 103216.7, ""breaker_mean_threshold"": 103339.04999999999, ""dealing_range_source"": ""long_swing_pair"", ""entry_mode"": ""edge"", ""entry_price"": 103461.4, ""entry_time"": 1747267200000, ""failed_ob_confirmed"": true, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.55, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""htf_objective_level"": 105863.1, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish discount bullish FVG; swing_high up"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 102240.0, ""htf_zone_low"": 97700.0, ""htf_zone_type"": ""FVG"", ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_time"": 1747267200000, ""risk"": 143.04228000000876, ""risk_bps"": 13.82566638379229, ""session_filter"": ""off"", ""source_ob_direction"": ""bearish"", ""source_ob_time"": 1747234800000, ""stop_loss"": 103318.35771999999, ""stop_mode"": ""mean_threshold"", ""sweep_time"": 1747242000000, ""target_mode"": ""nearest_liquidity""}",,,False,False,False,False,False
reclaimed_ob,ict,long,BTCUSDT,1h,1746194400000,1746194400000,1747270800000,1746198000000,body_edge,mean_threshold,nearest_liquidity,97134.2,97134.2,97134.2,96902.47316,96902.47316,102727.8,231.726840000003,23.856359552042743,conservative,False,True,False,,,aligned_only,bullish,discount,FVG,swing_high,aligned,0.8,False,,,,97,high,40,12,15,10,0,0,0,20,,True,long,,,,,,,,,,,,,,,96709.6,97134.2,,,,,,,,1746198000000,24.138766143792118,1,5,1,1,"{""dealing_range_source"": ""long_swing_pair"", ""entry_mode"": ""body_edge"", ""entry_price"": 97134.2, ""entry_time"": 1746198000000, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.55, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""htf_objective_level"": 105863.1, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish discount bullish FVG; swing_high up"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 102240.0, ""htf_zone_low"": 97700.0, ""htf_zone_type"": ""FVG"", ""model_family"": ""ict"", ""ob_high"": 97134.2, ""ob_low"": 96709.6, ""ob_mean_threshold"": 96921.9, ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""prior_reaction_r"": 0.5, ""retest_count"": 1, ""retest_time"": 1746198000000, ""risk"": 231.726840000003, ""risk_bps"": 23.856359552042743, ""source_ob_time"": 1746190800000, ""stop_loss"": 96902.47316, ""stop_mode"": ""mean_threshold"", ""target_mode"": ""nearest_liquidity""}",3.084666411538662,5.736927150950563,True,False,False,True,True
breaker_block,ict,long,BTCUSDT,1h,1746856800000,1746856800000,1747274400000,1746907200000,edge,mean_threshold,nearest_liquidity,103145.5,103145.5,103145.5,103123.4709,103123.4709,103675.0,22.029099999999744,2.135730594160651,conservative,False,False,True,,,aligned_only,bullish,discount,FVG,swing_high,aligned,0.8,False,,,,97,high,40,12,15,10,0,0,0,20,insufficient_displacement,True,long,,,,,,,,,,,,,,,,,103142.7,103145.5,,,,,,1746907200000,24.036388231929863,14,,,,"{""break_time"": 1746856800000, ""breaker_high"": 103145.5, ""breaker_low"": 103142.7, ""breaker_mean_threshold"": 103144.1, ""dealing_range_source"": ""long_swing_pair"", ""entry_mode"": ""edge"", ""entry_price"": 103145.5, ""entry_time"": 1746907200000, ""failed_ob_confirmed"": true, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.55, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""htf_objective_level"": 105863.1, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish discount bullish FVG; swing_high up"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 102240.0, ""htf_zone_low"": 97700.0, ""htf_zone_type"": ""FVG"", ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_time"": 1746907200000, ""risk"": 22.029099999999744, ""risk_bps"": 2.135730594160651, ""session_filter"": ""off"", ""source_ob_direction"": ""bearish"", ""source_ob_time"": 1746817200000, ""stop_loss"": 103123.4709, ""stop_mode"": ""mean_threshold"", ""sweep_time"": 1746831600000, ""target_mode"": ""nearest_liquidity""}",,,False,False,False,False,False
turtle_soup,ict,long,BTCUSDT,1h,1747281600000,1747281600000,1747285200000,1747281600000,close,sweep_extreme,opposite_range,102858.2,102858.2,102858.2,102635.42836,102635.42836,104949.2,222.77163999999175,21.658131291427594,conservative,False,True,False,,,aligned_only,bullish,discount,,,,,,,,,80,high,40,5,15,0,0,0,0,20,,True,long,,102773.4,102656.0,strong,13,,,strong,,,,,,,,,,,,,,,,,9.386293515638155,1,1,,,"{""close_back_distance_bps"": 8.251162265722737, ""entry_mode"": ""close"", ""entry_price"": 102858.2, ""htf_bias"": ""bullish"", ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""model_family"": ""ict"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 222.77163999999175, ""risk_bps"": 21.658131291427594, ""stop_loss"": 102635.42836, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 102656.0, ""sweep_level_age_bars"": 13, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 102773.4, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.313842, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.220681, ""wick_extension"": 117.39999999999418, ""wick_fraction"": 0.434493}, ""wick_extension_bps"": 11.423189268818021}",5.856221195840073,7.12568260484168,True,False,False,False,False
turtle_soup,ict,long,BTCUSDT,1h,1747314000000,1747314000000,1747317600000,1747314000000,close,sweep_extreme,opposite_range,102094.8,102094.8,102094.8,101438.58104,101438.58104,104949.2,656.2189599999983,64.2754537939247,conservative,False,True,False,,,aligned_only,bullish,discount,,,,,,,,,80,high,40,5,15,0,0,0,0,20,,True,long,,101677.0,101459.0,medium,6,,,valid,,,,,,,,,,,,,,,,,4.349767644628862,1,1,,,"{""close_back_distance_bps"": 41.09090551452176, ""entry_mode"": ""close"", ""entry_price"": 102094.8, ""htf_bias"": ""bullish"", ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""model_family"": ""ict"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 656.2189599999983, ""risk_bps"": 64.2754537939247, ""stop_loss"": 101438.58104, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 101459.0, ""sweep_level_age_bars"": 6, ""sweep_liquidity_quality"": ""medium"", ""sweep_swing_significance"": ""intermediate"", ""swept_level"": 101677.0, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.323901, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.440222, ""wick_extension"": 218.0, ""wick_fraction"": 0.169005}, ""wick_extension_bps"": 21.440443758175398}",3.5739595210720654,1.2556784400133791,True,False,False,False,False
rejection_block,ict,long,BTCUSDT,1h,1747314000000,1747314000000,1747317600000,1747314000000,body_level,wick_extreme,nearest_liquidity,101779.6,101779.6,101779.6,101412.64408,101412.64408,102727.8,366.9559200000076,36.05397545284198,conservative,False,True,False,,,aligned_only,bullish,discount,FVG,swing_high,aligned,0.8,False,,,,87,high,40,12,15,10,0,0,0,10,target_rr_below_3,True,long,,,,,,,,,,,,,,,,,,,101779.6,101433.0,,,,,2.5839615831786484,1,1,,,"{""current_wick_extreme"": 101459.0, ""dealing_range_source"": ""long_swing_pair"", ""entry_mode"": ""body_level"", ""entry_price"": 101779.6, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.55, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""htf_objective_level"": 105863.1, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish discount bullish FVG; swing_high up"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 102240.0, ""htf_zone_low"": 97700.0, ""htf_zone_type"": ""FVG"", ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""rejection_body_level"": 101779.6, ""rejection_wick_extreme"": 101433.0, ""risk"": 366.9559200000076, ""risk_bps"": 36.05397545284198, ""session_filter"": ""off"", ""source_swing_significance"": ""intermediate"", ""source_swing_time"": 1747299600000, ""stop_loss"": 101412.64408, ""stop_mode"": ""wick_extreme"", ""target_mode"": ""nearest_liquidity""}",7.2501896140548565,1.3865425580271122,True,False,False,False,False
ifvg_retest,ict,long,BTCUSDT,1h,1747605600000,1747605600000,1747627200000,1747616400000,edge,ce,nearest_liquidity,104796.7,104796.7,104796.7,104727.39066,104727.39066,105999.7,69.30933999999252,6.613694896880581,conservative,False,True,False,,,aligned_only,bullish,discount,FVG,swing_high,aligned,0.8,False,,,,100,high,40,12,15,10,20,0,0,20,,True,long,,,,,,strong,strong,,,,,104700.0,104796.7,104748.35,,,,,,,,,3,1747616400000,17.35696805077252,3,1,,,"{""breach_close"": 105899.2, ""breach_displacement_factor"": 0.9267601490488317, ""breach_displacement_grade"": ""strong"", ""breach_time"": 1747605600000, ""dealing_range_source"": ""long_swing_pair"", ""displacement_grade"": ""strong"", ""entry_mode"": ""edge"", ""entry_price"": 104796.7, ""entry_time"": 1747616400000, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.55, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""htf_objective_level"": 105863.1, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish discount bullish FVG; swing_high up"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 102240.0, ""htf_zone_low"": 97700.0, ""htf_zone_type"": ""FVG"", ""ifvg_ce"": 104748.35, ""ifvg_high"": 104796.7, ""ifvg_low"": 104700.0, ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_depth"": 0.9989658738365479, ""retest_time"": 1747616400000, ""risk"": 69.30933999999252, ""risk_bps"": 6.613694896880581, ""source_fvg_direction"": ""bearish"", ""source_fvg_time"": 1747594800000, ""stop_loss"": 104727.39066, ""stop_mode"": ""ce"", ""target_mode"": ""nearest_liquidity"", ""time_to_retest_bars"": 3}",10.43293732129153,39.79117388796794,True,False,False,False,False
turtle_soup,ict,long,BTCUSDT,1h,1747627200000,1747627200000,1747630800000,1747627200000,close,sweep_extreme,opposite_range,102960.1,102960.1,102960.1,102719.60798,102719.60798,107114.3,240.49202000000514,23.357788114036904,conservative,False,True,False,,,aligned_only,bullish,discount,,,,,,,,,80,high,40,5,15,0,0,0,0,20,,True,long,,102851.5,102740.2,strong,30,,,valid,,,,,,,,,,,,,,,,,17.273754031422367,1,1,,,"{""close_back_distance_bps"": 10.558912607011644, ""entry_mode"": ""close"", ""entry_price"": 102960.1, ""htf_bias"": ""bullish"", ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""model_family"": ""ict"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 240.49202000000514, ""risk_bps"": 23.357788114036904, ""stop_loss"": 102719.60798, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 102740.2, ""sweep_level_age_bars"": 30, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 102851.5, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.108709, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.137057, ""wick_extension"": 111.30000000000291, ""wick_fraction"": 0.111411}, ""wick_extension_bps"": 10.821427008843129}",14.890722777412385,3.8308963432548957,True,False,False,False,False
turtle_soup,ict,long,BTCUSDT,1h,1747630800000,1747630800000,1747634400000,1747630800000,close,sweep_extreme,opposite_range,102990.8,102990.8,102990.8,102480.40184,102480.40184,107114.3,510.398159999997,49.55764592565521,conservative,False,True,False,,,aligned_only,bullish,discount,,,,,,,,,80,high,40,5,15,0,0,0,0,20,,True,long,,102851.5,102501.0,strong,31,,,strong,,,,,,,,,,,,,,,,,8.078986805124893,1,1,,,"{""close_back_distance_bps"": 13.54379858339479, ""entry_mode"": ""close"", ""entry_price"": 102990.8, ""htf_bias"": ""bullish"", ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""model_family"": ""ict"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 510.398159999997, ""risk_bps"": 49.55764592565521, ""stop_loss"": 102480.40184, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 102501.0, ""sweep_level_age_bars"": 31, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 102851.5, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.249195, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.417667, ""wick_extension"": 350.5, ""wick_fraction"": 0.627013}, ""wick_extension_bps"": 34.078258460012734}",7.381883978578644,1.8652104858685337,True,False,False,False,False
turtle_soup,ict,long,BTCUSDT,1h,1747648800000,1747648800000,1747652400000,1747648800000,close,sweep_extreme,opposite_range,102888.3,102888.3,102888.3,102779.42234,102779.42234,107114.3,108.87765999999829,10.582122554264991,conservative,False,True,False,,,aligned_only,bullish,discount,,,,,,,,,80,high,40,5,15,0,0,0,0,20,,True,long,,102851.5,102800.0,strong,36,,,valid,,,,,,,,,,,,,,,,,38.814206697683126,1,1,,,"{""close_back_distance_bps"": 3.577974069411035, ""entry_mode"": ""close"", ""entry_price"": 102888.3, ""htf_bias"": ""bullish"", ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""model_family"": ""ict"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 108.87765999999829, ""risk_bps"": 10.582122554264991, ""stop_loss"": 102779.42234, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 102800.0, ""sweep_level_age_bars"": 36, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 102851.5, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.149169, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.051521, ""wick_extension"": 51.5, ""wick_fraction"": 0.208756}, ""wick_extension_bps"": 5.007219146050374}",35.92748043997326,7.342185715600623,True,False,False,False,False
