model,htf_zone_type,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,Breaker,6,6,3,2,10.197339,4.514428,0.333333,1.110439,84.5,0.085055,0.333333,0.333333,0.333333,0.166667,8.25,1.0,1.0,1.0,0,6
breaker_block,FVG,19,19,8,11,15.138273,8.493486,0.263158,6.425026,82.0,0.783144,0.263158,0.210526,0.157895,0.157895,7.263158,1.0,1.0,1.0,0,19
breaker_block,IFVG,31,31,13,14,9.318583,6.761767,0.322581,8.008524,77.290323,0.886017,0.322581,0.290323,0.290323,0.096774,6.818182,1.0,1.0,1.0,0,31
breaker_block,Liquidity,1,1,0,0,,,0.0,6.351345,88.0,,0.0,0.0,0.0,0.0,,,,,0,1
breaker_block,PD,7,7,6,1,11.812295,6.071032,0.571429,2.593062,77.857143,0.390738,0.571429,0.571429,0.428571,0.285714,1.0,1.0,1.0,1.0,0,7
ict2022_mss_fvg,IFVG,2,2,2,0,7.770489,7.770489,0.0,18.242417,100.0,7.770489,0.0,1.0,0.5,0.0,1.0,,1.0,1.0,0,0
ict2022_mss_fvg,PD,1,1,1,0,5.33504,5.33504,0.0,6.870799,100.0,5.33504,0.0,1.0,1.0,0.0,1.0,,1.0,2.0,0,1
ifvg_retest,Breaker,5,5,4,0,22.909931,16.354465,0.2,5.728684,98.8,-0.036058,0.2,0.2,0.2,0.6,1.25,1.0,1.0,1.0,0,4
ifvg_retest,FVG,19,19,19,0,21.224559,10.645276,0.105263,5.857917,96.263158,-0.77735,0.105263,0.210526,0.210526,0.894737,2.0,1.235294,1.0,1.0,0,13
ifvg_retest,IFVG,35,35,34,0,31.044774,14.434085,0.342857,5.746354,95.257143,1.594056,0.342857,0.4,0.371429,0.628571,2.529412,1.272727,1.0,1.0,0,25
ifvg_retest,Liquidity,1,1,1,0,54.49299,54.49299,0.0,15.500228,100.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,0
ifvg_retest,PD,7,7,7,0,24.859054,19.704535,0.142857,5.039704,95.142857,-0.415934,0.142857,0.285714,0.285714,0.857143,1.714286,1.333333,1.0,1.0,0,4
mitigation_block,Breaker,9,9,9,0,1.629744,0.952436,0.222222,0.756575,83.555556,-0.659208,0.222222,0.0,0.0,0.777778,1.0,2.571429,,,0,9
mitigation_block,FVG,50,50,50,0,2.352192,1.455161,0.4,0.637209,78.62,-0.304821,0.4,0.16,0.06,0.6,1.0,2.066667,2.25,18.0,0,50
mitigation_block,IFVG,87,87,87,0,1.831343,1.299914,0.45977,0.796132,76.149425,-0.289469,0.45977,0.229885,0.068966,0.528736,1.0,1.478261,3.75,5.333333,0,87
mitigation_block,OB,4,4,4,0,0.253893,0.131368,0.25,1.511368,92.5,-0.738632,0.25,0.0,0.0,0.75,1.0,5.0,,,0,4
mitigation_block,PD,40,40,40,0,2.107247,1.394567,0.45,0.833498,77.275,-0.291168,0.45,0.3,0.05,0.525,1.0,4.142857,2.916667,7.5,0,39
reclaimed_ob,FVG,3,3,3,0,5.287789,3.084666,0.333333,63.43436,80.333333,-0.05525,0.333333,0.666667,0.666667,0.666667,1.333333,3.0,1.0,1.0,0,2
reclaimed_ob,IFVG,5,5,4,1,34.530729,8.849358,0.8,1.292299,80.8,1.314308,0.8,0.8,0.8,0.0,1.4,,1.0,1.0,0,5
reclaimed_ob,PD,2,2,2,0,7.54395,7.54395,1.0,0.741319,72.0,0.741319,1.0,1.0,1.0,0.0,1.5,,1.0,1.0,0,2
rejection_block,Breaker,16,16,16,0,5.116145,4.093609,0.5,2.465101,88.875,0.955237,0.5,0.625,0.5625,0.5,1.0,6.375,1.0,1.0,0,13
rejection_block,FVG,51,51,51,0,5.576862,5.142699,0.54902,1.950884,82.72549,0.370617,0.54902,0.568627,0.27451,0.431373,1.0,1.681818,1.758621,1.714286,0,47
rejection_block,IFVG,72,72,72,0,6.610128,4.61925,0.625,2.323883,83.736111,0.711744,0.625,0.680556,0.486111,0.375,1.0,2.222222,1.204082,2.542857,0,64
rejection_block,Liquidity,1,1,1,0,0.552663,0.552663,0.0,1.939278,75.0,0.552663,0.0,0.0,0.0,0.0,1.0,,,,0,1
rejection_block,OB,2,2,2,0,0.747764,0.747764,0.0,2.55851,97.5,-1.0,0.0,0.5,0.0,1.0,1.0,2.0,1.0,,0,1
rejection_block,PD,19,19,19,0,3.196677,2.891235,0.684211,1.438597,79.842105,0.757188,0.684211,0.631579,0.526316,0.315789,1.0,1.333333,1.75,4.0,0,18
silver_bullet,none,8,8,8,0,1.025933,0.794425,0.125,2.0,88.625,-0.017967,0.125,0.375,0.125,0.5,1.0,11.75,3.0,3.0,0,8
turtle_soup,none,448,448,448,0,4.130861,2.810172,0.142857,7.682441,70.747768,0.260201,0.142857,0.430804,0.294643,0.75,1.0,3.738095,2.979275,5.189394,0,233
