model,score_bucket,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,high,47,47,21,21,12.512315,5.91938,0.340426,8.34897,85.957447,0.995742,0.340426,0.319149,0.276596,0.106383,6.297297,1.0,1.0,1.0,0,47
breaker_block,medium,17,17,9,7,8.994993,6.761767,0.294118,0.535503,62.0,-0.058623,0.294118,0.235294,0.235294,0.235294,6.714286,1.0,1.0,1.0,0,17
ict2022_mss_fvg,high,3,3,3,0,6.958673,5.33504,0.0,14.451878,100.0,6.958673,0.0,1.0,0.666667,0.0,1.0,,1.0,1.5,0,1
ifvg_retest,high,67,67,65,0,27.368231,14.106519,0.238806,5.848423,95.865672,0.544192,0.238806,0.313433,0.298507,0.731343,2.184615,1.244898,1.0,1.0,0,46
mitigation_block,high,160,160,160,0,2.075902,1.299914,0.39375,0.851204,80.68125,-0.350751,0.39375,0.21875,0.05,0.59375,1.0,2.273684,3.142857,10.5,0,159
mitigation_block,medium,30,30,30,0,1.492176,0.580818,0.6,0.37086,62.0,-0.161294,0.6,0.166667,0.1,0.4,1.0,2.833333,3.6,5.666667,0,30
reclaimed_ob,high,8,8,7,1,21.83854,6.556014,0.625,24.456075,83.125,0.56793,0.625,0.75,0.75,0.25,1.25,3.0,1.0,1.0,0,7
reclaimed_ob,medium,2,2,2,0,8.102202,8.102202,1.0,1.299305,62.0,1.299305,1.0,1.0,1.0,0.0,2.0,,1.0,1.0,0,2
rejection_block,high,141,141,141,0,5.860983,4.450242,0.574468,2.318609,86.64539,0.702826,0.574468,0.64539,0.446809,0.411348,1.0,2.62069,1.450549,2.492063,0,124
rejection_block,medium,20,20,20,0,3.929698,4.240162,0.65,0.686103,62.0,-0.03642,0.65,0.5,0.25,0.35,1.0,1.142857,1.0,1.0,0,20
silver_bullet,high,8,8,8,0,1.025933,0.794425,0.125,2.0,88.625,-0.017967,0.125,0.375,0.125,0.5,1.0,11.75,3.0,3.0,0,8
turtle_soup,high,238,238,238,0,4.565177,3.039943,0.12605,8.701378,79.033613,0.418571,0.12605,0.415966,0.298319,0.747899,1.0,3.297753,3.191919,5.591549,0,23
turtle_soup,low,21,21,21,0,1.15945,0.582756,0.095238,1.300883,45.0,-0.839903,0.095238,0.142857,0.095238,0.904762,1.0,6.157895,3.333333,4.0,0,21
turtle_soup,medium,189,189,189,0,3.914101,2.984539,0.169312,7.108397,63.174603,0.183006,0.169312,0.481481,0.312169,0.73545,1.0,3.971223,2.736264,4.745763,0,189
