model,model_family,direction,symbol,timeframe,timestamp,setup_timestamp,detected_at,entry_time,entry_mode,stop_mode,target_mode,entry_price,entry_low,entry_high,stop_loss,invalidation,target_hint,risk,risk_bps,same_bar_policy,same_bar_ambiguous,activated_trade,invalidated_before_entry,session_window,ny_time,htf_mode,htf_bias,htf_location,htf_zone_type,htf_objective_type,htf_context_alignment,htf_score_modifier,pd_array_type,pd_array_age_bars,p_d_value,has_smt_confirmation,smt_direction,smt_pair,smt_strength,decision_score,score_bucket,htf_alignment_score,draw_score,pd_location_score,poi_score,displacement_score,smt_score,killzone_score,target_rr_score,no_trade_reasons,pre_model_filter_pass,pre_model_allowed_directions,pre_model_reasons,htf_inside_poi,htf_approaching_poi,swept_level,sweep_extreme,sweep_liquidity_quality,sweep_level_age_bars,displacement_grade,displacement_factor,body_ratio,range_expansion,breach_displacement_grade,turtle_quality,time_to_confirmation_bars,ltf_trigger_type,fvg_low,fvg_high,fvg_ce,ifvg_low,ifvg_high,ifvg_ce,source_fvg_age_bars,source_fvg_touches_before_inversion,ob_low,ob_high,breaker_low,breaker_high,poi_retest_count,trigger_to_retest_bars,rejection_body_level,rejection_wick_extreme,mitigation_low,mitigation_high,time_to_retest_bars,retest_time,target_distance_r,time_to_entry_bars,bars_to_invalidation,bars_to_1r,bars_to_2r,metadata_json,mfe_r,mae_r,invalidated,target_hit,target_before_invalidation,hit_1r_before_invalidation,hit_2r_before_invalidation
ifvg_retest,ict,long,BTCUSDT,1h,1747605600000,1747605600000,1747634400000,1747616400000,edge,ce,nearest_liquidity,104796.7,104796.7,104796.7,104727.39066,104727.39066,105999.7,69.30933999999252,6.613694896880581,conservative,False,True,False,,,strict,bullish,discount,FVG,swing_high,aligned,0.8,FVG,9,0.28705328730400426,False,,,,100,high,40,12,15,10,20,0,0,20,,True,long,,True,True,,,,,strong,,,,strong,,,,,,,104700.0,104796.7,104748.35,3,0,,,,,,,,,,,3,1747616400000,17.35696805077252,3,1,,,"{""breach_close"": 105899.2, ""breach_displacement_factor"": 0.9267601490488317, ""breach_displacement_grade"": ""strong"", ""breach_time"": 1747605600000, ""dealing_range_source"": ""long_swing_pair"", ""displacement_grade"": ""strong"", ""entry_mode"": ""edge"", ""entry_price"": 104796.7, ""entry_time"": 1747616400000, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_approaching_poi"": true, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.55, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_inside_poi"": true, ""htf_location"": ""discount"", ""htf_mode"": ""strict"", ""htf_objective"": ""up"", ""htf_objective_level"": 105863.1, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish discount bullish FVG; swing_high up"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 102240.0, ""htf_zone_low"": 97700.0, ""htf_zone_type"": ""FVG"", ""ifvg_ce"": 104748.35, ""ifvg_ce_breached_by_retest_close"": false, ""ifvg_ce_invalidation"": 104748.35, ""ifvg_high"": 104796.7, ""ifvg_low"": 104700.0, ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""p_d_value"": 0.28705328730400426, ""pd_array_age_bars"": 9, ""pd_array_type"": ""FVG"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_depth"": 0.9989658738365479, ""retest_time"": 1747616400000, ""risk"": 69.30933999999252, ""risk_bps"": 6.613694896880581, ""source_fvg_age_bars"": 3, ""source_fvg_direction"": ""bearish"", ""source_fvg_time"": 1747594800000, ""source_fvg_touches_before_inversion"": 0, ""stop_loss"": 104727.39066, ""stop_mode"": ""ce"", ""target_mode"": ""nearest_liquidity"", ""time_to_retest_bars"": 3}",10.43293732129153,39.79117388796794,True,False,False,False,False
reclaimed_ob,ict,long,BTCUSDT,1h,1746194400000,1746194400000,1747634400000,1746198000000,body_edge,mean_threshold,nearest_liquidity,97134.2,97134.2,97134.2,96902.47316,96902.47316,103132.3,231.726840000003,23.856359552042743,conservative,False,True,False,,,strict,bullish,discount,FVG,swing_high,aligned,0.8,FVG,9,0.28705328730400426,False,,,,97,high,40,12,15,10,0,0,0,20,,True,long,,True,True,,,,,,,,,,,,,,,,,,,,,96709.6,97134.2,,,,,,,,,,1746198000000,25.884355908016214,1,5,1,1,"{""dealing_range_source"": ""long_swing_pair"", ""entry_mode"": ""body_edge"", ""entry_price"": 97134.2, ""entry_time"": 1746198000000, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_approaching_poi"": true, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.55, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_inside_poi"": true, ""htf_location"": ""discount"", ""htf_mode"": ""strict"", ""htf_objective"": ""up"", ""htf_objective_level"": 105863.1, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish discount bullish FVG; swing_high up"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 102240.0, ""htf_zone_low"": 97700.0, ""htf_zone_type"": ""FVG"", ""model_family"": ""ict"", ""ob_high"": 97134.2, ""ob_low"": 96709.6, ""ob_mean_threshold"": 96921.9, ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""p_d_value"": 0.28705328730400426, ""pd_array_age_bars"": 9, ""pd_array_type"": ""FVG"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""prior_reaction_r"": 0.5, ""retest_count"": 1, ""retest_time"": 1746198000000, ""risk"": 231.726840000003, ""risk_bps"": 23.856359552042743, ""source_ob_time"": 1746190800000, ""stop_loss"": 96902.47316, ""stop_mode"": ""mean_threshold"", ""target_mode"": ""nearest_liquidity""}",3.084666411538662,5.736927150950563,True,False,False,True,True
ifvg_retest,ict,short,BTCUSDT,1h,1748012400000,1748012400000,1748131200000,1748016000000,edge,ce,nearest_liquidity,109080.7,109080.7,109080.7,109273.81614,109273.81614,108495.8,193.11613999999827,17.703969629824368,conservative,False,True,False,,,strict,bearish,premium,IFVG,swing_low,aligned,0.8,IFVG,1,1.0,False,,,,100,high,40,12,15,10,15,0,0,20,,True,short,,True,True,,,,,valid,,,,valid,,,,,,,109080.7,109423.3,109252.0,1,0,,,,,,,,,,,1,1748016000000,3.0287473641509166,1,,1,1,"{""breach_close"": 108892.4, ""breach_displacement_factor"": 0.7157155320470041, ""breach_displacement_grade"": ""valid"", ""breach_time"": 1748012400000, ""dealing_range_source"": ""long_swing_pair"", ""displacement_grade"": ""valid"", ""entry_mode"": ""edge"", ""entry_price"": 109080.7, ""entry_time"": 1748016000000, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": true, ""htf_approaching_poi"": true, ""htf_bias"": ""bearish"", ""htf_confidence"": 0.55, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""down"", ""htf_inside_poi"": true, ""htf_location"": ""premium"", ""htf_mode"": ""strict"", ""htf_objective"": ""down"", ""htf_objective_level"": 102038.8, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_low"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bearish"", ""htf_reason"": ""HTF bearish premium bearish IFVG; swing_low down"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bearish"", ""htf_zone_high"": 109153.4, ""htf_zone_low"": 107292.5, ""htf_zone_type"": ""IFVG"", ""ifvg_ce"": 109252.0, ""ifvg_ce_breached_by_retest_close"": false, ""ifvg_ce_invalidation"": 109252.0, ""ifvg_high"": 109423.3, ""ifvg_low"": 109080.7, ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_low"", ""objective_unreached"": true, ""p_d_value"": 1.0, ""pd_array_age_bars"": 1, ""pd_array_type"": ""IFVG"", ""pre_model_allowed_directions"": ""short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_depth"": 0.27116170461181305, ""retest_time"": 1748016000000, ""risk"": 193.11613999999827, ""risk_bps"": 17.703969629824368, ""source_fvg_age_bars"": 1, ""source_fvg_direction"": ""bullish"", ""source_fvg_time"": 1748008800000, ""source_fvg_touches_before_inversion"": 0, ""stop_loss"": 109273.81614, ""stop_mode"": ""ce"", ""target_mode"": ""nearest_liquidity"", ""time_to_retest_bars"": 1}",12.214411493518998,3.5175723789840094,False,True,True,True,True
rejection_block,ict,short,BTCUSDT,1h,1748196000000,1748196000000,1748199600000,1748196000000,body_level,wick_extreme,nearest_liquidity,107476.5,107476.5,107476.5,107719.89529999999,107719.89529999999,107250.0,243.39529999998922,22.646373858470383,conservative,False,True,False,,,strict,bearish,premium,IFVG,swing_low,aligned,0.8,IFVG,1,1.0,False,,,,77,high,40,12,15,10,0,0,0,0,target_rr_below_2,True,short,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,107476.5,107698.4,,,,,0.9305849373427098,1,1,,,"{""current_wick_extreme"": 107565.3, ""dealing_range_source"": ""long_swing_pair"", ""entry_mode"": ""body_level"", ""entry_price"": 107476.5, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": true, ""htf_approaching_poi"": true, ""htf_bias"": ""bearish"", ""htf_confidence"": 0.55, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""down"", ""htf_inside_poi"": true, ""htf_location"": ""premium"", ""htf_mode"": ""strict"", ""htf_objective"": ""down"", ""htf_objective_level"": 102038.8, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_low"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bearish"", ""htf_reason"": ""HTF bearish premium bearish IFVG; swing_low down"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bearish"", ""htf_zone_high"": 109153.4, ""htf_zone_low"": 107292.5, ""htf_zone_type"": ""IFVG"", ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_low"", ""objective_unreached"": true, ""p_d_value"": 1.0, ""pd_array_age_bars"": 1, ""pd_array_type"": ""IFVG"", ""pre_model_allowed_directions"": ""short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""rejection_body_level"": 107476.5, ""rejection_wick_extreme"": 107698.4, ""risk"": 243.39529999998922, ""risk_bps"": 22.646373858470383, ""session_filter"": ""off"", ""source_swing_significance"": ""short"", ""source_swing_time"": 1748178000000, ""stop_loss"": 107719.89529999999, ""stop_mode"": ""wick_extreme"", ""target_mode"": ""nearest_liquidity""}",1.4696257487306161,11.180988293529557,True,False,False,False,False
rejection_block,ict,short,BTCUSDT,1h,1748232000000,1748232000000,1748235600000,1748232000000,body_level,wick_extreme,nearest_liquidity,109500.1,109500.1,109500.1,109877.90002,109877.90002,108495.8,377.80001999999513,34.50225342259917,conservative,False,True,False,,,strict,bearish,premium,IFVG,swing_low,aligned,0.8,IFVG,2,1.0,False,,,,87,high,40,12,15,10,0,0,0,10,target_rr_below_3,True,short,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,109500.1,109856.0,,,,,2.6582846660516743,1,2,,,"{""current_wick_extreme"": 109698.2, ""dealing_range_source"": ""long_swing_pair"", ""entry_mode"": ""body_level"", ""entry_price"": 109500.1, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": true, ""htf_approaching_poi"": true, ""htf_bias"": ""bearish"", ""htf_confidence"": 0.55, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""down"", ""htf_inside_poi"": true, ""htf_location"": ""premium"", ""htf_mode"": ""strict"", ""htf_objective"": ""down"", ""htf_objective_level"": 102038.8, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_low"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bearish"", ""htf_reason"": ""HTF bearish premium bearish IFVG; swing_low down"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bearish"", ""htf_zone_high"": 109153.4, ""htf_zone_low"": 107292.5, ""htf_zone_type"": ""IFVG"", ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_low"", ""objective_unreached"": true, ""p_d_value"": 1.0, ""pd_array_age_bars"": 2, ""pd_array_type"": ""IFVG"", ""pre_model_allowed_directions"": ""short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""rejection_body_level"": 109500.1, ""rejection_wick_extreme"": 109856.0, ""risk"": 377.80001999999513, ""risk_bps"": 34.50225342259917, ""session_filter"": ""off"", ""source_swing_significance"": ""short"", ""source_swing_time"": 1748221200000, ""stop_loss"": 109877.90002, ""stop_mode"": ""wick_extreme"", ""target_mode"": ""nearest_liquidity""}",1.8345684576724341,2.381947994603086,True,False,False,False,False
reclaimed_ob,ict,short,BTCUSDT,1h,1748275200000,1748275200000,1748282400000,1748278800000,body_edge,mean_threshold,nearest_liquidity,109616.1,109616.1,109616.1,109811.57321999999,109811.57321999999,109412.9,195.4732199999853,17.832528250866915,conservative,False,True,False,,,strict,bearish,premium,IFVG,swing_low,aligned,0.8,IFVG,2,1.0,False,,,,77,high,40,12,15,10,0,0,0,0,target_rr_below_2,True,short,,True,True,,,,,,,,,,,,,,,,,,,,,109616.1,109963.2,,,,,,,,,,1748278800000,1.0395285860642542,1,,1,1,"{""dealing_range_source"": ""long_swing_pair"", ""entry_mode"": ""body_edge"", ""entry_price"": 109616.1, ""entry_time"": 1748278800000, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": true, ""htf_approaching_poi"": true, ""htf_bias"": ""bearish"", ""htf_confidence"": 0.55, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""down"", ""htf_inside_poi"": true, ""htf_location"": ""premium"", ""htf_mode"": ""strict"", ""htf_objective"": ""down"", ""htf_objective_level"": 102038.8, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_low"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bearish"", ""htf_reason"": ""HTF bearish premium bearish IFVG; swing_low down"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bearish"", ""htf_zone_high"": 109153.4, ""htf_zone_low"": 107292.5, ""htf_zone_type"": ""IFVG"", ""model_family"": ""ict"", ""ob_high"": 109963.2, ""ob_low"": 109616.1, ""ob_mean_threshold"": 109789.65, ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_low"", ""objective_unreached"": true, ""p_d_value"": 1.0, ""pd_array_age_bars"": 2, ""pd_array_type"": ""IFVG"", ""pre_model_allowed_directions"": ""short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""prior_reaction_r"": 0.5, ""retest_count"": 1, ""retest_time"": 1748278800000, ""risk"": 195.4732199999853, ""risk_bps"": 17.832528250866915, ""source_ob_time"": 1748271600000, ""stop_loss"": 109811.57321999999, ""stop_mode"": ""mean_threshold"", ""target_mode"": ""nearest_liquidity""}",11.142702821389905,1.2641117796085308,False,True,True,True,True
reclaimed_ob,ict,long,BTCUSDT,1h,1749794400000,1749794400000,1749801600000,1749798000000,body_edge,mean_threshold,nearest_liquidity,104353.5,104353.5,104353.5,104131.2793,104131.2793,104578.0,222.2207000000053,21.29499250144991,conservative,False,True,False,,,strict,bullish,discount,Breaker,swing_high,aligned,0.8,Breaker,3,0.4226892786394161,False,,,,77,high,40,12,15,10,0,0,0,0,target_rr_below_2,True,long,,True,False,,,,,,,,,,,,,,,,,,,,,103950.8,104353.5,,,,,,,,,,1749798000000,1.0102569202598797,1,,1,1,"{""dealing_range_source"": ""long_swing_pair"", ""entry_mode"": ""body_edge"", ""entry_price"": 104353.5, ""entry_time"": 1749798000000, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_approaching_poi"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 1.0, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_inside_poi"": true, ""htf_location"": ""discount"", ""htf_mode"": ""strict"", ""htf_objective"": ""up"", ""htf_objective_level"": 105863.1, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish discount bullish Breaker; swing_high up"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 105814.3, ""htf_zone_low"": 105583.3, ""htf_zone_type"": ""Breaker"", ""model_family"": ""ict"", ""ob_high"": 104353.5, ""ob_low"": 103950.8, ""ob_mean_threshold"": 104152.15, ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""p_d_value"": 0.4226892786394161, ""pd_array_age_bars"": 3, ""pd_array_type"": ""Breaker"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""prior_reaction_r"": 0.5, ""retest_count"": 1, ""retest_time"": 1749798000000, ""risk"": 222.2207000000053, ""risk_bps"": 21.29499250144991, ""source_ob_time"": 1749790800000, ""stop_loss"": 104131.2793, ""stop_mode"": ""mean_threshold"", ""target_mode"": ""nearest_liquidity""}",8.19050610496665,1.2780087543599368,False,True,True,True,True
rejection_block,ict,long,BTCUSDT,1h,1750244400000,1750244400000,1750248000000,1750244400000,body_level,wick_extreme,nearest_liquidity,104183.4,104183.4,104183.4,104122.56332,104122.56332,105288.0,60.836679999993066,5.839383241475424,conservative,False,True,False,,,strict,bullish,discount,PD,swing_high,aligned,0.8,PD,0,0.23191452311060234,False,,,,97,high,40,12,15,10,0,0,0,20,,True,long,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,104183.4,104143.4,,,,,18.156809345942804,1,2,1,1,"{""current_wick_extreme"": 104147.4, ""dealing_range_source"": ""long_swing_pair"", ""entry_mode"": ""body_level"", ""entry_price"": 104183.4, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_approaching_poi"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 1.0, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_inside_poi"": true, ""htf_location"": ""discount"", ""htf_mode"": ""strict"", ""htf_objective"": ""up"", ""htf_objective_level"": 105863.1, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish discount bullish PD; swing_high up"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 106633.8, ""htf_zone_low"": 106633.8, ""htf_zone_type"": ""PD"", ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""p_d_value"": 0.23191452311060234, ""pd_array_age_bars"": 0, ""pd_array_type"": ""PD"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""rejection_body_level"": 104183.4, ""rejection_wick_extreme"": 104143.4, ""risk"": 60.836679999993066, ""risk_bps"": 5.839383241475424, ""session_filter"": ""off"", ""source_swing_significance"": ""intermediate"", ""source_swing_time"": 1750197600000, ""stop_loss"": 104122.56332, ""stop_mode"": ""wick_extreme"", ""target_mode"": ""nearest_liquidity""}",18.354058768495143,12.44808230824027,True,False,False,True,True
rejection_block,ict,long,BTCUSDT,1h,1750255200000,1750255200000,1750258800000,1750255200000,body_level,wick_extreme,nearest_liquidity,104218.8,104218.8,104218.8,104090.55623999999,104090.55623999999,105288.0,128.24376000001212,12.305242432268662,conservative,False,True,False,,,strict,bullish,discount,PD,swing_high,aligned,0.8,PD,0,0.2649634310164679,False,,,,97,high,40,12,15,10,0,0,0,20,,True,long,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,104218.8,104111.4,,,,,8.33724775380803,1,1,,,"{""current_wick_extreme"": 104164.4, ""dealing_range_source"": ""long_swing_pair"", ""entry_mode"": ""body_level"", ""entry_price"": 104218.8, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_approaching_poi"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 1.0, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_inside_poi"": true, ""htf_location"": ""discount"", ""htf_mode"": ""strict"", ""htf_objective"": ""up"", ""htf_objective_level"": 105863.1, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish discount bullish PD; swing_high up"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 106633.8, ""htf_zone_low"": 106633.8, ""htf_zone_type"": ""PD"", ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""p_d_value"": 0.2649634310164679, ""pd_array_age_bars"": 0, ""pd_array_type"": ""PD"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""rejection_body_level"": 104218.8, ""rejection_wick_extreme"": 104111.4, ""risk"": 128.24376000001212, ""risk_bps"": 12.305242432268662, ""session_filter"": ""off"", ""source_swing_significance"": ""intermediate"", ""source_swing_time"": 1750240800000, ""stop_loss"": 104090.55623999999, ""stop_mode"": ""wick_extreme"", ""target_mode"": ""nearest_liquidity""}",7.5395481230424215,6.1811974321395615,True,False,False,False,False
rejection_block,ict,long,BTCUSDT,1h,1750280400000,1750280400000,1750284000000,1750280400000,body_level,wick_extreme,nearest_liquidity,104400.2,104400.2,104400.2,103729.11996,103729.11996,105288.0,671.0800400000007,64.27957417706104,conservative,False,True,False,,,strict,bullish,discount,PD,swing_high,aligned,0.8,PD,0,0.2682844917657586,True,bullish,BTCUSDT:ETHUSDT,0.813345,97,high,40,12,15,10,0,20,0,0,target_rr_below_2,True,long,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,104400.2,103750.0,,,,,1.3229420442902786,1,,1,,"{""current_wick_extreme"": 104323.2, ""dealing_range_source"": ""long_swing_pair"", ""entry_mode"": ""body_level"", ""entry_price"": 104400.2, ""has_smt_confirmation"": true, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_approaching_poi"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 1.0, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_inside_poi"": true, ""htf_location"": ""discount"", ""htf_mode"": ""strict"", ""htf_objective"": ""up"", ""htf_objective_level"": 105863.1, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish discount bullish PD; swing_high up"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 106633.8, ""htf_zone_low"": 106633.8, ""htf_zone_type"": ""PD"", ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""p_d_value"": 0.2682844917657586, ""pd_array_age_bars"": 0, ""pd_array_type"": ""PD"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""rejection_body_level"": 104400.2, ""rejection_wick_extreme"": 103750.0, ""risk"": 671.0800400000007, ""risk_bps"": 64.27957417706104, ""session_filter"": ""off"", ""smt_direction"": ""bullish"", ""smt_pair"": ""BTCUSDT:ETHUSDT"", ""smt_primary_symbol"": ""BTCUSDT"", ""smt_secondary_symbol"": ""ETHUSDT"", ""smt_strength"": 0.813345, ""smt_timestamp"": 1750273200000, ""source_swing_significance"": ""intermediate"", ""source_swing_time"": 1750251600000, ""stop_loss"": 103729.11996, ""stop_mode"": ""wick_extreme"", ""target_mode"": ""nearest_liquidity""}",1.1705012117481532,0.7896226506751618,False,False,False,True,False
