rank,filter_name,count,filtered_out,expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
1,"require_smt=true;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",15,102,1.324711,0.533333,0.733333,0.466667,100.0,6.8631,0,0,true,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
2,"require_smt=true;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",15,102,1.324711,0.533333,0.733333,0.466667,100.0,6.8631,0,0,true,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
3,min_target_distance_r=2;require_smt=true,15,102,1.324711,0.533333,0.733333,0.466667,100.0,6.8631,0,2,true,false,,,
4,"min_target_distance_r=2;require_smt=true;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",15,102,1.324711,0.533333,0.733333,0.466667,100.0,6.8631,0,2,true,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
5,"min_target_distance_r=2;require_smt=true;allowed_htf_locations=discount,premium",15,102,1.324711,0.533333,0.733333,0.466667,100.0,6.8631,0,2,true,false,,"discount,premium",
6,"min_target_distance_r=2;require_smt=true;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",15,102,1.324711,0.533333,0.733333,0.466667,100.0,6.8631,0,2,true,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
7,"min_decision_score=50;require_smt=true;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",15,102,1.324711,0.533333,0.733333,0.466667,100.0,6.8631,50,0,true,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
8,"min_decision_score=50;require_smt=true;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",15,102,1.324711,0.533333,0.733333,0.466667,100.0,6.8631,50,0,true,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
9,min_decision_score=50;min_target_distance_r=2;require_smt=true,15,102,1.324711,0.533333,0.733333,0.466667,100.0,6.8631,50,2,true,false,,,
10,"min_decision_score=50;min_target_distance_r=2;require_smt=true;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",15,102,1.324711,0.533333,0.733333,0.466667,100.0,6.8631,50,2,true,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
11,"min_decision_score=50;min_target_distance_r=2;require_smt=true;allowed_htf_locations=discount,premium",15,102,1.324711,0.533333,0.733333,0.466667,100.0,6.8631,50,2,true,false,,"discount,premium",
12,"min_decision_score=50;min_target_distance_r=2;require_smt=true;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",15,102,1.324711,0.533333,0.733333,0.466667,100.0,6.8631,50,2,true,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
13,"min_decision_score=70;require_smt=true;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",15,102,1.324711,0.533333,0.733333,0.466667,100.0,6.8631,70,0,true,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
