model,model_family,direction,symbol,timeframe,timestamp,setup_timestamp,detected_at,entry_time,entry_mode,stop_mode,target_mode,entry_price,entry_low,entry_high,stop_loss,invalidation,target_hint,risk,risk_bps,same_bar_policy,same_bar_ambiguous,activated_trade,invalidated_before_entry,session_window,ny_time,htf_mode,htf_bias,htf_location,htf_zone_type,htf_objective_type,htf_context_alignment,htf_score_modifier,has_smt_confirmation,smt_direction,smt_pair,smt_strength,decision_score,score_bucket,htf_alignment_score,draw_score,pd_location_score,poi_score,displacement_score,smt_score,killzone_score,target_rr_score,no_trade_reasons,pre_model_filter_pass,pre_model_allowed_directions,pre_model_reasons,swept_level,sweep_extreme,sweep_liquidity_quality,sweep_level_age_bars,displacement_grade,breach_displacement_grade,turtle_quality,fvg_low,fvg_high,fvg_ce,ifvg_low,ifvg_high,ifvg_ce,ob_low,ob_high,breaker_low,breaker_high,rejection_body_level,rejection_wick_extreme,mitigation_low,mitigation_high,time_to_retest_bars,retest_time,target_distance_r,time_to_entry_bars,bars_to_invalidation,bars_to_1r,bars_to_2r,metadata_json,mfe_r,mae_r,invalidated,target_hit,target_before_invalidation,hit_1r_before_invalidation,hit_2r_before_invalidation
turtle_soup,ict,long,BTCUSDT,30m,1746300600000,1746300600000,1746302400000,1746300600000,close,sweep_extreme,opposite_range,96312.0,96312.0,96312.0,96200.5376,96200.5376,97136.2,111.46240000000398,11.573054240385826,conservative,False,True,False,,,aligned_only,bullish,unknown,,,,,,,,,70,high,40,5,5,0,0,0,0,20,,True,long,,96255.0,96219.8,strong,32,,,strong,,,,,,,,,,,,,,,,,7.394421796049319,1,4,,,"{""close_back_distance_bps"": 5.921770297646875, ""entry_mode"": ""close"", ""entry_price"": 96312.0, ""htf_bias"": ""bullish"", ""htf_location"": ""unknown"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""model_family"": ""ict"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 111.46240000000398, ""risk_bps"": 11.573054240385826, ""stop_loss"": 96200.5376, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 96219.8, ""sweep_level_age_bars"": 32, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 96255.0, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.611588, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.186248, ""wick_extension"": 35.19999999999709, ""wick_fraction"": 0.377682}, ""wick_extension_bps"": 3.656952885564084}",0.788606740927802,7.206914618741156,True,False,False,False,False
breaker_block,ict,long,BTCUSDT,30m,1746109800000,1746109800000,1746302400000,1746142200000,edge,mean_threshold,nearest_liquidity,96586.4,96586.4,96586.4,96434.43272,96434.43272,96657.3,151.96727999999712,15.733817597508255,conservative,False,False,True,,,aligned_only,bullish,unknown,FVG,swing_high,aligned,0.65,False,,,,67,medium,40,12,5,10,0,0,0,0,insufficient_displacement;target_rr_below_2,True,long,,,,,,,,,,,,,,,,,96321.1,96586.4,,,,,,1746142200000,0.4665477989736348,18,,,,"{""break_time"": 1746109800000, ""breaker_high"": 96586.4, ""breaker_low"": 96321.1, ""breaker_mean_threshold"": 96453.75, ""dealing_range_source"": ""unknown"", ""entry_mode"": ""edge"", ""entry_price"": 96586.4, ""entry_time"": 1746142200000, ""failed_ob_confirmed"": true, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.375, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_location"": ""unknown"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""htf_objective_level"": 97388.0, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish unknown bullish FVG; swing_high up"", ""htf_score_modifier"": 0.65, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 95742.1, ""htf_zone_low"": 95146.2, ""htf_zone_type"": ""FVG"", ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_time"": 1746142200000, ""risk"": 151.96727999999712, ""risk_bps"": 15.733817597508255, ""session_filter"": ""off"", ""source_ob_direction"": ""bearish"", ""source_ob_time"": 1746104400000, ""stop_loss"": 96434.43272, ""stop_mode"": ""mean_threshold"", ""sweep_time"": 1746106200000, ""target_mode"": ""nearest_liquidity""}",,,False,False,False,False,False
turtle_soup,ict,long,BTCUSDT,30m,1746306000000,1746306000000,1746307800000,1746306000000,close,sweep_extreme,opposite_range,96365.5,96365.5,96365.5,96205.7269,96205.7269,97083.4,159.7731000000058,16.579906709351977,conservative,False,True,False,,,aligned_only,bullish,unknown,,,,,,,,,70,high,40,5,5,0,0,0,0,20,,True,long,,96255.0,96225.0,strong,35,,,valid,,,,,,,,,,,,,,,,,4.493246985881655,1,1,,,"{""close_back_distance_bps"": 11.479923120876839, ""entry_mode"": ""close"", ""entry_price"": 96365.5, ""htf_bias"": ""bullish"", ""htf_location"": ""unknown"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""model_family"": ""ict"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 159.7731000000058, ""risk_bps"": 16.579906709351977, ""stop_loss"": 96205.7269, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 96225.0, ""sweep_level_age_bars"": 35, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 96255.0, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.785359, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.164609, ""wick_extension"": 30.0, ""wick_fraction"": 0.21322}, ""wick_extension_bps"": 3.1167212092878294}",0.21530532987087897,5.362604843994213,True,False,False,False,False
turtle_soup,ict,long,BTCUSDT,30m,1746316800000,1746316800000,1746318600000,1746316800000,close,sweep_extreme,opposite_range,95860.0,95860.0,95860.0,95700.328,95700.328,96868.4,159.67200000000594,16.65679115376653,conservative,False,True,False,,,aligned_only,bullish,unknown,,,,,,,,,70,high,40,5,5,0,0,0,0,20,,True,long,,95812.7,95719.5,strong,14,,,strong,,,,,,,,,,,,,,,,,6.315446665664341,1,3,,,"{""close_back_distance_bps"": 4.936715070131925, ""entry_mode"": ""close"", ""entry_price"": 95860.0, ""htf_bias"": ""bullish"", ""htf_location"": ""unknown"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""model_family"": ""ict"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 159.67200000000594, ""risk_bps"": 16.65679115376653, ""stop_loss"": 95700.328, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 95719.5, ""sweep_level_age_bars"": 14, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 95812.7, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.163329, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.555804, ""wick_extension"": 93.19999999999709, ""wick_fraction"": 0.321823}, ""wick_extension_bps"": 9.72731172381084}",2.5464702640412265,3.963124405030183,True,False,False,False,False
turtle_soup,ict,long,BTCUSDT,30m,1746320400000,1746320400000,1746322200000,1746320400000,close,sweep_extreme,opposite_range,95908.1,95908.1,95908.1,95732.91838,95732.91838,96741.8,175.18162000000302,18.265570895472123,conservative,False,True,False,,,aligned_only,bullish,unknown,,,,,,,,,70,high,40,5,5,0,0,0,0,20,,True,long,,95812.7,95752.1,strong,16,,,strong,,,,,,,,,,,,,,,,,4.759060910613697,1,1,,,"{""close_back_distance_bps"": 9.956926378236783, ""entry_mode"": ""close"", ""entry_price"": 95908.1, ""htf_bias"": ""bullish"", ""htf_location"": ""unknown"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""model_family"": ""ict"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 175.18162000000302, ""risk_bps"": 18.265570895472123, ""stop_loss"": 95732.91838, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 95752.1, ""sweep_level_age_bars"": 16, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 95812.7, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.530295, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.337482, ""wick_extension"": 60.59999999999127, ""wick_fraction"": 0.336854}, ""wick_extension_bps"": 6.324840026425648}",2.0464475668166204,3.8868232865982,True,False,False,False,False
rejection_block,ict,long,BTCUSDT,30m,1746320400000,1746320400000,1746322200000,1746320400000,body_level,wick_extreme,nearest_liquidity,95803.3,95803.3,95803.3,95680.83934,95680.83934,96232.9,122.460659999997,12.782509579523566,conservative,False,True,False,,,aligned_only,bullish,unknown,FVG,swing_high,aligned,0.65,False,,,,87,high,40,12,5,10,0,0,0,20,,True,long,,,,,,,,,,,,,,,,,,,95803.3,95700.0,,,,,3.5080653656447858,1,1,,,"{""current_wick_extreme"": 95752.1, ""dealing_range_source"": ""unknown"", ""entry_mode"": ""body_level"", ""entry_price"": 95803.3, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.375, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_location"": ""unknown"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""htf_objective_level"": 97388.0, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish unknown bullish FVG; swing_high up"", ""htf_score_modifier"": 0.65, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 95742.1, ""htf_zone_low"": 95146.2, ""htf_zone_type"": ""FVG"", ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""rejection_body_level"": 95803.3, ""rejection_wick_extreme"": 95700.0, ""risk"": 122.460659999997, ""risk_bps"": 12.782509579523566, ""session_filter"": ""off"", ""source_swing_significance"": ""intermediate"", ""source_swing_time"": 1746315000000, ""stop_loss"": 95680.83934, ""stop_mode"": ""wick_extreme"", ""target_mode"": ""nearest_liquidity""}",3.783255781897748,4.704367917011226,True,False,False,False,False
breaker_block,ict,long,BTCUSDT,30m,1746324000000,1746324000000,1746327600000,1746325800000,edge,mean_threshold,nearest_liquidity,95860.0,95860.0,95860.0,95812.47799999999,95812.47799999999,96232.9,47.52200000001176,4.957437930316269,conservative,False,True,False,,,aligned_only,bullish,unknown,FVG,swing_high,aligned,0.65,False,,,,87,high,40,12,5,10,0,0,0,20,insufficient_displacement,True,long,,,,,,,,,,,,,,,,,95803.3,95860.0,,,,,,1746325800000,7.84689196582429,1,1,,,"{""break_time"": 1746324000000, ""breaker_high"": 95860.0, ""breaker_low"": 95803.3, ""breaker_mean_threshold"": 95831.65, ""dealing_range_source"": ""unknown"", ""entry_mode"": ""edge"", ""entry_price"": 95860.0, ""entry_time"": 1746325800000, ""failed_ob_confirmed"": true, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.375, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_location"": ""unknown"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""htf_objective_level"": 97388.0, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish unknown bullish FVG; swing_high up"", ""htf_score_modifier"": 0.65, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 95742.1, ""htf_zone_low"": 95146.2, ""htf_zone_type"": ""FVG"", ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_time"": 1746325800000, ""risk"": 47.52200000001176, ""risk_bps"": 4.957437930316269, ""session_filter"": ""off"", ""source_ob_direction"": ""bearish"", ""source_ob_time"": 1746316800000, ""stop_loss"": 95812.47799999999, ""stop_mode"": ""mean_threshold"", ""sweep_time"": 1746322200000, ""target_mode"": ""nearest_liquidity""}",7.186145364250568,13.315937881399064,True,False,False,False,False
rejection_block,ict,long,BTCUSDT,30m,1746325800000,1746325800000,1746327600000,1746325800000,body_level,wick_extreme,nearest_liquidity,95803.3,95803.3,95803.3,95680.83934,95680.83934,96232.9,122.460659999997,12.782509579523566,conservative,False,True,False,,,aligned_only,bullish,unknown,FVG,swing_high,aligned,0.65,False,,,,87,high,40,12,5,10,0,0,0,20,,True,long,,,,,,,,,,,,,,,,,,,95803.3,95700.0,,,,,3.5080653656447858,1,1,,,"{""current_wick_extreme"": 95751.4, ""dealing_range_source"": ""unknown"", ""entry_mode"": ""body_level"", ""entry_price"": 95803.3, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.375, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_location"": ""unknown"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""htf_objective_level"": 97388.0, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish unknown bullish FVG; swing_high up"", ""htf_score_modifier"": 0.65, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 95742.1, ""htf_zone_low"": 95146.2, ""htf_zone_type"": ""FVG"", ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""rejection_body_level"": 95803.3, ""rejection_wick_extreme"": 95700.0, ""risk"": 122.460659999997, ""risk_bps"": 12.782509579523566, ""session_filter"": ""off"", ""source_swing_significance"": ""intermediate"", ""source_swing_time"": 1746315000000, ""stop_loss"": 95680.83934, ""stop_mode"": ""wick_extreme"", ""target_mode"": ""nearest_liquidity""}",2.501211409443738,4.704367917011226,True,False,False,False,False
turtle_soup,ict,long,BTCUSDT,30m,1746327600000,1746327600000,1746329400000,1746327600000,close,sweep_extreme,opposite_range,95747.8,95747.8,95747.8,95586.05043999999,95586.05043999999,96657.3,161.74956000001112,16.893292587402648,conservative,False,True,False,,,aligned_only,bullish,unknown,,,,,,,,,70,high,40,5,5,0,0,0,0,20,,True,long,,95700.0,95605.2,medium,7,,,strong,,,,,,,,,,,,,,,,,5.622890102451824,1,10,4,5,"{""close_back_distance_bps"": 4.994775339603231, ""entry_mode"": ""close"", ""entry_price"": 95747.8, ""htf_bias"": ""bullish"", ""htf_location"": ""unknown"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""model_family"": ""ict"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 161.74956000001112, ""risk_bps"": 16.893292587402648, ""stop_loss"": 95586.05043999999, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 95605.2, ""sweep_level_age_bars"": 7, ""sweep_liquidity_quality"": ""medium"", ""sweep_swing_significance"": ""intermediate"", ""swept_level"": 95700.0, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.193915, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.452171, ""wick_extension"": 94.80000000000291, ""wick_fraction"": 0.384584}, ""wick_extension_bps"": 9.905956112852968}",2.2367912469126843,3.218555895916935,True,False,False,True,True
turtle_soup,ict,long,BTCUSDT,30m,1746334800000,1746334800000,1746336600000,1746334800000,close,sweep_extreme,opposite_range,95907.7,95907.7,95907.7,95614.81846,95614.81846,96557.7,292.88154000000213,30.53785462481137,conservative,False,True,False,,,aligned_only,bullish,unknown,,,,,,,,,60,medium,40,5,5,0,0,0,0,10,target_rr_below_3,True,long,,95700.0,95634.0,strong,11,,,valid,,,,,,,,,,,,,,,,,2.219327308918122,1,6,,,"{""close_back_distance_bps"": 21.703239289445882, ""entry_mode"": ""close"", ""entry_price"": 95907.7, ""htf_bias"": ""bullish"", ""htf_location"": ""unknown"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""model_family"": ""ict"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 292.88154000000213, ""risk_bps"": 30.53785462481137, ""stop_loss"": 95614.81846, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 95634.0, ""sweep_level_age_bars"": 11, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 95700.0, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.678758, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.304801, ""wick_extension"": 66.0, ""wick_fraction"": 0.215686}, ""wick_extension_bps"": 6.896551724137931}",0.6893572056470587,2.51057133884231,True,False,False,False,False
