rank,filter_name,count,filtered_out,expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
1,"min_target_distance_r=3;allowed_displacement_grades=valid,strong",48,850,1.335452,0.166667,0.333333,0.6875,99.8125,7.840685,0,3,false,false,"valid,strong",,
2,"min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",48,850,1.335452,0.166667,0.333333,0.6875,99.8125,7.840685,0,3,false,false,"valid,strong","discount,premium",
3,"min_decision_score=50;min_target_distance_r=3;allowed_displacement_grades=valid,strong",48,850,1.335452,0.166667,0.333333,0.6875,99.8125,7.840685,50,3,false,false,"valid,strong",,
4,"min_decision_score=50;min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",48,850,1.335452,0.166667,0.333333,0.6875,99.8125,7.840685,50,3,false,false,"valid,strong","discount,premium",
5,"min_decision_score=70;min_target_distance_r=3;allowed_displacement_grades=valid,strong",48,850,1.335452,0.166667,0.333333,0.6875,99.8125,7.840685,70,3,false,false,"valid,strong",,
6,"min_decision_score=70;min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",48,850,1.335452,0.166667,0.333333,0.6875,99.8125,7.840685,70,3,false,false,"valid,strong","discount,premium",
7,min_target_distance_r=3;allowed_displacement_grades=strong,21,877,1.201713,0.095238,0.333333,0.714286,100.0,7.263491,0,3,false,false,strong,,
8,"min_target_distance_r=3;allowed_displacement_grades=strong;allowed_htf_locations=discount,premium",21,877,1.201713,0.095238,0.333333,0.714286,100.0,7.263491,0,3,false,false,strong,"discount,premium",
9,min_decision_score=50;min_target_distance_r=3;allowed_displacement_grades=strong,21,877,1.201713,0.095238,0.333333,0.714286,100.0,7.263491,50,3,false,false,strong,,
10,"min_decision_score=50;min_target_distance_r=3;allowed_displacement_grades=strong;allowed_htf_locations=discount,premium",21,877,1.201713,0.095238,0.333333,0.714286,100.0,7.263491,50,3,false,false,strong,"discount,premium",
11,min_decision_score=70;min_target_distance_r=3;allowed_displacement_grades=strong,21,877,1.201713,0.095238,0.333333,0.714286,100.0,7.263491,70,3,false,false,strong,,
12,"min_decision_score=70;min_target_distance_r=3;allowed_displacement_grades=strong;allowed_htf_locations=discount,premium",21,877,1.201713,0.095238,0.333333,0.714286,100.0,7.263491,70,3,false,false,strong,"discount,premium",
13,"min_target_distance_r=2;allowed_displacement_grades=valid,strong",54,844,1.138867,0.166667,0.333333,0.703704,99.648148,7.2389,0,2,false,false,"valid,strong",,
