model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,long,55,55,35,17,13.659544,8.190713,0.381818,2.421799,80.563636,1.020565,0.381818,0.4,0.4,0.236364,6.326531,1.076923,1.0,1.090909,0,55
breaker_block,short,8,8,2,5,4.450117,4.450117,0.0,3.595081,88.75,-1.0,0.0,0.0,0.0,0.25,12.5,1.0,,,0,8
ict2022_mss_fvg,long,5,5,5,0,4.86217,2.424601,0.2,6.187536,100.0,3.501096,0.2,0.6,0.6,0.2,1.0,12.0,1.0,1.666667,0,2
ict2022_mss_fvg,short,3,3,3,0,6.03053,4.089674,0.0,13.140584,100.0,6.03053,0.0,1.0,0.666667,0.0,1.0,,1.333333,1.5,0,3
ifvg_retest,long,67,67,67,0,19.755113,11.026449,0.19403,4.349771,97.910448,0.065168,0.19403,0.253731,0.238806,0.80597,2.835821,1.314815,1.0,1.0625,0,52
ifvg_retest,short,13,13,12,0,29.913786,21.722753,0.153846,4.59883,96.538462,0.02624,0.153846,0.230769,0.153846,0.769231,2.0,1.2,1.0,1.0,0,9
mitigation_block,long,181,181,181,0,2.524088,1.484878,0.469613,0.733843,76.906077,-0.251103,0.469613,0.270718,0.138122,0.524862,1.0,3.2,3.346939,4.08,0,181
mitigation_block,short,16,16,16,0,3.038699,0.027391,0.0,0.900903,79.6875,-1.0,0.0,0.0,0.0,1.0,1.0,1.4375,,,0,16
reclaimed_ob,long,13,13,11,2,10.424728,11.612722,0.538462,1.7016,80.384615,0.907266,0.538462,0.615385,0.384615,0.307692,2.076923,1.5,1.0,1.0,0,12
reclaimed_ob,short,4,4,3,1,8.981132,5.623948,0.5,2.624944,85.0,0.73836,0.5,0.5,0.5,0.25,2.5,1.0,1.0,1.0,0,3
rejection_block,long,138,138,138,0,5.860001,3.703205,0.586957,1.980517,81.57971,0.485135,0.586957,0.601449,0.246377,0.376812,1.0,2.596154,2.253012,1.941176,0,123
rejection_block,short,11,11,11,0,6.799176,3.157619,0.454545,2.828598,81.818182,0.212842,0.454545,0.727273,0.727273,0.545455,1.0,3.333333,1.125,1.125,0,9
silver_bullet,long,13,13,13,0,1.338441,0.794534,0.076923,2.0,88.769231,-0.25713,0.076923,0.230769,0.076923,0.615385,1.0,8.625,3.333333,15.0,0,13
silver_bullet,short,2,2,2,0,1.351666,1.351666,0.5,2.0,83.0,0.5,0.5,0.5,0.5,0.5,1.0,2.0,1.0,10.0,0,2
turtle_soup,long,346,346,346,0,4.623597,2.908987,0.199422,6.446683,66.979769,0.459357,0.199422,0.447977,0.300578,0.710983,1.0,3.792683,2.580645,4.298077,0,206
turtle_soup,short,23,23,23,0,6.019283,3.731161,0.217391,7.816837,66.304348,0.117966,0.217391,0.608696,0.434783,0.73913,1.0,4.470588,1.785714,2.9,0,17
