model,displacement_grade,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,none,63,63,37,22,13.161737,7.31203,0.333333,2.570787,81.603175,0.911345,0.333333,0.349206,0.349206,0.238095,6.568627,1.066667,1.0,1.090909,0,63
ict2022_mss_fvg,strong,6,6,6,0,6.676146,3.330708,0.166667,9.445228,100.0,5.541918,0.166667,0.833333,0.833333,0.166667,1.0,12.0,1.0,1.6,0,3
ict2022_mss_fvg,valid,2,2,2,0,1.172781,1.172781,0.0,6.844031,100.0,1.172781,0.0,0.5,0.0,0.0,1.0,,2.0,,0,2
ifvg_retest,strong,30,30,30,0,26.303107,11.320618,0.1,3.742321,98.333333,-0.602272,0.1,0.166667,0.133333,0.9,3.033333,1.148148,1.0,1.25,0,23
ifvg_retest,valid,50,50,49,0,18.233975,11.026449,0.24,4.778997,97.3,0.464272,0.24,0.3,0.28,0.74,2.510204,1.405405,1.0,1.0,0,38
mitigation_block,none,197,197,197,0,2.565884,1.484878,0.431472,0.747411,77.13198,-0.311927,0.431472,0.248731,0.126904,0.563452,1.0,2.945946,3.346939,4.08,0,197
reclaimed_ob,none,17,17,14,3,10.115386,10.696303,0.529412,1.918858,81.470588,0.871072,0.529412,0.588235,0.411765,0.294118,2.176471,1.4,1.0,1.0,0,15
rejection_block,none,149,149,149,0,5.929336,3.629536,0.577181,2.043127,81.597315,0.465032,0.577181,0.610738,0.281879,0.389262,1.0,2.672414,2.153846,1.785714,0,132
silver_bullet,none,15,15,15,0,1.340204,0.794534,0.133333,2.0,88.0,-0.156179,0.133333,0.266667,0.133333,0.6,1.0,7.888889,2.75,12.5,0,15
turtle_soup,none,369,369,369,0,4.710591,2.959082,0.200542,6.532086,66.937669,0.438078,0.200542,0.457995,0.308943,0.712737,1.0,3.836502,2.514793,4.175439,0,223
