model,htf_zone_type,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,Breaker,15,15,8,5,24.418981,13.552928,0.4,3.77594,84.0,2.890422,0.4,0.4,0.4,0.133333,6.909091,1.0,1.0,1.0,0,15
breaker_block,FVG,11,11,9,2,6.744604,5.647076,0.272727,2.061547,76.181818,-0.04737,0.272727,0.272727,0.272727,0.454545,5.727273,1.0,1.0,1.0,0,11
breaker_block,IFVG,16,16,9,6,8.650705,5.109678,0.25,2.238607,82.1875,0.282769,0.25,0.25,0.25,0.3125,7.333333,1.0,1.0,1.5,0,16
breaker_block,OB,4,4,2,2,11.481498,11.481498,0.5,3.73728,91.25,1.61692,0.5,0.5,0.5,0.0,3.333333,,1.0,1.0,0,4
breaker_block,PD,17,17,9,7,14.45685,11.242776,0.352941,1.875096,80.176471,0.582664,0.352941,0.411765,0.411765,0.176471,7.0,1.333333,1.0,1.0,0,17
ict2022_mss_fvg,Breaker,2,2,2,0,1.980258,1.980258,0.0,6.993597,100.0,1.980258,0.0,1.0,0.5,0.0,1.0,,1.5,1.0,0,1
ict2022_mss_fvg,FVG,3,3,3,0,2.490355,2.424601,0.0,5.236639,100.0,1.348821,0.0,0.666667,0.666667,0.333333,1.0,12.0,1.0,2.0,0,2
ict2022_mss_fvg,IFVG,1,1,1,0,17.361827,17.361827,1.0,13.981058,100.0,13.981058,1.0,1.0,1.0,0.0,1.0,,1.0,2.0,0,1
ict2022_mss_fvg,PD,2,2,2,0,6.804518,6.804518,0.0,13.34063,100.0,6.804518,0.0,0.5,0.5,0.0,1.0,,1.0,1.0,0,1
ifvg_retest,Breaker,25,25,24,0,22.59972,11.642349,0.24,4.298174,97.4,-0.062041,0.24,0.32,0.32,0.72,2.208333,1.388889,1.0,1.125,0,17
ifvg_retest,FVG,16,16,16,0,26.49787,16.91519,0.1875,5.283302,96.8125,0.836295,0.1875,0.25,0.25,0.8125,3.0625,1.076923,1.0,1.0,0,12
ifvg_retest,IFVG,24,24,24,0,18.533801,9.644061,0.125,3.424115,97.916667,-0.673251,0.125,0.166667,0.083333,0.875,2.916667,1.380952,1.0,1.0,0,20
ifvg_retest,OB,3,3,3,0,9.510345,4.38887,0.333333,5.5156,100.0,4.367552,0.333333,0.333333,0.333333,0.666667,4.0,1.0,1.0,1.0,0,2
