model,no_trade_reasons,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,insufficient_displacement,9,9,6,2,19.357163,9.884309,0.222222,7.466026,98.555556,2.852841,0.222222,0.333333,0.333333,0.444444,4.285714,1.25,1.0,1.0,0,9
breaker_block,insufficient_displacement;target_rr_below_2,14,14,9,5,11.926233,10.782024,0.5,0.716788,84.785714,0.504157,0.5,0.5,0.5,0.142857,4.916667,1.0,1.0,1.285714,0,14
breaker_block,insufficient_displacement;target_rr_below_3,2,2,1,0,8.908055,8.908055,0.5,2.685889,97.5,2.980118,0.5,0.5,0.5,0.0,1.0,,1.0,1.0,0,2
breaker_block,poor_pd_location;insufficient_displacement,7,7,3,3,2.875657,2.882834,0.0,6.314171,90.0,0.438778,0.0,0.142857,0.142857,0.285714,17.0,1.0,1.0,1.0,0,7
breaker_block,poor_pd_location;insufficient_displacement;target_rr_below_2,25,25,14,11,14.425069,5.563539,0.32,0.780035,69.84,0.081638,0.32,0.28,0.28,0.24,5.826087,1.0,1.0,1.0,0,25
breaker_block,poor_pd_location;insufficient_displacement;target_rr_below_3,6,6,4,1,11.004803,12.237379,0.5,2.609741,82.666667,1.656483,0.5,0.5,0.5,0.166667,10.75,1.0,1.0,1.0,0,6
ict2022_mss_fvg,none,3,3,3,0,1.997412,2.424601,0.0,4.44951,100.0,0.855878,0.0,0.666667,0.666667,0.333333,1.0,12.0,1.0,1.5,0,0
ict2022_mss_fvg,poor_pd_location,5,5,5,0,7.282041,4.089674,0.2,11.40218,100.0,6.605888,0.2,0.8,0.6,0.0,1.0,,1.25,1.666667,0,5
ifvg_retest,none,19,19,18,0,20.641637,10.334024,0.210526,8.250236,100.0,0.879075,0.210526,0.315789,0.315789,0.736842,3.444444,1.357143,1.0,1.0,0,0
ifvg_retest,poor_pd_location,21,21,21,0,28.392071,19.63626,0.142857,7.106618,99.571429,0.540277,0.142857,0.238095,0.238095,0.857143,2.47619,1.444444,1.0,1.0,0,21
ifvg_retest,poor_pd_location;target_rr_below_2,14,14,14,0,25.125107,10.295368,0.214286,0.902547,88.142857,-0.521146,0.214286,0.214286,0.214286,0.785714,2.285714,1.0,1.0,1.333333,0,14
ifvg_retest,poor_pd_location;target_rr_below_3,5,5,5,0,19.384402,23.809246,0.2,2.447237,98.0,-0.281263,0.2,0.6,0.4,0.8,3.2,1.75,1.0,1.0,0,5
ifvg_retest,target_rr_below_2,20,20,20,0,11.206101,4.923026,0.2,0.902133,100.0,-0.639284,0.2,0.15,0.1,0.8,2.55,1.1875,1.0,1.0,0,20
ifvg_retest,target_rr_below_3,1,1,1,0,41.979524,41.979524,0.0,2.311491,100.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
mitigation_block,poor_pd_location,2,2,2,0,10.273417,10.273417,0.5,3.932452,86.0,1.492151,0.5,1.0,1.0,0.5,1.0,17.0,1.5,6.5,0,2
mitigation_block,poor_pd_location;target_rr_below_2,103,103,103,0,2.640699,1.922498,0.601942,0.493144,70.854369,-0.114673,0.601942,0.300971,0.15534,0.398058,1.0,2.292683,3.580645,4.4375,0,103
mitigation_block,poor_pd_location;target_rr_below_3,22,22,22,0,2.346657,1.313348,0.136364,2.064522,80.909091,-0.527239,0.136364,0.409091,0.136364,0.818182,1.0,5.666667,4.666667,4.333333,0,22
mitigation_block,target_rr_below_2,66,66,66,0,2.377026,0.610024,0.287879,0.532754,84.166667,-0.560961,0.287879,0.106061,0.060606,0.712121,1.0,1.574468,1.142857,1.25,0,66
mitigation_block,target_rr_below_3,4,4,4,0,1.107536,0.577855,0.0,2.0,97.5,-1.0,0.0,0.0,0.0,1.0,1.0,10.0,,,0,4
reclaimed_ob,none,2,2,1,1,21.997106,21.997106,0.5,7.779413,100.0,8.57453,0.5,0.5,0.5,0.0,1.5,,1.0,1.0,0,0
reclaimed_ob,poor_pd_location;target_rr_below_2,8,8,7,1,9.150474,9.779884,0.625,0.788157,72.5,0.247872,0.625,0.75,0.5,0.25,2.375,2.0,1.0,1.0,0,8
reclaimed_ob,poor_pd_location;target_rr_below_3,2,2,2,0,16.182219,16.182219,1.0,2.333621,80.0,2.333621,1.0,1.0,1.0,0.0,3.0,,1.0,1.0,0,2
reclaimed_ob,target_rr_below_2,3,3,2,1,8.835323,8.835323,0.333333,0.540522,85.0,-0.390935,0.333333,0.333333,0.0,0.333333,2.0,1.0,1.0,,0,3
reclaimed_ob,target_rr_below_3,2,2,2,0,2.764947,2.764947,0.0,2.233846,95.0,-1.0,0.0,0.0,0.0,1.0,1.5,1.0,,,0,2
rejection_block,none,17,17,17,0,4.507288,2.937883,0.176471,5.241489,96.176471,0.308157,0.176471,0.470588,0.411765,0.764706,1.0,2.615385,1.0,1.285714,0,0
rejection_block,poor_pd_location,20,20,20,0,9.002455,5.128037,0.25,4.294468,89.3,0.3898,0.25,0.6,0.4,0.7,1.0,2.857143,1.666667,2.125,0,20
