model,score_bucket,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,high,59,59,35,20,13.672103,8.190713,0.338983,2.720512,82.847458,0.990479,0.338983,0.372881,0.372881,0.237288,6.382979,1.071429,1.0,1.090909,0,59
breaker_block,medium,4,4,2,2,4.230338,4.230338,0.25,0.362342,63.25,-0.473498,0.25,0.0,0.0,0.25,8.75,1.0,,,0,4
ict2022_mss_fvg,high,8,8,8,0,5.300305,2.498171,0.125,8.794929,100.0,4.449634,0.125,0.75,0.625,0.125,1.0,12.0,1.166667,1.6,0,5
ifvg_retest,high,80,80,79,0,21.298202,11.227001,0.1875,4.390243,97.6875,0.059255,0.1875,0.25,0.225,0.8,2.708861,1.296875,1.0,1.055556,0,61
mitigation_block,high,186,186,186,0,2.628378,1.484878,0.419355,0.764695,77.946237,-0.315443,0.419355,0.258065,0.134409,0.575269,1.0,3.018692,3.395833,4.08,0,186
mitigation_block,medium,11,11,11,0,1.50916,1.192588,0.636364,0.45516,63.363636,-0.252486,0.636364,0.090909,0.0,0.363636,1.0,1.0,1.0,,0,11
reclaimed_ob,high,17,17,14,3,10.115386,10.696303,0.529412,1.918858,81.470588,0.871072,0.529412,0.588235,0.411765,0.294118,2.176471,1.4,1.0,1.0,0,15
rejection_block,high,129,129,129,0,5.85815,3.629402,0.534884,2.226773,84.51938,0.459761,0.534884,0.620155,0.317829,0.426357,1.0,2.763636,2.225,1.804878,0,112
rejection_block,medium,20,20,20,0,6.388487,3.934155,0.85,0.85861,62.75,0.499034,0.85,0.55,0.05,0.15,1.0,1.0,1.636364,1.0,0,20
silver_bullet,high,15,15,15,0,1.340204,0.794534,0.133333,2.0,88.0,-0.156179,0.133333,0.266667,0.133333,0.6,1.0,7.888889,2.75,12.5,0,15
turtle_soup,high,153,153,153,0,4.471567,2.230167,0.065359,9.710275,78.039216,0.194724,0.065359,0.392157,0.254902,0.823529,1.0,3.706349,2.666667,5.128205,0,7
turtle_soup,low,44,44,44,0,3.204095,2.594175,0.477273,1.187578,45.0,0.011074,0.477273,0.477273,0.181818,0.522727,1.0,4.434783,3.904762,3.375,0,44
turtle_soup,medium,172,172,172,0,5.308594,3.826065,0.25,5.072175,62.674419,0.763784,0.25,0.511628,0.389535,0.662791,1.0,3.859649,2.079545,3.716418,0,172
