model,htf_zone_type,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ifvg_retest,Breaker,2,2,2,0,7.105453,7.105453,0.0,1.35369,100.0,-1.0,0.0,0.5,0.5,1.0,4.0,1.5,1.0,1.0,0,2
ifvg_retest,FVG,5,5,5,0,23.150221,24.097892,0.2,2.326328,100.0,-0.583194,0.2,0.2,0.2,0.8,3.6,1.0,1.0,1.0,0,4
ifvg_retest,IFVG,2,2,2,0,21.422448,21.422448,0.5,1.323373,100.0,0.107429,0.5,0.5,0.0,0.5,1.0,1.0,3.0,,0,2
ifvg_retest,Liquidity,2,2,2,0,7.928848,7.928848,0.5,9.165941,100.0,2.138337,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0,0
ifvg_retest,PD,6,6,6,0,11.69949,9.592077,0.333333,3.173102,100.0,0.167718,0.333333,0.5,0.5,0.666667,2.666667,2.25,1.0,1.0,0,3
reclaimed_ob,FVG,1,1,1,0,9.779884,9.779884,1.0,3.430548,100.0,3.430548,1.0,1.0,1.0,0.0,3.0,,1.0,1.0,0,0
reclaimed_ob,IFVG,1,1,1,0,5.623948,5.623948,1.0,2.0,95.0,2.0,1.0,1.0,1.0,0.0,3.0,,1.0,1.0,0,1
reclaimed_ob,Liquidity,2,2,1,1,11.612722,11.612722,0.0,10.518231,100.0,-1.0,0.0,0.5,0.5,0.5,2.5,4.0,1.0,1.0,0,0
reclaimed_ob,OB,1,1,1,0,14.736513,14.736513,0.0,1.672523,85.0,-1.0,0.0,0.0,0.0,1.0,2.0,1.0,,,0,1
reclaimed_ob,PD,5,5,4,1,7.303935,2.989527,0.2,8.722608,92.0,-0.695467,0.2,0.4,0.2,0.6,2.0,2.0,1.0,1.0,0,4
rejection_block,FVG,15,15,15,0,4.845286,3.18275,0.4,1.601796,90.666667,-0.011112,0.4,0.4,0.2,0.533333,1.0,1.25,5.333333,1.0,0,12
rejection_block,Liquidity,1,1,1,0,3.430551,3.430551,0.0,1.177639,83.0,-1.0,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
rejection_block,PD,12,12,12,0,4.994492,3.230146,0.583333,2.984298,92.083333,0.583252,0.583333,0.5,0.416667,0.416667,1.0,1.2,1.0,1.2,0,8
