model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,long,16,16,8,7,7.75974,4.593377,0.375,2.676736,76.1875,0.25995,0.375,0.3125,0.25,0.125,6.5,1.5,1.0,1.0,0,16
breaker_block,short,10,10,3,3,11.062627,8.183918,0.3,2.683421,87.7,2.009903,0.3,0.3,0.3,0.0,6.25,,1.0,1.0,0,10
ifvg_retest,long,14,14,13,0,50.960469,8.083462,0.285714,5.713431,98.285714,0.467851,0.285714,0.285714,0.071429,0.642857,1.846154,1.222222,1.25,1.0,0,10
ifvg_retest,short,10,10,10,0,14.53508,11.153445,0.5,8.064732,99.7,3.841205,0.5,0.6,0.5,0.4,6.0,1.0,1.0,1.0,0,8
mitigation_block,long,19,19,19,0,1.869619,0.898457,0.421053,0.886429,76.789474,-0.31457,0.421053,0.263158,0.052632,0.578947,1.0,1.0,1.0,4.0,0,17
mitigation_block,short,26,26,26,0,2.060645,0.494399,0.192308,0.880723,74.115385,-0.672891,0.192308,0.153846,0.0,0.807692,1.0,4.809524,2.25,,0,26
reclaimed_ob,long,3,3,3,0,17.870928,13.059224,1.0,3.945197,83.0,3.945197,1.0,1.0,0.666667,0.0,1.333333,,1.0,1.0,0,2
reclaimed_ob,short,2,2,2,0,5.343611,5.343611,0.5,4.992324,83.5,-0.28096,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,0,2
rejection_block,long,20,20,20,0,4.942278,3.155183,0.6,2.046261,78.45,0.213542,0.6,0.5,0.2,0.4,1.0,1.125,1.0,1.25,0,17
rejection_block,short,24,24,24,0,5.020988,2.709948,0.791667,0.929728,82.583333,0.346086,0.791667,0.458333,0.25,0.208333,1.0,1.0,1.0,1.0,0,23
turtle_soup,long,64,64,64,0,3.380169,2.439162,0.078125,6.699177,74.0625,-0.251702,0.078125,0.421875,0.25,0.828125,1.0,3.603774,3.666667,5.0625,0,18
turtle_soup,short,63,63,63,0,4.319447,3.140979,0.126984,9.071858,72.936508,0.482631,0.126984,0.492063,0.285714,0.793651,1.0,3.68,2.290323,2.388889,0,25
