model,htf_zone_type,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ifvg_retest,Breaker,2,2,2,0,83.757336,83.757336,0.5,9.448009,100.0,6.483798,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0,0
ifvg_retest,FVG,5,5,5,0,12.127056,2.58886,0.4,3.443389,100.0,-0.414794,0.4,0.4,0.2,0.6,4.2,1.333333,1.0,1.0,0,3
ifvg_retest,IFVG,1,1,1,0,1.869944,1.869944,1.0,0.056729,100.0,0.056729,1.0,1.0,0.0,0.0,6.0,,1.0,,0,1
ifvg_retest,PD,3,3,3,0,2.07442,1.019449,0.666667,1.655392,100.0,0.971209,0.666667,0.666667,0.333333,0.333333,2.0,2.0,1.0,2.0,0,2
reclaimed_ob,Breaker,1,1,1,0,6.779888,6.779888,0.0,1.27693,85.0,-1.0,0.0,0.0,0.0,1.0,2.0,1.0,,,0,1
reclaimed_ob,FVG,1,1,1,0,28.538381,28.538381,1.0,2.373474,87.0,2.373474,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
reclaimed_ob,PD,2,2,2,0,7.961257,7.961257,1.0,4.432155,88.5,4.432155,1.0,1.0,1.0,0.0,2.0,,1.0,1.0,0,1
rejection_block,Breaker,1,1,1,0,0.77672,0.77672,0.0,0.309018,77.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
rejection_block,FVG,15,15,15,0,4.27938,3.506069,0.733333,2.13339,90.066667,0.762523,0.733333,0.466667,0.266667,0.266667,1.0,1.25,1.0,1.25,0,11
rejection_block,IFVG,3,3,3,0,5.474518,7.837513,0.0,3.803217,87.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,2
rejection_block,PD,6,6,6,0,4.20608,3.809537,0.666667,2.506477,92.333333,0.262891,0.666667,0.5,0.166667,0.333333,1.0,1.0,1.666667,1.0,0,5
