scope,model,threshold,filter_name,filtered_out,count,activated_trades,invalidated_before_entry,avg_decision_score,avg_mfe_r,median_mfe_r,avg_rr,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count,no_trade_reason_count,top_no_trade_reasons
all,ALL,0,none,0,4,3,1,97.25,9.664197,8.145282,10.249643,2.402492,0.25,0.5,0.5,0.25,0,2,target_rr_below_2:2
model,breaker_block,0,none,0,4,3,1,97.25,9.664197,8.145282,10.249643,2.402492,0.25,0.5,0.5,0.25,0,2,target_rr_below_2:2
filtered_model,breaker_block,0,model_rules,2,2,1,1,100.0,8.145282,8.145282,19.840604,8.145282,0.0,0.5,0.5,0.0,0,0,
filtered_all,ALL,0,model_rules,2,2,1,1,100.0,8.145282,8.145282,19.840604,8.145282,0.0,0.5,0.5,0.0,0,0,
all,ALL,50,none,0,4,3,1,97.25,9.664197,8.145282,10.249643,2.402492,0.25,0.5,0.5,0.25,0,2,target_rr_below_2:2
model,breaker_block,50,none,0,4,3,1,97.25,9.664197,8.145282,10.249643,2.402492,0.25,0.5,0.5,0.25,0,2,target_rr_below_2:2
filtered_model,breaker_block,50,model_rules,2,2,1,1,100.0,8.145282,8.145282,19.840604,8.145282,0.0,0.5,0.5,0.0,0,0,
filtered_all,ALL,50,model_rules,2,2,1,1,100.0,8.145282,8.145282,19.840604,8.145282,0.0,0.5,0.5,0.0,0,0,
all,ALL,70,none,0,4,3,1,97.25,9.664197,8.145282,10.249643,2.402492,0.25,0.5,0.5,0.25,0,2,target_rr_below_2:2
model,breaker_block,70,none,0,4,3,1,97.25,9.664197,8.145282,10.249643,2.402492,0.25,0.5,0.5,0.25,0,2,target_rr_below_2:2
filtered_model,breaker_block,70,model_rules,2,2,1,1,100.0,8.145282,8.145282,19.840604,8.145282,0.0,0.5,0.5,0.0,0,0,
filtered_all,ALL,70,model_rules,2,2,1,1,100.0,8.145282,8.145282,19.840604,8.145282,0.0,0.5,0.5,0.0,0,0,
