model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2022-01-09,08:30-12:00,1,1,1,0,2.493752,2.493752,0.0,2.0,80.0,-1.0,-1.0,-1.230717,-1.230717,0.230717,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2022-04-03,08:30-12:00,1,1,1,0,6.150886,6.150886,0.0,2.0,80.0,-1.0,0.5,0.142541,0.142541,0.357459,0.0,1.0,0.0,1.0,1.0,3.0,1.0,,1,1
turtle_soup,2022-05-24,08:30-12:00,1,1,1,0,0.966857,0.966857,0.0,2.0,80.0,-1.0,-1.0,-1.096633,-1.096633,0.096633,0.0,0.0,0.0,1.0,1.0,15.0,,,0,1
turtle_soup,2022-07-16,08:30-12:00,1,1,1,0,0.765989,0.765989,0.0,2.0,80.0,-1.0,-1.0,-1.244978,-1.244978,0.244978,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2022-09-17,08:30-12:00,1,1,1,0,0.590806,0.590806,0.0,2.0,80.0,0.590806,0.094231,-0.029915,-0.029915,0.124146,0.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2023-02-24,08:30-12:00,1,1,1,0,0.645922,0.645922,0.0,2.0,80.0,-1.0,-1.0,-1.19192,-1.19192,0.19192,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2023-04-12,08:30-12:00,2,2,2,0,1.346174,1.346174,0.0,2.0,80.0,1.346174,0.75775,0.664017,0.664017,0.093732,0.0,1.0,0.0,0.0,1.0,,14.0,,0,2
turtle_soup,2023-04-15,08:30-12:00,1,1,1,0,0.757668,0.757668,0.0,2.0,80.0,-1.0,-1.0,-1.460068,-1.460068,0.460068,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2023-06-02,08:30-12:00,1,1,1,0,1.434895,1.434895,0.0,2.0,80.0,-1.0,0.5,0.340788,0.340788,0.159212,0.0,1.0,0.0,1.0,1.0,6.0,2.0,,0,1
turtle_soup,2023-07-02,08:30-12:00,1,1,1,0,1.268013,1.268013,0.0,2.0,80.0,-1.0,0.5,0.305873,0.305873,0.194127,0.0,1.0,0.0,1.0,1.0,7.0,4.0,,0,1
turtle_soup,2023-07-09,08:30-12:00,1,1,1,0,3.286527,3.286527,1.0,2.0,80.0,2.0,1.5,1.250316,1.250316,0.249684,1.0,1.0,1.0,0.0,1.0,,9.0,15.0,0,1
turtle_soup,2023-09-27,08:30-12:00,1,1,1,0,0.790951,0.790951,0.0,2.0,80.0,0.790951,0.197117,0.103781,0.103781,0.093336,0.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2023-10-13,08:30-12:00,1,1,1,0,1.773602,1.773602,0.0,2.0,80.0,-1.0,0.5,0.258114,0.258114,0.241886,0.0,1.0,0.0,1.0,1.0,15.0,3.0,,1,1
turtle_soup,2024-02-02,08:30-12:00,1,1,1,0,1.316428,1.316428,0.0,2.0,80.0,-1.0,0.5,0.36348,0.36348,0.13652,0.0,1.0,0.0,1.0,1.0,12.0,4.0,,0,1
turtle_soup,2024-03-12,08:30-12:00,1,1,1,0,2.832057,2.832057,0.0,2.0,80.0,-1.0,0.5,0.442223,0.442223,0.057777,0.0,1.0,0.0,1.0,1.0,3.0,2.0,,0,1
turtle_soup,2024-04-07,08:30-12:00,1,1,1,0,4.798881,4.798881,1.0,2.0,80.0,2.0,1.5,1.116213,1.116213,0.383787,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,2024-05-08,08:30-12:00,1,1,1,0,0.551946,0.551946,0.0,2.0,80.0,-1.0,-1.0,-1.090045,-1.090045,0.090045,0.0,0.0,0.0,1.0,1.0,13.0,,,0,1
turtle_soup,2024-05-18,08:30-12:00,1,1,1,0,1.647291,1.647291,0.0,2.0,80.0,1.647291,1.278998,1.029579,1.029579,0.249419,0.0,1.0,0.0,0.0,1.0,,18.0,,0,1
turtle_soup,2024-05-26,08:30-12:00,1,1,1,0,2.336485,2.336485,0.0,2.0,80.0,-1.0,-1.0,-1.344542,-1.344542,0.344542,0.0,0.0,0.0,1.0,1.0,11.0,,,0,1
turtle_soup,2024-06-01,08:30-12:00,1,1,1,0,0.869242,0.869242,0.0,2.0,80.0,-1.0,-1.0,-1.352257,-1.352257,0.352257,0.0,0.0,0.0,1.0,1.0,24.0,,,0,1
turtle_soup,2024-08-21,08:30-12:00,1,1,1,0,0.521613,0.521613,0.0,2.0,80.0,-1.0,-1.0,-1.093332,-1.093332,0.093332,0.0,0.0,0.0,1.0,1.0,8.0,,,0,1
turtle_soup,2024-09-15,08:30-12:00,1,1,1,0,9.397517,9.397517,0.0,2.0,80.0,-1.0,0.5,0.179306,0.179306,0.320694,0.0,1.0,0.0,1.0,1.0,3.0,2.0,,0,1
