scope,model,threshold,filter_name,filtered_out,count,activated_trades,invalidated_before_entry,avg_decision_score,avg_mfe_r,median_mfe_r,avg_rr,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count,no_trade_reason_count,top_no_trade_reasons
all,ALL,0,none,0,119,106,1,96.327731,7.097198,2.891235,6.516928,0.267003,0.294118,0.428571,0.319328,0.571429,0,67,target_rr_below_2:38;target_rr_below_3:29
model,ifvg_retest,0,none,0,22,14,0,100.0,14.529968,7.089148,10.704277,-0.424187,0.136364,0.181818,0.181818,0.5,0,9,target_rr_below_2:6;target_rr_below_3:3
model,reclaimed_ob,0,none,0,10,5,1,94.1,25.917253,3.70286,26.093456,1.76375,0.3,0.3,0.3,0.2,0,4,target_rr_below_2:4
model,rejection_block,0,none,0,87,87,0,95.655172,4.819507,2.534978,3.207883,0.292209,0.333333,0.505747,0.356322,0.632184,0,54,target_rr_below_2:28;target_rr_below_3:26
filtered_model,ifvg_retest,0,model_rules,9,13,6,0,100.0,20.563278,4.723579,17.027452,-1.0,0.0,0.076923,0.076923,0.461538,0,0,
filtered_model,reclaimed_ob,0,model_rules,4,6,3,0,99.0,40.68214,3.70286,42.856281,2.483314,0.166667,0.333333,0.333333,0.333333,0,0,
filtered_model,rejection_block,0,model_rules,28,59,59,0,98.440678,5.553789,2.891235,4.185744,0.421195,0.254237,0.525424,0.423729,0.694915,0,26,target_rr_below_3:26
filtered_all,ALL,0,model_rules,41,78,68,0,98.74359,8.427936,3.018402,9.300685,0.386771,0.205128,0.435897,0.358974,0.628205,0,26,target_rr_below_3:26
all,ALL,50,none,0,119,106,1,96.327731,7.097198,2.891235,6.516928,0.267003,0.294118,0.428571,0.319328,0.571429,0,67,target_rr_below_2:38;target_rr_below_3:29
model,ifvg_retest,50,none,0,22,14,0,100.0,14.529968,7.089148,10.704277,-0.424187,0.136364,0.181818,0.181818,0.5,0,9,target_rr_below_2:6;target_rr_below_3:3
model,reclaimed_ob,50,none,0,10,5,1,94.1,25.917253,3.70286,26.093456,1.76375,0.3,0.3,0.3,0.2,0,4,target_rr_below_2:4
model,rejection_block,50,none,0,87,87,0,95.655172,4.819507,2.534978,3.207883,0.292209,0.333333,0.505747,0.356322,0.632184,0,54,target_rr_below_2:28;target_rr_below_3:26
filtered_model,ifvg_retest,50,model_rules,9,13,6,0,100.0,20.563278,4.723579,17.027452,-1.0,0.0,0.076923,0.076923,0.461538,0,0,
filtered_model,reclaimed_ob,50,model_rules,4,6,3,0,99.0,40.68214,3.70286,42.856281,2.483314,0.166667,0.333333,0.333333,0.333333,0,0,
filtered_model,rejection_block,50,model_rules,28,59,59,0,98.440678,5.553789,2.891235,4.185744,0.421195,0.254237,0.525424,0.423729,0.694915,0,26,target_rr_below_3:26
filtered_all,ALL,50,model_rules,41,78,68,0,98.74359,8.427936,3.018402,9.300685,0.386771,0.205128,0.435897,0.358974,0.628205,0,26,target_rr_below_3:26
all,ALL,70,none,0,119,106,1,96.327731,7.097198,2.891235,6.516928,0.267003,0.294118,0.428571,0.319328,0.571429,0,67,target_rr_below_2:38;target_rr_below_3:29
model,ifvg_retest,70,none,0,22,14,0,100.0,14.529968,7.089148,10.704277,-0.424187,0.136364,0.181818,0.181818,0.5,0,9,target_rr_below_2:6;target_rr_below_3:3
model,reclaimed_ob,70,none,0,10,5,1,94.1,25.917253,3.70286,26.093456,1.76375,0.3,0.3,0.3,0.2,0,4,target_rr_below_2:4
model,rejection_block,70,none,0,87,87,0,95.655172,4.819507,2.534978,3.207883,0.292209,0.333333,0.505747,0.356322,0.632184,0,54,target_rr_below_2:28;target_rr_below_3:26
filtered_model,ifvg_retest,70,model_rules,9,13,6,0,100.0,20.563278,4.723579,17.027452,-1.0,0.0,0.076923,0.076923,0.461538,0,0,
filtered_model,reclaimed_ob,70,model_rules,4,6,3,0,99.0,40.68214,3.70286,42.856281,2.483314,0.166667,0.333333,0.333333,0.333333,0,0,
filtered_model,rejection_block,70,model_rules,28,59,59,0,98.440678,5.553789,2.891235,4.185744,0.421195,0.254237,0.525424,0.423729,0.694915,0,26,target_rr_below_3:26
filtered_all,ALL,70,model_rules,41,78,68,0,98.74359,8.427936,3.018402,9.300685,0.386771,0.205128,0.435897,0.358974,0.628205,0,26,target_rr_below_3:26
