rank,filter_name,count,filtered_out,expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
1,min_target_distance_r=3,51,68,0.507692,0.156863,0.372549,0.607843,99.705882,10.630419,0,3,false,false,,,
2,"min_target_distance_r=3;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",51,68,0.507692,0.156863,0.372549,0.607843,99.705882,10.630419,0,3,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
3,"min_target_distance_r=3;allowed_htf_locations=discount,premium",51,68,0.507692,0.156863,0.372549,0.607843,99.705882,10.630419,0,3,false,false,,"discount,premium",
4,"min_target_distance_r=3;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",51,68,0.507692,0.156863,0.372549,0.607843,99.705882,10.630419,0,3,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
5,min_decision_score=50;min_target_distance_r=3,51,68,0.507692,0.156863,0.372549,0.607843,99.705882,10.630419,50,3,false,false,,,
6,"min_decision_score=50;min_target_distance_r=3;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",51,68,0.507692,0.156863,0.372549,0.607843,99.705882,10.630419,50,3,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
7,"min_decision_score=50;min_target_distance_r=3;allowed_htf_locations=discount,premium",51,68,0.507692,0.156863,0.372549,0.607843,99.705882,10.630419,50,3,false,false,,"discount,premium",
8,"min_decision_score=50;min_target_distance_r=3;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",51,68,0.507692,0.156863,0.372549,0.607843,99.705882,10.630419,50,3,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
9,min_decision_score=70;min_target_distance_r=3,51,68,0.507692,0.156863,0.372549,0.607843,99.705882,10.630419,70,3,false,false,,,
10,"min_decision_score=70;min_target_distance_r=3;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",51,68,0.507692,0.156863,0.372549,0.607843,99.705882,10.630419,70,3,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
