rank,filter_name,count,filtered_out,expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
1,require_smt=true,10,114,1.278219,0.4,0.4,0.2,100.0,6.647421,0,0,true,false,,,
2,"require_smt=true;allowed_htf_locations=discount,premium",10,114,1.278219,0.4,0.4,0.2,100.0,6.647421,0,0,true,false,,"discount,premium",
3,min_decision_score=50;require_smt=true,10,114,1.278219,0.4,0.4,0.2,100.0,6.647421,50,0,true,false,,,
4,"min_decision_score=50;require_smt=true;allowed_htf_locations=discount,premium",10,114,1.278219,0.4,0.4,0.2,100.0,6.647421,50,0,true,false,,"discount,premium",
5,min_decision_score=70;require_smt=true,10,114,1.278219,0.4,0.4,0.2,100.0,6.647421,70,0,true,false,,,
6,"min_decision_score=70;require_smt=true;allowed_htf_locations=discount,premium",10,114,1.278219,0.4,0.4,0.2,100.0,6.647421,70,0,true,false,,"discount,premium",
7,"allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",22,102,0.540554,0.136364,0.136364,0.272727,100.0,4.77693,0,0,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
8,"allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",22,102,0.540554,0.136364,0.136364,0.272727,100.0,4.77693,0,0,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
9,"min_target_distance_r=2;allowed_displacement_grades=valid,strong",22,102,0.540554,0.136364,0.136364,0.272727,100.0,4.77693,0,2,false,false,"valid,strong",,
10,"min_target_distance_r=2;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",22,102,0.540554,0.136364,0.136364,0.272727,100.0,4.77693,0,2,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
11,"min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",22,102,0.540554,0.136364,0.136364,0.272727,100.0,4.77693,0,2,false,false,"valid,strong","discount,premium",
12,"min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",22,102,0.540554,0.136364,0.136364,0.272727,100.0,4.77693,0,2,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
13,"min_decision_score=50;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",22,102,0.540554,0.136364,0.136364,0.272727,100.0,4.77693,50,0,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
14,"min_decision_score=50;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",22,102,0.540554,0.136364,0.136364,0.272727,100.0,4.77693,50,0,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
15,"min_decision_score=50;min_target_distance_r=2;allowed_displacement_grades=valid,strong",22,102,0.540554,0.136364,0.136364,0.272727,100.0,4.77693,50,2,false,false,"valid,strong",,
16,"min_decision_score=50;min_target_distance_r=2;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",22,102,0.540554,0.136364,0.136364,0.272727,100.0,4.77693,50,2,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
17,"min_decision_score=50;min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",22,102,0.540554,0.136364,0.136364,0.272727,100.0,4.77693,50,2,false,false,"valid,strong","discount,premium",
18,"min_decision_score=50;min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",22,102,0.540554,0.136364,0.136364,0.272727,100.0,4.77693,50,2,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
19,"min_decision_score=70;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",22,102,0.540554,0.136364,0.136364,0.272727,100.0,4.77693,70,0,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
20,"min_decision_score=70;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",22,102,0.540554,0.136364,0.136364,0.272727,100.0,4.77693,70,0,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
21,"min_decision_score=70;min_target_distance_r=2;allowed_displacement_grades=valid,strong",22,102,0.540554,0.136364,0.136364,0.272727,100.0,4.77693,70,2,false,false,"valid,strong",,
22,"min_decision_score=70;min_target_distance_r=2;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",22,102,0.540554,0.136364,0.136364,0.272727,100.0,4.77693,70,2,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
23,"min_decision_score=70;min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",22,102,0.540554,0.136364,0.136364,0.272727,100.0,4.77693,70,2,false,false,"valid,strong","discount,premium",
24,"min_decision_score=70;min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",22,102,0.540554,0.136364,0.136364,0.272727,100.0,4.77693,70,2,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
25,"min_target_distance_r=3;allowed_displacement_grades=valid,strong",15,109,0.306545,0.133333,0.133333,0.4,100.0,5.822999,0,3,false,false,"valid,strong",,
26,"min_target_distance_r=3;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",15,109,0.306545,0.133333,0.133333,0.4,100.0,5.822999,0,3,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
27,"min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",15,109,0.306545,0.133333,0.133333,0.4,100.0,5.822999,0,3,false,false,"valid,strong","discount,premium",
28,"min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",15,109,0.306545,0.133333,0.133333,0.4,100.0,5.822999,0,3,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
29,"min_decision_score=50;min_target_distance_r=3;allowed_displacement_grades=valid,strong",15,109,0.306545,0.133333,0.133333,0.4,100.0,5.822999,50,3,false,false,"valid,strong",,
30,"min_decision_score=50;min_target_distance_r=3;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",15,109,0.306545,0.133333,0.133333,0.4,100.0,5.822999,50,3,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
31,"min_decision_score=50;min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",15,109,0.306545,0.133333,0.133333,0.4,100.0,5.822999,50,3,false,false,"valid,strong","discount,premium",
32,"min_decision_score=50;min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",15,109,0.306545,0.133333,0.133333,0.4,100.0,5.822999,50,3,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
33,"min_decision_score=70;min_target_distance_r=3;allowed_displacement_grades=valid,strong",15,109,0.306545,0.133333,0.133333,0.4,100.0,5.822999,70,3,false,false,"valid,strong",,
34,"min_decision_score=70;min_target_distance_r=3;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",15,109,0.306545,0.133333,0.133333,0.4,100.0,5.822999,70,3,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
35,"min_decision_score=70;min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",15,109,0.306545,0.133333,0.133333,0.4,100.0,5.822999,70,3,false,false,"valid,strong","discount,premium",
36,"min_decision_score=70;min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",15,109,0.306545,0.133333,0.133333,0.4,100.0,5.822999,70,3,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
37,"allowed_displacement_grades=valid,strong",37,87,0.00499,0.108108,0.081081,0.324324,100.0,3.309464,0,0,false,false,"valid,strong",,
38,"allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",37,87,0.00499,0.108108,0.081081,0.324324,100.0,3.309464,0,0,false,false,"valid,strong","discount,premium",
39,"min_decision_score=50;allowed_displacement_grades=valid,strong",37,87,0.00499,0.108108,0.081081,0.324324,100.0,3.309464,50,0,false,false,"valid,strong",,
40,"min_decision_score=50;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",37,87,0.00499,0.108108,0.081081,0.324324,100.0,3.309464,50,0,false,false,"valid,strong","discount,premium",
41,"min_decision_score=70;allowed_displacement_grades=valid,strong",37,87,0.00499,0.108108,0.081081,0.324324,100.0,3.309464,70,0,false,false,"valid,strong",,
42,"min_decision_score=70;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",37,87,0.00499,0.108108,0.081081,0.324324,100.0,3.309464,70,0,false,false,"valid,strong","discount,premium",
43,"exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",62,62,-0.090696,0.145161,0.177419,0.5,98.177419,5.946301,0,0,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
44,"allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",62,62,-0.090696,0.145161,0.177419,0.5,98.177419,5.946301,0,0,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
45,min_target_distance_r=2,62,62,-0.090696,0.145161,0.177419,0.5,98.177419,5.946301,0,2,false,false,,,
46,"min_target_distance_r=2;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",62,62,-0.090696,0.145161,0.177419,0.5,98.177419,5.946301,0,2,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
47,"min_target_distance_r=2;allowed_htf_locations=discount,premium",62,62,-0.090696,0.145161,0.177419,0.5,98.177419,5.946301,0,2,false,false,,"discount,premium",
48,"min_target_distance_r=2;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",62,62,-0.090696,0.145161,0.177419,0.5,98.177419,5.946301,0,2,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
49,"min_decision_score=50;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",62,62,-0.090696,0.145161,0.177419,0.5,98.177419,5.946301,50,0,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
50,"min_decision_score=50;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",62,62,-0.090696,0.145161,0.177419,0.5,98.177419,5.946301,50,0,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
51,min_decision_score=50;min_target_distance_r=2,62,62,-0.090696,0.145161,0.177419,0.5,98.177419,5.946301,50,2,false,false,,,
52,"min_decision_score=50;min_target_distance_r=2;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",62,62,-0.090696,0.145161,0.177419,0.5,98.177419,5.946301,50,2,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
53,"min_decision_score=50;min_target_distance_r=2;allowed_htf_locations=discount,premium",62,62,-0.090696,0.145161,0.177419,0.5,98.177419,5.946301,50,2,false,false,,"discount,premium",
54,"min_decision_score=50;min_target_distance_r=2;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",62,62,-0.090696,0.145161,0.177419,0.5,98.177419,5.946301,50,2,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
55,"min_decision_score=70;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",62,62,-0.090696,0.145161,0.177419,0.5,98.177419,5.946301,70,0,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
56,"min_decision_score=70;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",62,62,-0.090696,0.145161,0.177419,0.5,98.177419,5.946301,70,0,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
57,min_decision_score=70;min_target_distance_r=2,62,62,-0.090696,0.145161,0.177419,0.5,98.177419,5.946301,70,2,false,false,,,
