scope,model,threshold,filter_name,filtered_out,count,activated_trades,invalidated_before_entry,avg_decision_score,avg_mfe_r,median_mfe_r,avg_rr,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count,no_trade_reason_count,top_no_trade_reasons
all,ALL,0,none,0,119,106,1,96.327731,7.097198,2.891235,6.516928,0.116458,0.156159,0.156159,0.277311,0.428571,0.310924,0.596639,0,67,target_rr_below_2:38;target_rr_below_3:29
model,ifvg_retest,0,none,0,22,14,0,100.0,14.529968,7.089148,10.704277,-0.424187,-0.302289,-0.302289,0.136364,0.181818,0.181818,0.5,0,9,target_rr_below_2:6;target_rr_below_3:3
model,reclaimed_ob,0,none,0,10,5,1,94.1,25.917253,3.70286,26.093456,-0.326239,0.181805,0.181805,0.2,0.3,0.3,0.3,0,4,target_rr_below_2:4
model,rejection_block,0,none,0,87,87,0,95.655172,4.819507,2.534978,3.207883,0.228901,0.228458,0.228458,0.321839,0.505747,0.344828,0.655172,0,54,target_rr_below_2:28;target_rr_below_3:26
filtered_model,ifvg_retest,0,model_rules,22,0,0,0,,,,,,,,,,,,0,0,
filtered_model,reclaimed_ob,0,model_rules,4,6,3,0,99.0,40.68214,3.70286,42.856281,-1.0,-0.133333,-0.133333,0.0,0.333333,0.333333,0.5,0,0,
filtered_model,rejection_block,0,model_rules,28,59,59,0,98.440678,5.553789,2.891235,4.185744,0.369139,0.349734,0.349734,0.254237,0.525424,0.40678,0.711864,0,26,target_rr_below_3:26
filtered_all,ALL,0,model_rules,54,65,62,0,98.492308,7.253548,2.891235,7.755332,0.302891,0.32636,0.32636,0.230769,0.507692,0.4,0.692308,0,26,target_rr_below_3:26
all,ALL,50,none,0,119,106,1,96.327731,7.097198,2.891235,6.516928,0.116458,0.156159,0.156159,0.277311,0.428571,0.310924,0.596639,0,67,target_rr_below_2:38;target_rr_below_3:29
model,ifvg_retest,50,none,0,22,14,0,100.0,14.529968,7.089148,10.704277,-0.424187,-0.302289,-0.302289,0.136364,0.181818,0.181818,0.5,0,9,target_rr_below_2:6;target_rr_below_3:3
model,reclaimed_ob,50,none,0,10,5,1,94.1,25.917253,3.70286,26.093456,-0.326239,0.181805,0.181805,0.2,0.3,0.3,0.3,0,4,target_rr_below_2:4
model,rejection_block,50,none,0,87,87,0,95.655172,4.819507,2.534978,3.207883,0.228901,0.228458,0.228458,0.321839,0.505747,0.344828,0.655172,0,54,target_rr_below_2:28;target_rr_below_3:26
filtered_model,ifvg_retest,50,model_rules,22,0,0,0,,,,,,,,,,,,0,0,
filtered_model,reclaimed_ob,50,model_rules,4,6,3,0,99.0,40.68214,3.70286,42.856281,-1.0,-0.133333,-0.133333,0.0,0.333333,0.333333,0.5,0,0,
filtered_model,rejection_block,50,model_rules,28,59,59,0,98.440678,5.553789,2.891235,4.185744,0.369139,0.349734,0.349734,0.254237,0.525424,0.40678,0.711864,0,26,target_rr_below_3:26
filtered_all,ALL,50,model_rules,54,65,62,0,98.492308,7.253548,2.891235,7.755332,0.302891,0.32636,0.32636,0.230769,0.507692,0.4,0.692308,0,26,target_rr_below_3:26
all,ALL,70,none,0,119,106,1,96.327731,7.097198,2.891235,6.516928,0.116458,0.156159,0.156159,0.277311,0.428571,0.310924,0.596639,0,67,target_rr_below_2:38;target_rr_below_3:29
model,ifvg_retest,70,none,0,22,14,0,100.0,14.529968,7.089148,10.704277,-0.424187,-0.302289,-0.302289,0.136364,0.181818,0.181818,0.5,0,9,target_rr_below_2:6;target_rr_below_3:3
model,reclaimed_ob,70,none,0,10,5,1,94.1,25.917253,3.70286,26.093456,-0.326239,0.181805,0.181805,0.2,0.3,0.3,0.3,0,4,target_rr_below_2:4
model,rejection_block,70,none,0,87,87,0,95.655172,4.819507,2.534978,3.207883,0.228901,0.228458,0.228458,0.321839,0.505747,0.344828,0.655172,0,54,target_rr_below_2:28;target_rr_below_3:26
filtered_model,ifvg_retest,70,model_rules,22,0,0,0,,,,,,,,,,,,0,0,
filtered_model,reclaimed_ob,70,model_rules,4,6,3,0,99.0,40.68214,3.70286,42.856281,-1.0,-0.133333,-0.133333,0.0,0.333333,0.333333,0.5,0,0,
filtered_model,rejection_block,70,model_rules,28,59,59,0,98.440678,5.553789,2.891235,4.185744,0.369139,0.349734,0.349734,0.254237,0.525424,0.40678,0.711864,0,26,target_rr_below_3:26
filtered_all,ALL,70,model_rules,54,65,62,0,98.492308,7.253548,2.891235,7.755332,0.302891,0.32636,0.32636,0.230769,0.507692,0.4,0.692308,0,26,target_rr_below_3:26
