model,htf_zone_type,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ifvg_retest,Breaker,7,7,3,0,10.284988,10.46407,0.0,3.031364,100.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.428571,5.333333,1.0,,,0,3
ifvg_retest,FVG,7,7,2,0,29.315683,29.315683,0.0,2.656344,100.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.285714,3.5,1.0,,,0,5
ifvg_retest,IFVG,7,7,5,0,29.709625,28.499289,0.142857,2.620021,100.0,-0.557028,-0.56992,-0.56992,0.142857,0.142857,0.0,0.571429,3.142857,1.0,3.0,,0,6
ifvg_retest,Liquidity,3,3,3,0,36.427066,9.07638,0.333333,9.438636,100.0,1.092224,0.664557,0.664557,0.333333,0.333333,0.333333,0.666667,1.0,1.0,1.0,1.0,0,0
ifvg_retest,OB,2,2,0,0,,,0.0,1.659887,100.0,,,,0.0,0.0,0.0,0.0,6.0,,,,0,2
ifvg_retest,PD,11,11,3,0,7.484336,7.329417,0.181818,2.969126,100.0,1.529436,1.170605,1.170605,0.181818,0.181818,0.181818,0.090909,4.0,1.0,1.0,1.0,0,6
reclaimed_ob,FVG,3,3,1,0,0.753978,0.753978,0.0,20.7684,94.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.333333,2.666667,1.0,,,0,1
reclaimed_ob,IFVG,2,2,0,0,,,0.0,1.307325,86.0,,,,0.0,0.0,0.0,0.0,3.0,,,,0,2
reclaimed_ob,Liquidity,3,3,1,1,3.041264,3.041264,0.333333,7.678821,97.666667,2.0,1.7,1.7,0.333333,0.333333,0.333333,0.0,2.0,,1.0,2.0,0,1
reclaimed_ob,OB,2,2,0,0,,,0.0,1.751177,85.0,,,,0.0,0.0,0.0,0.0,3.0,,,,0,2
reclaimed_ob,PD,6,6,1,1,2.484971,2.484971,0.0,11.25817,93.333333,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.166667,2.166667,1.0,,,0,4
rejection_block,Breaker,7,7,7,0,2.384375,1.852853,0.428571,1.299272,85.285714,0.00627,0.518675,0.518675,0.428571,0.857143,0.142857,0.571429,1.0,2.0,1.166667,1.0,0,7
rejection_block,FVG,36,36,36,0,3.914267,2.672152,0.25,1.959721,91.666667,-0.39328,-0.293852,-0.293852,0.25,0.305556,0.138889,0.75,1.0,2.037037,1.545455,1.4,0,29
rejection_block,IFVG,4,4,4,0,1.487656,1.529292,0.0,1.761878,86.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,,,0,4
rejection_block,Liquidity,1,1,1,0,3.430551,3.430551,0.0,1.177639,83.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
rejection_block,OB,4,4,4,0,1.744844,1.744844,0.0,5.528089,97.5,-1.0,0.3,0.3,0.0,1.0,0.0,1.0,1.0,4.25,1.25,,0,2
rejection_block,PD,19,19,19,0,4.475129,3.166445,0.421053,2.278291,90.0,0.20622,0.052398,0.052398,0.421053,0.473684,0.315789,0.526316,1.0,1.2,1.0,2.0,0,15
