model,model_family,direction,symbol,timeframe,timestamp,setup_timestamp,detected_at,entry_time,entry_mode,stop_mode,target_mode,entry_price,entry_low,entry_high,stop_loss,invalidation,target_hint,risk,risk_bps,same_bar_policy,same_bar_ambiguous,activated_trade,invalidated_before_entry,session_window,ny_time,htf_mode,htf_bias,htf_location,htf_zone_type,htf_objective_type,htf_context_alignment,htf_score_modifier,has_smt_confirmation,smt_direction,smt_pair,smt_strength,decision_score,score_bucket,htf_alignment_score,draw_score,pd_location_score,poi_score,displacement_score,smt_score,killzone_score,target_rr_score,no_trade_reasons,pre_model_filter_pass,pre_model_allowed_directions,pre_model_reasons,htf_inside_poi,htf_approaching_poi,swept_level,sweep_extreme,sweep_liquidity_quality,sweep_level_age_bars,displacement_grade,breach_displacement_grade,turtle_quality,fvg_low,fvg_high,fvg_ce,ifvg_low,ifvg_high,ifvg_ce,ob_low,ob_high,breaker_low,breaker_high,rejection_body_level,rejection_wick_extreme,mitigation_low,mitigation_high,time_to_retest_bars,retest_time,target_distance_r,time_to_entry_bars,bars_to_invalidation,bars_to_1r,bars_to_2r,metadata_json,mfe_r,mae_r,invalidated,target_hit,target_before_invalidation,hit_1r_before_invalidation,hit_2r_before_invalidation
turtle_soup,ict,long,BTCUSDT,1h,1747281600000,1747281600000,1747285200000,1747281600000,close,sweep_extreme,opposite_range,102858.2,102858.2,102858.2,102635.42836,102635.42836,104949.2,222.77163999999175,21.658131291427594,conservative,False,True,False,,,aligned_only,bullish,discount,,,,,,,,,80,high,40,5,15,0,0,0,0,20,,True,long,,True,True,102773.4,102656.0,strong,13,,,strong,,,,,,,,,,,,,,,,,9.386293515638155,1,1,,,"{""close_back_distance_bps"": 8.251162265722737, ""entry_mode"": ""close"", ""entry_price"": 102858.2, ""htf_approaching_poi"": true, ""htf_bias"": ""bullish"", ""htf_inside_poi"": true, ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""model_family"": ""ict"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 222.77163999999175, ""risk_bps"": 21.658131291427594, ""stop_loss"": 102635.42836, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 102656.0, ""sweep_level_age_bars"": 13, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 102773.4, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.313842, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.220681, ""wick_extension"": 117.39999999999418, ""wick_fraction"": 0.434493}, ""wick_extension_bps"": 11.423189268818021}",0.1292803697993334,6.397582744374687,True,False,False,False,False
turtle_soup,ict,long,BTCUSDT,1h,1747314000000,1747314000000,1747317600000,1747314000000,close,sweep_extreme,opposite_range,102094.8,102094.8,102094.8,101438.58104,101438.58104,104949.2,656.2189599999983,64.2754537939247,conservative,False,True,False,,,aligned_only,bullish,discount,,,,,,,,,80,high,40,5,15,0,0,0,0,20,,True,long,,True,True,101677.0,101459.0,medium,6,,,valid,,,,,,,,,,,,,,,,,4.349767644628862,1,1,,,"{""close_back_distance_bps"": 41.09090551452176, ""entry_mode"": ""close"", ""entry_price"": 102094.8, ""htf_approaching_poi"": true, ""htf_bias"": ""bullish"", ""htf_inside_poi"": true, ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""model_family"": ""ict"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 656.2189599999983, ""risk_bps"": 64.2754537939247, ""stop_loss"": 101438.58104, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 101459.0, ""sweep_level_age_bars"": 6, ""sweep_liquidity_quality"": ""medium"", ""sweep_swing_significance"": ""intermediate"", ""swept_level"": 101677.0, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.323901, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.440222, ""wick_extension"": 218.0, ""wick_fraction"": 0.169005}, ""wick_extension_bps"": 21.440443758175398}",3.1513871528491118,1.2556784400133791,True,False,False,False,False
ifvg_retest,ict,long,BTCUSDT,1h,1747605600000,1747605600000,1747627200000,1747616400000,edge,ce,nearest_liquidity,104796.7,104796.7,104796.7,104727.39066,104727.39066,105999.7,69.30933999999252,6.613694896880581,conservative,False,True,False,,,aligned_only,bullish,discount,FVG,swing_high,aligned,0.8,False,,,,100,high,40,12,15,10,20,0,0,20,,True,long,,True,True,,,,,strong,strong,,,,,104700.0,104796.7,104748.35,,,,,,,,,3,1747616400000,17.35696805077252,3,1,,,"{""breach_close"": 105899.2, ""breach_displacement_factor"": 0.9267601490488317, ""breach_displacement_grade"": ""strong"", ""breach_time"": 1747605600000, ""dealing_range_source"": ""long_swing_pair"", ""displacement_grade"": ""strong"", ""entry_mode"": ""edge"", ""entry_price"": 104796.7, ""entry_time"": 1747616400000, ""has_smt_confirmation"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_approaching_poi"": true, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.55, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""up"", ""htf_inside_poi"": true, ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""htf_objective_level"": 105863.1, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_high"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bullish"", ""htf_reason"": ""HTF bullish discount bullish FVG; swing_high up"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bullish"", ""htf_zone_high"": 102240.0, ""htf_zone_low"": 97700.0, ""htf_zone_type"": ""FVG"", ""ifvg_ce"": 104748.35, ""ifvg_high"": 104796.7, ""ifvg_low"": 104700.0, ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_high"", ""objective_unreached"": true, ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_depth"": 0.9989658738365479, ""retest_time"": 1747616400000, ""risk"": 69.30933999999252, ""risk_bps"": 6.613694896880581, ""source_fvg_direction"": ""bearish"", ""source_fvg_time"": 1747594800000, ""stop_loss"": 104727.39066, ""stop_mode"": ""ce"", ""target_mode"": ""nearest_liquidity"", ""time_to_retest_bars"": 3}",8.590472799193774,18.674250829688216,True,False,False,False,False
turtle_soup,ict,long,BTCUSDT,1h,1747627200000,1747627200000,1747630800000,1747627200000,close,sweep_extreme,opposite_range,102960.1,102960.1,102960.1,102719.60798,102719.60798,107114.3,240.49202000000514,23.357788114036904,conservative,False,True,False,,,aligned_only,bullish,discount,,,,,,,,,80,high,40,5,15,0,0,0,0,20,,True,long,,True,True,102851.5,102740.2,strong,30,,,valid,,,,,,,,,,,,,,,,,17.273754031422367,1,1,,,"{""close_back_distance_bps"": 10.558912607011644, ""entry_mode"": ""close"", ""entry_price"": 102960.1, ""htf_approaching_poi"": true, ""htf_bias"": ""bullish"", ""htf_inside_poi"": true, ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""model_family"": ""ict"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 240.49202000000514, ""risk_bps"": 23.357788114036904, ""stop_loss"": 102719.60798, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 102740.2, ""sweep_level_age_bars"": 30, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 102851.5, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.108709, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.137057, ""wick_extension"": 111.30000000000291, ""wick_fraction"": 0.111411}, ""wick_extension_bps"": 10.821427008843129}",1.6607619662389863,3.8308963432548957,True,False,False,False,False
turtle_soup,ict,long,BTCUSDT,1h,1747630800000,1747630800000,1747634400000,1747630800000,close,sweep_extreme,opposite_range,102990.8,102990.8,102990.8,102480.40184,102480.40184,107114.3,510.398159999997,49.55764592565521,conservative,False,True,False,,,aligned_only,bullish,discount,,,,,,,,,80,high,40,5,15,0,0,0,0,20,,True,long,,True,True,102851.5,102501.0,strong,31,,,strong,,,,,,,,,,,,,,,,,8.078986805124893,1,1,,,"{""close_back_distance_bps"": 13.54379858339479, ""entry_mode"": ""close"", ""entry_price"": 102990.8, ""htf_approaching_poi"": true, ""htf_bias"": ""bullish"", ""htf_inside_poi"": true, ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""model_family"": ""ict"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 510.398159999997, ""risk_bps"": 49.55764592565521, ""stop_loss"": 102480.40184, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 102501.0, ""sweep_level_age_bars"": 31, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 102851.5, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.249195, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.417667, ""wick_extension"": 350.5, ""wick_fraction"": 0.627013}, ""wick_extension_bps"": 34.078258460012734}",0.7223772123316418,1.8652104858685337,True,False,False,False,False
turtle_soup,ict,long,BTCUSDT,1h,1747648800000,1747648800000,1747652400000,1747648800000,close,sweep_extreme,opposite_range,102888.3,102888.3,102888.3,102779.42234,102779.42234,107114.3,108.87765999999829,10.582122554264991,conservative,False,True,False,,,aligned_only,bullish,discount,,,,,,,,,80,high,40,5,15,0,0,0,0,20,,True,long,,True,True,102851.5,102800.0,strong,36,,,valid,,,,,,,,,,,,,,,,,38.814206697683126,1,1,,,"{""close_back_distance_bps"": 3.577974069411035, ""entry_mode"": ""close"", ""entry_price"": 102888.3, ""htf_approaching_poi"": true, ""htf_bias"": ""bullish"", ""htf_inside_poi"": true, ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""model_family"": ""ict"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 108.87765999999829, ""risk_bps"": 10.582122554264991, ""stop_loss"": 102779.42234, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 102800.0, ""sweep_level_age_bars"": 36, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 102851.5, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.149169, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.051521, ""wick_extension"": 51.5, ""wick_fraction"": 0.208756}, ""wick_extension_bps"": 5.007219146050374}",18.662230617373904,7.342185715600623,True,False,False,False,False
turtle_soup,ict,long,BTCUSDT,1h,1747652400000,1747652400000,1747656000000,1747652400000,close,sweep_extreme,opposite_range,102912.0,102912.0,102912.0,102712.2176,102712.2176,107114.3,199.78239999999641,19.412935323382737,conservative,False,True,False,,,aligned_only,bullish,discount,,,,,,,,,80,high,40,5,15,0,0,0,0,20,,True,long,,True,True,102851.5,102732.8,strong,37,,,strong,,,,,,,,,,,,,,,,,21.034385411327918,1,1,,,"{""close_back_distance_bps"": 5.882267152156264, ""entry_mode"": ""close"", ""entry_price"": 102912.0, ""htf_approaching_poi"": true, ""htf_bias"": ""bullish"", ""htf_inside_poi"": true, ""htf_location"": ""discount"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""up"", ""model_family"": ""ict"", ""pre_model_allowed_directions"": ""long"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 199.78239999999641, ""risk_bps"": 19.412935323382737, ""stop_loss"": 102712.2176, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 102732.8, ""sweep_level_age_bars"": 37, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 102851.5, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.206485, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.121965, ""wick_extension"": 118.69999999999709, ""wick_fraction"": 0.405119}, ""wick_extension_bps"": 11.540910924974074}",12.453549461814678,4.119982541004716,True,False,False,False,False
ifvg_retest,ict,short,BTCUSDT,1h,1748012400000,1748012400000,1748044800000,1748016000000,edge,ce,nearest_liquidity,109080.7,109080.7,109080.7,109273.81614,109273.81614,107950.0,193.11613999999827,17.703969629824368,conservative,False,True,False,,,aligned_only,bearish,premium,IFVG,swing_low,aligned,0.8,False,,,,100,high,40,12,15,10,15,0,0,20,,True,short,,True,True,,,,,valid,valid,,,,,109080.7,109423.3,109252.0,,,,,,,,,1,1748016000000,5.855025892708953,1,,1,1,"{""breach_close"": 108892.4, ""breach_displacement_factor"": 0.7157155320470041, ""breach_displacement_grade"": ""valid"", ""breach_time"": 1748012400000, ""dealing_range_source"": ""long_swing_pair"", ""displacement_grade"": ""valid"", ""entry_mode"": ""edge"", ""entry_price"": 109080.7, ""entry_time"": 1748016000000, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": true, ""htf_approaching_poi"": true, ""htf_bias"": ""bearish"", ""htf_confidence"": 0.55, ""htf_context_alignment"": ""aligned"", ""htf_draw_direction"": ""down"", ""htf_inside_poi"": true, ""htf_location"": ""premium"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""down"", ""htf_objective_level"": 102038.8, ""htf_objective_quality"": ""strong"", ""htf_objective_reached"": false, ""htf_objective_type"": ""swing_low"", ""htf_objective_unreached"": true, ""htf_poi_direction"": ""bearish"", ""htf_reason"": ""HTF bearish premium bearish IFVG; swing_low down"", ""htf_score_modifier"": 0.8, ""htf_structure_bias"": ""bearish"", ""htf_zone_high"": 109153.4, ""htf_zone_low"": 107292.5, ""htf_zone_type"": ""IFVG"", ""ifvg_ce"": 109252.0, ""ifvg_high"": 109423.3, ""ifvg_low"": 109080.7, ""model_family"": ""ict"", ""objective_is_equal_high_low"": false, ""objective_liquidity_quality"": ""strong"", ""objective_type"": ""swing_low"", ""objective_unreached"": true, ""pre_model_allowed_directions"": ""short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_depth"": 0.27116170461181305, ""retest_time"": 1748016000000, ""risk"": 193.11613999999827, ""risk_bps"": 17.703969629824368, ""source_fvg_direction"": ""bullish"", ""source_fvg_time"": 1748008800000, ""stop_loss"": 109273.81614, ""stop_mode"": ""ce"", ""target_mode"": ""nearest_liquidity"", ""time_to_retest_bars"": 1}",5.855025892708953,3.5175723789840094,False,True,True,True,True
turtle_soup,ict,short,BTCUSDT,1h,1748124000000,1748124000000,1748127600000,1748124000000,close,sweep_extreme,opposite_range,108052.8,108052.8,108052.8,108810.11056,108810.11056,106721.9,757.3105599999981,70.08708335184262,conservative,False,True,False,,,aligned_only,bearish,premium,,,,,,,,,60,medium,40,5,15,0,0,0,0,0,target_rr_below_2,True,short,,True,True,108520.0,108788.5,medium,18,,,strong,,,,,,,,,,,,,,,,,1.7574031979694198,1,,2,,"{""close_back_distance_bps"": 43.05197198673029, ""entry_mode"": ""close"", ""entry_price"": 108052.8, ""htf_approaching_poi"": true, ""htf_bias"": ""bearish"", ""htf_inside_poi"": true, ""htf_location"": ""premium"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""down"", ""model_family"": ""ict"", ""pre_model_allowed_directions"": ""short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 757.3105599999981, ""risk_bps"": 70.08708335184262, ""stop_loss"": 108810.11056, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 108788.5, ""sweep_level_age_bars"": 18, ""sweep_liquidity_quality"": ""medium"", ""sweep_swing_significance"": ""intermediate"", ""swept_level"": 108520.0, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.539866, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.552134, ""wick_extension"": 268.5, ""wick_fraction"": 0.310261}, ""wick_extension_bps"": 24.741983044600076}",1.2026770100762958,0.4135687742159543,False,False,False,True,False
turtle_soup,ict,short,BTCUSDT,1h,1748199600000,1748199600000,1748203200000,1748199600000,close,sweep_extreme,opposite_range,107656.3,107656.3,107656.3,107909.53126,107909.53126,106497.0,253.23126000000047,23.52219609999605,conservative,False,True,False,,,aligned_only,bearish,premium,,,,,,,,,80,high,40,5,15,0,0,0,0,20,,True,short,,True,True,107698.4,107888.0,weak,6,,,valid,,,,,,,,,,,,,,,,,4.57802879470726,1,3,1,2,"{""close_back_distance_bps"": 3.909064572917636, ""entry_mode"": ""close"", ""entry_price"": 107656.3, ""htf_approaching_poi"": true, ""htf_bias"": ""bearish"", ""htf_inside_poi"": true, ""htf_location"": ""premium"", ""htf_mode"": ""aligned_only"", ""htf_objective"": ""down"", ""model_family"": ""ict"", ""pre_model_allowed_directions"": ""short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 253.23126000000047, ""risk_bps"": 23.52219609999605, ""stop_loss"": 107909.53126, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 107888.0, ""sweep_level_age_bars"": 6, ""sweep_liquidity_quality"": ""weak"", ""sweep_swing_significance"": ""short"", ""swept_level"": 107698.4, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.079886, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.328425, ""wick_extension"": 189.60000000000582, ""wick_fraction"": 0.359772}, ""wick_extension_bps"": 17.60471836164751}",2.1225657527431605,7.5614677271676465,True,False,False,True,True
