model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,2026-04-04,03:00-04:00,1,1,1,0,0.276531,0.276531,0.0,2.0,78.0,0.276531,-0.5782,-1.923335,-1.923335,1.321429,0.023706,1.345135,0.0,0.0,0.0,0.0,1.0,,,,0,0
silver_bullet,2026-04-04,10:00-11:00,1,1,1,0,0.162477,0.162477,0.0,2.0,78.0,-1.0,-1.0,-2.704794,-2.704794,1.70632,-0.001526,1.704794,0.0,0.0,0.0,1.0,1.0,7.0,,,0,0
silver_bullet,2026-04-04,14:00-15:00,1,1,1,0,0.614896,0.614896,0.0,2.0,78.0,-1.0,-1.0,-2.464936,-2.464936,1.46911,-0.004174,1.464936,0.0,0.0,0.0,1.0,1.0,3.0,,,0,0
silver_bullet,2026-04-05,14:00-15:00,1,1,1,0,2.599259,2.599259,0.0,2.0,78.0,-1.0,-1.0,-2.707648,-2.707648,1.707648,0.0,1.707648,0.0,0.0,0.0,1.0,1.0,2.0,,,0,0
silver_bullet,2026-04-07,10:00-11:00,1,1,1,0,1.052402,1.052402,0.0,2.0,78.0,-1.0,0.5,0.198259,0.198259,0.299635,0.002106,0.301741,0.0,1.0,0.0,1.0,2.0,7.0,3.0,,0,0
silver_bullet,2026-04-08,10:00-11:00,1,1,1,0,1.29159,1.29159,0.0,2.0,78.0,-1.0,-1.0,-1.688666,-1.688666,0.692601,-0.003935,0.688666,0.0,0.0,0.0,1.0,1.0,7.0,,,0,0
silver_bullet,2026-04-09,03:00-04:00,1,1,1,0,0.433089,0.433089,0.0,2.0,78.0,-1.0,-1.0,-1.834683,-1.834683,0.814937,0.019746,0.834683,0.0,0.0,0.0,1.0,1.0,19.0,,,0,0
silver_bullet,2026-04-09,14:00-15:00,1,1,0,0,,,0.0,2.0,78.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,0,0
silver_bullet,2026-04-11,10:00-11:00,1,1,1,0,2.534095,2.534095,1.0,2.0,78.0,2.0,1.5,-2.744197,-2.744197,4.242413,0.001784,4.244197,1.0,1.0,1.0,0.0,1.0,,3.0,4.0,0,0
silver_bullet,2026-04-11,14:00-15:00,1,1,1,0,0.563311,0.563311,0.0,2.0,78.0,-1.0,-1.0,-2.516438,-2.516438,1.423712,0.092726,1.516438,0.0,0.0,0.0,1.0,1.0,14.0,,,0,0
silver_bullet,2026-04-12,14:00-15:00,1,1,1,0,1.88615,1.88615,0.0,2.0,78.0,-1.0,-1.0,-1.639507,-1.639507,0.626174,0.013333,0.639507,0.0,0.0,0.0,1.0,1.0,12.0,,,0,0
silver_bullet,2026-04-13,03:00-04:00,1,1,1,0,7.874067,7.874067,1.0,2.0,78.0,2.0,1.5,-0.216035,-0.216035,1.770561,-0.054526,1.716035,1.0,1.0,1.0,0.0,1.0,,15.0,16.0,0,0
silver_bullet,2026-04-13,10:00-11:00,1,1,1,0,2.491775,2.491775,1.0,2.0,78.0,2.0,1.5,1.069871,1.069871,0.431438,-0.001309,0.430129,1.0,1.0,1.0,0.0,1.0,,9.0,23.0,0,0
silver_bullet,2026-04-14,03:00-04:00,1,1,1,0,5.662373,5.662373,1.0,2.0,78.0,2.0,1.5,0.091683,0.091683,1.396416,0.011901,1.408317,1.0,1.0,1.0,0.0,2.0,,4.0,20.0,0,0
silver_bullet,2026-04-14,10:00-11:00,1,1,1,0,3.077041,3.077041,1.0,2.0,78.0,2.0,1.5,0.730203,0.730203,0.770548,-0.000751,0.769797,1.0,1.0,1.0,0.0,2.0,,3.0,8.0,0,0
silver_bullet,2026-04-14,14:00-15:00,1,1,1,0,0.523013,0.523013,0.0,2.0,78.0,-1.0,-1.0,-2.410628,-2.410628,1.411437,-0.000809,1.410628,0.0,0.0,0.0,1.0,2.0,2.0,,,0,0
silver_bullet,2026-04-16,14:00-15:00,1,1,1,0,0.708685,0.708685,0.0,2.0,78.0,0.708685,-0.444429,-1.126225,-1.126225,0.69404,-0.012244,0.681796,0.0,0.0,0.0,0.0,1.0,,,,0,0
silver_bullet,2026-04-18,03:00-04:00,1,1,1,0,0.224109,0.224109,0.0,2.0,78.0,-1.0,-1.0,-3.62664,-3.62664,2.618334,0.008306,2.62664,0.0,0.0,0.0,1.0,2.0,4.0,,,0,0
silver_bullet,2026-04-18,10:00-11:00,1,1,1,0,0.273332,0.273332,0.0,2.0,78.0,-1.0,-1.0,-4.200801,-4.200801,3.182717,0.018084,3.200801,0.0,0.0,0.0,1.0,1.0,8.0,,,0,0
silver_bullet,2026-04-18,14:00-15:00,1,1,1,0,0.561803,0.561803,0.0,2.0,78.0,-1.0,-1.0,-2.276097,-2.276097,1.254886,0.021211,1.276097,0.0,0.0,0.0,1.0,1.0,22.0,,,0,0
