model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2026-03-20,07:00-10:00,1,1,1,0,2.615719,2.615719,0.0,2.0,60.0,-1.0,-1.0,-1.20673,-1.20673,0.20673,0.0,0.0,0.0,1.0,1.0,2.0,,,0,1
turtle_soup,2026-03-31,07:00-10:00,1,1,1,0,4.538631,4.538631,1.0,2.0,60.0,2.0,1.5,1.328922,1.328922,0.171078,1.0,1.0,1.0,0.0,1.0,,5.0,6.0,0,1
turtle_soup,2026-04-07,07:00-10:00,1,1,1,0,13.350668,13.350668,0.0,2.0,60.0,-1.0,-1.0,-1.226667,-1.226667,0.226667,0.0,0.0,0.0,1.0,1.0,6.0,,,0,1
turtle_soup,2026-04-08,07:00-10:00,1,1,1,0,11.869965,11.869965,0.0,2.0,60.0,-1.0,-1.0,-1.647447,-1.647447,0.647447,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2026-04-09,07:00-10:00,1,1,1,0,1.934512,1.934512,0.0,2.0,80.0,-1.0,0.5,0.222117,0.222117,0.277883,0.0,1.0,0.0,1.0,1.0,7.0,5.0,,1,1
turtle_soup,2026-04-10,07:00-10:00,1,1,1,0,1.612136,1.612136,0.0,2.0,60.0,-1.0,0.5,0.141222,0.141222,0.358778,0.0,1.0,0.0,1.0,1.0,3.0,2.0,,0,1
turtle_soup,2026-04-25,07:00-10:00,1,1,1,0,3.842651,3.842651,1.0,2.0,60.0,2.0,1.5,0.892263,0.892263,0.607737,1.0,1.0,1.0,0.0,1.0,,9.0,9.0,0,1
turtle_soup,2026-04-30,07:00-10:00,1,1,1,0,1.263634,1.263634,0.0,2.0,60.0,-1.0,0.5,0.186865,0.186865,0.313135,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,0,1
turtle_soup,2026-05-03,07:00-10:00,1,1,1,0,0.859007,0.859007,0.0,2.0,60.0,-1.0,-1.0,-1.424496,-1.424496,0.424496,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2026-05-06,07:00-10:00,1,1,1,0,2.089885,2.089885,0.0,2.0,60.0,-1.0,0.5,0.277888,0.277888,0.222112,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,0,1
turtle_soup,2026-05-08,07:00-10:00,1,1,1,0,0.995983,0.995983,0.0,2.0,60.0,0.995983,-0.401606,-0.578319,-0.578319,0.176713,0.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,2026-05-18,07:00-10:00,1,1,1,0,5.893867,5.893867,0.0,2.0,60.0,-1.0,-1.0,-1.396489,-1.396489,0.396489,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2026-05-23,07:00-10:00,1,1,1,0,8.667437,8.667437,1.0,2.0,60.0,2.0,1.5,1.15791,1.15791,0.34209,1.0,1.0,1.0,0.0,1.0,,1.0,8.0,0,1
