model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2026-04-07,07:00-10:00,1,1,1,0,7.234441,7.234441,0.0,2.0,60.0,-1.0,-1.0,-1.438048,-1.438048,0.438048,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2026-04-10,07:00-10:00,1,1,1,0,2.489467,2.489467,0.0,2.0,60.0,-1.0,-1.0,-2.042132,-2.042132,1.042132,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2026-04-19,07:00-10:00,1,1,1,0,3.054368,3.054368,1.0,2.0,60.0,2.0,1.5,0.019446,0.019446,1.480554,1.0,1.0,1.0,0.0,1.0,,1.0,3.0,0,1
turtle_soup,2026-04-21,07:00-10:00,1,1,1,0,0.457313,0.457313,0.0,2.0,60.0,-1.0,-1.0,-1.536687,-1.536687,0.536687,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2026-04-29,07:00-10:00,1,1,1,0,4.013599,4.013599,0.0,2.0,60.0,-1.0,0.5,-0.105285,-0.105285,0.605285,0.0,1.0,0.0,1.0,1.0,13.0,11.0,,1,1
turtle_soup,2026-05-01,07:00-10:00,1,1,1,0,3.871188,3.871188,1.0,2.0,60.0,2.0,1.5,0.719935,0.719935,0.780065,1.0,1.0,1.0,0.0,1.0,,3.0,3.0,0,1
turtle_soup,2026-05-09,07:00-10:00,1,1,1,0,2.575092,2.575092,0.0,2.0,60.0,-1.0,0.5,-5.441785,-5.441785,5.941785,0.0,1.0,0.0,1.0,1.0,6.0,2.0,,1,1
turtle_soup,2026-05-11,07:00-10:00,1,1,1,0,0.580097,0.580097,0.0,2.0,60.0,-1.0,-1.0,-1.510573,-1.510573,0.510573,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2026-05-13,07:00-10:00,1,1,1,0,1.217,1.217,0.0,2.0,60.0,-1.0,0.5,0.006257,0.006257,0.493743,0.0,1.0,0.0,1.0,1.0,3.0,2.0,,0,1
turtle_soup,2026-05-21,07:00-10:00,1,1,1,0,6.417733,6.417733,0.0,2.0,60.0,-1.0,0.5,-0.48772,-0.48772,0.98772,0.0,1.0,0.0,1.0,1.0,2.0,1.0,,1,1
turtle_soup,2026-05-24,07:00-10:00,1,1,1,0,0.093836,0.093836,0.0,2.0,60.0,-1.0,-1.0,-3.054281,-3.054281,2.054281,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
