model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,2026-04-04,14:00-15:00,1,1,1,0,1.846174,1.846174,0.0,2.0,78.0,-1.0,-1.0,-1.380595,-1.380595,0.380595,0.0,0.0,0.0,1.0,1.0,2.0,,,0,0
silver_bullet,2026-04-05,14:00-15:00,1,1,1,0,18.920374,18.920374,0.0,2.0,78.0,-1.0,0.5,-0.095164,-0.095164,0.595164,0.0,1.0,0.0,1.0,1.0,3.0,2.0,,0,0
silver_bullet,2026-04-07,10:00-11:00,1,1,1,0,0.960183,0.960183,0.0,2.0,78.0,-1.0,-1.0,-1.16929,-1.16929,0.16929,0.0,0.0,0.0,1.0,1.0,13.0,,,0,0
silver_bullet,2026-04-07,14:00-15:00,1,1,1,0,8.285077,8.285077,1.0,2.0,78.0,2.0,1.5,1.348607,1.348607,0.151393,1.0,1.0,1.0,0.0,1.0,,8.0,12.0,0,0
silver_bullet,2026-04-08,14:00-15:00,1,1,1,0,0.0,0.0,0.0,2.0,78.0,-1.0,-1.0,-1.226034,-1.226034,0.226034,0.0,0.0,0.0,1.0,1.0,1.0,,,0,0
silver_bullet,2026-04-13,10:00-11:00,1,1,1,0,3.889425,3.889425,1.0,2.0,78.0,2.0,1.5,1.376141,1.376141,0.123859,1.0,1.0,1.0,0.0,1.0,,3.0,21.0,0,0
silver_bullet,2026-04-13,14:00-15:00,2,2,2,0,5.011055,5.011055,0.5,2.0,78.0,0.5,0.25,0.011861,0.011861,0.238139,0.5,0.5,0.5,0.5,1.0,5.0,2.0,2.0,0,0
silver_bullet,2026-04-14,14:00-15:00,1,1,1,0,1.025409,1.025409,0.0,2.0,78.0,-1.0,0.5,0.328989,0.328989,0.171011,0.0,1.0,0.0,1.0,1.0,5.0,2.0,,0,0
silver_bullet,2026-04-15,10:00-11:00,2,2,2,0,2.460498,2.460498,0.0,2.0,78.0,-1.0,-1.0,-1.240765,-1.240765,0.240765,0.0,0.0,0.0,1.0,1.0,3.0,,,0,0
silver_bullet,2026-04-17,14:00-15:00,1,1,1,0,1.624151,1.624151,0.0,2.0,78.0,-1.0,0.5,0.216921,0.216921,0.283079,0.0,1.0,0.0,1.0,1.0,4.0,3.0,,0,0
silver_bullet,2026-04-18,14:00-15:00,1,1,1,0,1.063728,1.063728,0.0,2.0,78.0,-1.0,0.5,0.166106,0.166106,0.333894,0.0,1.0,0.0,1.0,1.0,32.0,31.0,,0,0
silver_bullet,2026-04-20,14:00-15:00,1,1,1,0,0.958264,0.958264,0.0,2.0,78.0,0.958264,-0.730012,-0.894625,-0.894625,0.164613,0.0,0.0,0.0,0.0,1.0,,,,0,0
silver_bullet,2026-04-21,10:00-11:00,1,1,1,0,0.722134,0.722134,0.0,2.0,78.0,-1.0,-1.0,-1.164668,-1.164668,0.164668,0.0,0.0,0.0,1.0,1.0,2.0,,,0,0
silver_bullet,2026-04-24,14:00-15:00,1,1,1,0,1.063277,1.063277,0.0,2.0,78.0,-1.0,0.5,0.19161,0.19161,0.30839,0.0,1.0,0.0,1.0,1.0,28.0,17.0,,0,0
silver_bullet,2026-04-26,10:00-11:00,1,1,1,0,6.283624,6.283624,0.0,2.0,78.0,-1.0,0.5,-0.073371,-0.073371,0.573371,0.0,1.0,0.0,1.0,1.0,3.0,1.0,,0,0
silver_bullet,2026-04-28,10:00-11:00,1,1,1,0,0.436391,0.436391,0.0,2.0,78.0,-1.0,-1.0,-1.160453,-1.160453,0.160453,0.0,0.0,0.0,1.0,1.0,22.0,,,0,0
silver_bullet,2026-04-30,10:00-11:00,2,2,2,0,0.824261,0.824261,0.0,2.0,78.0,-0.093399,-0.626078,-0.895962,-0.895962,0.269883,0.0,0.0,0.0,0.5,1.0,1.0,,,0,0
silver_bullet,2026-05-01,10:00-11:00,2,2,2,0,0.570221,0.570221,0.0,2.0,78.0,-0.074927,-0.457032,-0.612045,-0.612045,0.155012,0.0,0.0,0.0,0.5,1.0,2.0,,,0,0
silver_bullet,2026-05-02,14:00-15:00,1,1,1,0,2.235552,2.235552,0.0,2.0,78.0,-1.0,-1.0,-1.708358,-1.708358,0.708358,0.0,0.0,0.0,1.0,1.0,4.0,,,0,0
silver_bullet,2026-05-06,10:00-11:00,1,1,1,0,1.077932,1.077932,0.0,2.0,78.0,1.077932,0.836207,0.650349,0.650349,0.185858,0.0,1.0,0.0,0.0,1.0,,20.0,,0,0
silver_bullet,2026-05-07,10:00-11:00,1,1,1,0,2.045752,2.045752,1.0,2.0,78.0,2.0,1.5,1.336141,1.336141,0.163859,1.0,1.0,1.0,0.0,1.0,,2.0,13.0,0,0
silver_bullet,2026-05-08,10:00-11:00,1,1,1,0,1.363491,1.363491,0.0,2.0,78.0,-1.0,0.5,0.266947,0.266947,0.233053,0.0,1.0,0.0,1.0,1.0,3.0,1.0,,0,0
silver_bullet,2026-05-09,14:00-15:00,1,1,1,0,0.401853,0.401853,0.0,2.0,78.0,-1.0,-1.0,-1.496367,-1.496367,0.496367,0.0,0.0,0.0,1.0,1.0,14.0,,,0,0
silver_bullet,2026-05-10,14:00-15:00,1,1,1,0,4.527844,4.527844,1.0,2.0,78.0,2.0,1.5,1.110182,1.110182,0.389818,1.0,1.0,1.0,0.0,1.0,,6.0,7.0,0,0
silver_bullet,2026-05-11,10:00-11:00,2,2,2,0,1.686106,1.686106,0.5,2.0,78.0,0.5,0.25,-0.060237,-0.060237,0.310237,0.5,0.5,0.5,0.5,1.0,3.0,1.0,2.0,0,0
silver_bullet,2026-05-12,14:00-15:00,1,1,1,0,1.434718,1.434718,0.0,2.0,78.0,1.434718,1.0834,0.911659,0.911659,0.171741,0.0,1.0,0.0,0.0,1.0,,28.0,,0,0
silver_bullet,2026-05-13,14:00-15:00,1,1,1,0,0.440743,0.440743,0.0,2.0,78.0,-1.0,-1.0,-1.335645,-1.335645,0.335645,0.0,0.0,0.0,1.0,1.0,10.0,,,0,0
silver_bullet,2026-05-14,14:00-15:00,1,1,1,0,2.813608,2.813608,0.0,2.0,78.0,-1.0,0.5,0.21624,0.21624,0.28376,0.0,1.0,0.0,1.0,1.0,23.0,2.0,,1,0
silver_bullet,2026-05-16,10:00-11:00,1,1,1,0,1.098004,1.098004,0.0,2.0,78.0,1.098004,0.661348,0.301432,0.301432,0.359916,0.0,1.0,0.0,0.0,1.0,,5.0,,0,0
silver_bullet,2026-05-16,14:00-15:00,1,1,1,0,0.958967,0.958967,0.0,2.0,78.0,-1.0,-1.0,-1.970289,-1.970289,0.970289,0.0,0.0,0.0,1.0,1.0,20.0,,,0,0
silver_bullet,2026-05-17,14:00-15:00,1,1,1,0,1.694092,1.694092,0.0,2.0,78.0,-1.0,0.5,0.146166,0.146166,0.353834,0.0,1.0,0.0,1.0,1.0,16.0,6.0,,1,0
silver_bullet,2026-05-22,14:00-15:00,1,1,1,0,5.413507,5.413507,1.0,2.0,78.0,2.0,1.5,1.218741,1.218741,0.281259,1.0,1.0,1.0,0.0,1.0,,3.0,3.0,0,0
silver_bullet,2026-05-23,14:00-15:00,1,1,1,0,3.492312,3.492312,1.0,2.0,78.0,2.0,1.5,1.318876,1.318876,0.181124,1.0,1.0,1.0,0.0,1.0,,8.0,8.0,0,0
silver_bullet,2026-05-24,14:00-15:00,1,1,1,0,6.404005,6.404005,0.0,2.0,78.0,-1.0,-1.0,-1.667312,-1.667312,0.667312,0.0,0.0,0.0,1.0,1.0,13.0,,,0,0
