model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,2026-04-04,10:00-11:00,1,1,1,0,0.998906,0.998906,0.0,2.0,78.0,-1.0,-1.0,-3.082235,-3.082235,2.082235,0.0,0.0,0.0,1.0,1.0,5.0,,,0,0
silver_bullet,2026-04-05,10:00-11:00,1,1,1,0,10.334254,10.334254,1.0,2.0,78.0,2.0,1.5,-0.606368,-0.606368,2.106368,1.0,1.0,1.0,0.0,1.0,,4.0,4.0,0,0
silver_bullet,2026-04-06,10:00-11:00,1,1,1,0,1.727039,1.727039,0.0,2.0,78.0,-1.0,0.5,-0.505368,-0.505368,1.005368,0.0,1.0,0.0,1.0,1.0,3.0,1.0,,0,0
silver_bullet,2026-04-07,10:00-11:00,1,1,1,0,0.844342,0.844342,0.0,2.0,78.0,-1.0,-1.0,-1.407605,-1.407605,0.407605,0.0,0.0,0.0,1.0,1.0,14.0,,,0,0
silver_bullet,2026-04-07,14:00-15:00,1,1,1,0,19.186355,19.186355,0.0,2.0,78.0,-1.0,-1.0,-2.364437,-2.364437,1.364437,0.0,0.0,0.0,1.0,1.0,2.0,,,0,0
silver_bullet,2026-04-08,10:00-11:00,1,1,1,0,0.755959,0.755959,0.0,2.0,78.0,-1.0,-1.0,-1.797231,-1.797231,0.797231,0.0,0.0,0.0,1.0,1.0,5.0,,,0,0
silver_bullet,2026-04-09,10:00-11:00,1,1,1,0,0.43141,0.43141,0.0,2.0,78.0,-1.0,-1.0,-2.235201,-2.235201,1.235201,0.0,0.0,0.0,1.0,1.0,2.0,,,0,0
silver_bullet,2026-04-12,10:00-11:00,1,1,1,0,3.020153,3.020153,0.0,2.0,78.0,-1.0,0.5,-0.145191,-0.145191,0.645191,0.0,1.0,0.0,1.0,1.0,5.0,4.0,,1,0
silver_bullet,2026-04-12,14:00-15:00,1,1,1,0,2.340158,2.340158,0.0,2.0,78.0,-1.0,-1.0,-1.589091,-1.589091,0.589091,0.0,0.0,0.0,1.0,1.0,12.0,,,0,0
silver_bullet,2026-04-13,10:00-11:00,1,1,1,0,3.191659,3.191659,1.0,2.0,78.0,2.0,1.5,0.927361,0.927361,0.572639,1.0,1.0,1.0,0.0,1.0,,9.0,22.0,0,0
silver_bullet,2026-04-17,10:00-11:00,1,1,1,0,0.893132,0.893132,0.0,2.0,78.0,0.893132,-0.245505,-0.908883,-0.908883,0.663378,0.0,0.0,0.0,0.0,1.0,,,,0,0
silver_bullet,2026-04-18,10:00-11:00,2,2,2,0,1.108015,1.108015,0.0,2.0,78.0,0.282744,-0.025677,-1.233138,-1.233138,1.207461,0.0,0.5,0.0,0.5,1.0,7.0,16.0,,0,0
silver_bullet,2026-04-19,14:00-15:00,1,1,1,0,1.108667,1.108667,0.0,2.0,78.0,-1.0,0.5,-0.177177,-0.177177,0.677177,0.0,1.0,0.0,1.0,1.0,12.0,9.0,,1,0
silver_bullet,2026-04-21,10:00-11:00,1,1,1,0,0.403713,0.403713,0.0,2.0,78.0,-1.0,-1.0,-1.83281,-1.83281,0.83281,0.0,0.0,0.0,1.0,1.0,3.0,,,0,0
silver_bullet,2026-04-22,10:00-11:00,1,1,1,0,0.612008,0.612008,0.0,2.0,78.0,0.612008,0.044065,-0.723166,-0.723166,0.767231,0.0,0.0,0.0,0.0,1.0,,,,0,0
silver_bullet,2026-04-22,14:00-15:00,1,1,1,0,7.789549,7.789549,0.0,2.0,78.0,-1.0,0.5,-1.865073,-1.865073,2.365073,0.0,1.0,0.0,1.0,1.0,4.0,3.0,,0,0
silver_bullet,2026-04-23,10:00-11:00,1,1,1,0,1.306152,1.306152,0.0,2.0,78.0,-1.0,0.5,-0.484075,-0.484075,0.984075,0.0,1.0,0.0,1.0,1.0,12.0,3.0,,0,0
silver_bullet,2026-04-24,10:00-11:00,1,1,1,0,1.01728,1.01728,0.0,2.0,78.0,-1.0,0.5,-1.048185,-1.048185,1.548185,0.0,1.0,0.0,1.0,1.0,3.0,2.0,,0,0
silver_bullet,2026-04-24,14:00-15:00,1,1,1,0,1.267644,1.267644,0.0,2.0,78.0,-1.0,0.5,-1.535949,-1.535949,2.035949,0.0,1.0,0.0,1.0,1.0,6.0,4.0,,0,0
silver_bullet,2026-04-26,10:00-11:00,1,1,1,0,9.668696,9.668696,0.0,2.0,78.0,-1.0,-1.0,-3.269312,-3.269312,2.269312,0.0,0.0,0.0,1.0,1.0,2.0,,,0,0
silver_bullet,2026-04-27,14:00-15:00,1,1,1,0,3.992437,3.992437,0.0,2.0,78.0,-1.0,0.5,-2.76336,-2.76336,3.26336,0.0,1.0,0.0,1.0,1.0,7.0,6.0,,0,0
silver_bullet,2026-04-28,10:00-11:00,1,1,1,0,0.77728,0.77728,0.0,2.0,78.0,0.77728,-0.828342,-1.718025,-1.718025,0.889683,0.0,0.0,0.0,0.0,1.0,,,,0,0
silver_bullet,2026-04-29,10:00-11:00,1,1,1,0,2.381376,2.381376,1.0,2.0,78.0,2.0,1.5,0.18482,0.18482,1.31518,1.0,1.0,1.0,0.0,1.0,,7.0,19.0,0,0
silver_bullet,2026-04-29,14:00-15:00,1,1,1,0,1.37641,1.37641,0.0,2.0,78.0,-1.0,0.5,-0.760488,-0.760488,1.260488,0.0,1.0,0.0,1.0,1.0,3.0,2.0,,0,0
silver_bullet,2026-04-30,14:00-15:00,1,1,1,0,3.046883,3.046883,1.0,2.0,78.0,2.0,1.5,0.215992,0.215992,1.284008,1.0,1.0,1.0,0.0,1.0,,4.0,12.0,0,0
silver_bullet,2026-05-01,10:00-11:00,1,1,1,0,0.098725,0.098725,0.0,2.0,78.0,-1.0,-1.0,-1.450519,-1.450519,0.450519,0.0,0.0,0.0,1.0,1.0,23.0,,,0,0
