model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,2026-04-04,10:00-11:00,2,2,2,0,0.93038,0.93038,0.0,2.0,78.0,-1.0,-0.25,-3.333965,-3.333965,3.083965,0.0,0.5,0.0,1.0,1.0,5.5,1.0,,1,0
silver_bullet,2026-04-04,14:00-15:00,1,1,1,0,0.614896,0.614896,0.0,2.0,78.0,-1.0,-1.0,-2.46911,-2.46911,1.46911,0.0,0.0,0.0,1.0,1.0,3.0,,,0,0
silver_bullet,2026-04-05,14:00-15:00,2,2,2,0,5.967759,5.967759,0.5,2.0,78.0,0.5,0.25,-1.86882,-1.86882,2.11882,0.5,0.5,0.5,0.5,1.0,2.0,3.0,5.0,0,0
silver_bullet,2026-04-06,10:00-11:00,1,1,1,0,0.660148,0.660148,0.0,2.0,78.0,-1.0,-1.0,-1.626238,-1.626238,0.626238,0.0,0.0,0.0,1.0,1.0,12.0,,,0,0
silver_bullet,2026-04-07,14:00-15:00,1,1,1,0,17.98986,17.98986,0.0,2.0,78.0,-1.0,-1.0,-2.040625,-2.040625,1.040625,0.0,0.0,0.0,1.0,1.0,2.0,,,0,0
silver_bullet,2026-04-08,10:00-11:00,1,1,1,0,1.29159,1.29159,0.0,2.0,78.0,-1.0,-1.0,-1.692601,-1.692601,0.692601,0.0,0.0,0.0,1.0,1.0,7.0,,,0,0
silver_bullet,2026-04-11,10:00-11:00,1,1,1,0,2.534095,2.534095,1.0,2.0,78.0,2.0,1.5,-2.742413,-2.742413,4.242413,1.0,1.0,1.0,0.0,1.0,,3.0,4.0,0,0
silver_bullet,2026-04-11,14:00-15:00,1,1,1,0,0.563311,0.563311,0.0,2.0,78.0,-1.0,-1.0,-2.423712,-2.423712,1.423712,0.0,0.0,0.0,1.0,1.0,14.0,,,0,0
silver_bullet,2026-04-12,10:00-11:00,1,1,1,0,2.910855,2.910855,1.0,2.0,78.0,2.0,1.5,0.672832,0.672832,0.827168,1.0,1.0,1.0,0.0,1.0,,3.0,9.0,0,0
silver_bullet,2026-04-12,14:00-15:00,1,1,1,0,1.88615,1.88615,0.0,2.0,78.0,-1.0,-1.0,-1.626174,-1.626174,0.626174,0.0,0.0,0.0,1.0,1.0,12.0,,,0,0
silver_bullet,2026-04-13,10:00-11:00,1,1,1,0,2.491775,2.491775,1.0,2.0,78.0,2.0,1.5,1.068562,1.068562,0.431438,1.0,1.0,1.0,0.0,1.0,,9.0,23.0,0,0
silver_bullet,2026-04-14,10:00-11:00,1,1,1,0,4.712844,4.712844,1.0,2.0,78.0,2.0,1.5,0.580249,0.580249,0.919751,1.0,1.0,1.0,0.0,1.0,,1.0,5.0,0,0
silver_bullet,2026-04-16,14:00-15:00,1,1,1,0,0.708685,0.708685,0.0,2.0,78.0,0.708685,-0.444429,-1.138469,-1.138469,0.69404,0.0,0.0,0.0,0.0,1.0,,,,0,0
silver_bullet,2026-04-18,10:00-11:00,2,2,2,0,1.47887,1.47887,0.5,2.0,78.0,0.5,0.25,-2.271471,-2.271471,2.521471,0.5,0.5,0.5,0.5,1.0,8.0,16.0,17.0,0,0
silver_bullet,2026-04-18,14:00-15:00,1,1,1,0,0.561803,0.561803,0.0,2.0,78.0,-1.0,-1.0,-2.254886,-2.254886,1.254886,0.0,0.0,0.0,1.0,1.0,22.0,,,0,0
silver_bullet,2026-04-22,10:00-11:00,1,1,1,0,1.372404,1.372404,0.0,2.0,78.0,1.372404,0.970437,0.553511,0.553511,0.416926,0.0,1.0,0.0,0.0,1.0,,21.0,,0,0
silver_bullet,2026-04-25,14:00-15:00,1,1,1,0,0.232422,0.232422,0.0,2.0,78.0,-1.0,-1.0,-2.732186,-2.732186,1.732186,0.0,0.0,0.0,1.0,1.0,11.0,,,0,0
silver_bullet,2026-04-27,14:00-15:00,1,1,1,0,2.249391,2.249391,1.0,2.0,78.0,2.0,1.5,0.016653,0.016653,1.483347,1.0,1.0,1.0,0.0,1.0,,16.0,17.0,0,0
silver_bullet,2026-04-28,10:00-11:00,1,1,1,0,0.74371,0.74371,0.0,2.0,78.0,0.74371,-0.870299,-1.339686,-1.339686,0.469387,0.0,0.0,0.0,0.0,1.0,,,,0,0
silver_bullet,2026-04-29,10:00-11:00,1,1,1,0,1.991968,1.991968,0.0,2.0,78.0,-1.0,-1.0,-1.560959,-1.560959,0.560959,0.0,0.0,0.0,1.0,1.0,7.0,,,0,0
silver_bullet,2026-05-01,14:00-15:00,2,2,2,0,5.718279,5.718279,0.5,2.0,78.0,0.5,0.25,-1.213391,-1.213391,1.463391,0.5,0.5,0.5,0.5,1.0,2.0,1.0,2.0,0,0
silver_bullet,2026-05-05,10:00-11:00,1,1,1,0,2.108675,2.108675,1.0,2.0,78.0,2.0,1.5,0.882714,0.882714,0.617286,1.0,1.0,1.0,0.0,1.0,,15.0,32.0,0,0
silver_bullet,2026-05-10,14:00-15:00,1,1,1,0,4.719267,4.719267,1.0,2.0,78.0,2.0,1.5,0.321178,0.321178,1.178822,1.0,1.0,1.0,0.0,1.0,,7.0,9.0,0,0
silver_bullet,2026-05-12,14:00-15:00,1,1,1,0,2.590365,2.590365,1.0,2.0,78.0,2.0,1.5,0.899275,0.899275,0.600725,1.0,1.0,1.0,0.0,1.0,,4.0,28.0,0,0
silver_bullet,2026-05-13,14:00-15:00,2,2,2,0,1.764809,1.764809,0.5,2.0,78.0,0.5,1.0,-0.052664,-0.052664,1.052664,0.5,1.0,0.5,0.5,1.0,2.0,9.5,26.0,0,0
silver_bullet,2026-05-14,14:00-15:00,1,1,1,0,0.377859,0.377859,0.0,2.0,78.0,-1.0,-1.0,-1.665033,-1.665033,0.665033,0.0,0.0,0.0,1.0,1.0,29.0,,,0,0
silver_bullet,2026-05-15,14:00-15:00,2,2,2,0,1.816514,1.816514,0.5,2.0,78.0,0.5,0.25,-0.352252,-0.352252,0.602252,0.5,0.5,0.5,0.5,1.0,2.0,5.0,6.0,0,0
silver_bullet,2026-05-16,10:00-11:00,1,1,1,0,0.303131,0.303131,0.0,2.0,78.0,-1.0,-1.0,-4.219629,-4.219629,3.219629,0.0,0.0,0.0,1.0,1.0,7.0,,,0,0
